날짜,종가,오픈,고가,저가,변동 %
2000년 1월,"1,394.50","1,469.30","1,478.00","1,350.10",-5.09%
2000년 2월,"1,366.40","1,394.50","1,444.60","1,325.10",-2.01%
2000년 3월,"1,498.60","1,366.40","1,552.90","1,346.60",9.67%
2000년 4월,"1,452.40","1,498.60","1,527.20","1,339.40",-3.08%
2000년 5월,"1,420.60","1,452.40","1,481.50","1,361.10",-2.19%
2000년 6월,"1,454.60","1,420.60","1,488.90","1,420.60",2.39%
2000년 7월,"1,430.80","1,454.60","1,517.30","1,413.90",-1.63%
2000년 8월,"1,517.70","1,430.80","1,525.20","1,425.40",6.07%
2000년 9월,"1,436.50","1,517.70","1,530.10","1,419.40",-5.35%
2000년 10월,"1,429.40","1,436.50","1,454.80","1,305.80",-0.49%
2000년 11월,"1,314.90","1,429.40","1,438.50","1,294.90",-8.01%
2000년 12월,"1,320.30","1,314.90","1,389.10","1,254.10",0.41%
2001년 1월,"1,366.00","1,320.30","1,383.40","1,274.60",3.46%
2001년 2월,"1,239.90","1,366.00","1,376.40","1,215.40",-9.23%
2001년 3월,"1,160.30","1,239.90","1,267.40","1,081.20",-6.42%
2001년 4월,"1,249.50","1,160.30","1,269.30","1,092.00",7.68%
2001년 5월,"1,255.80","1,249.50","1,315.90","1,232.00",0.51%
2001년 6월,"1,224.40","1,255.80","1,286.60","1,203.00",-2.50%
2001년 7월,"1,211.20","1,224.40","1,239.80","1,165.50",-1.07%
2001년 8월,"1,133.60","1,211.20","1,226.30","1,124.90",-6.41%
2001년 9월,"1,040.90","1,133.60","1,155.40",944.8,-8.17%
2001년 10월,"1,059.80","1,040.90","1,110.60","1,026.80",1.81%
2001년 11월,"1,139.40","1,059.80","1,163.40","1,054.30",7.52%
2001년 12월,"1,148.10","1,139.40","1,173.60","1,114.50",0.76%
2002년 1월,"1,130.20","1,148.10","1,177.00","1,081.70",-1.56%
2002년 2월,"1,106.70","1,130.20","1,130.20","1,074.40",-2.08%
2002년 3월,"1,147.40","1,106.70","1,173.90","1,106.70",3.67%
2002년 4월,"1,076.90","1,147.40","1,147.80","1,063.50",-6.14%
2002년 5월,"1,067.10","1,076.90","1,106.60","1,049.00",-0.91%
2002년 6월,989.8,"1,067.10","1,070.70",952.9,-7.25%
2002년 7월,911.6,989.8,994.5,775.7,-7.90%
2002년 8월,916.1,911.6,965,833.4,0.49%
2002년 9월,815.3,916.1,924,800.2,-11.00%
2002년 10월,885.8,815.3,907.4,768.6,8.64%
2002년 11월,936.3,885.8,941.8,872,5.71%
2002년 12월,879.8,936.3,954.3,869.5,-6.03%
2003년 1월,855.7,879.8,935,840.3,-2.74%
2003년 2월,841.2,855.7,864.6,806.3,-1.70%
2003년 3월,848.2,841.2,895.9,788.9,0.84%
2003년 4월,916.9,848.2,924.2,847.8,8.10%
2003년 5월,963.6,916.9,965.4,902.8,5.09%
2003년 6월,974.5,963.6,"1,015.30",963.6,1.13%
2003년 7월,993.3,974.5,"1,015.40",962.1,1.93%
2003년 8월,"1,008.00",990.3,"1,011.00",960.8,1.48%
2003년 9월,996,"1,008.00","1,040.30",990.4,-1.19%
2003년 10월,"1,050.70",996,"1,053.80",996,5.50%
2003년 11월,"1,058.20","1,050.70","1,063.70","1,031.20",0.71%
2003년 12월,"1,111.90","1,058.20","1,112.60","1,053.40",5.08%
2004년 1월,"1,131.10","1,111.90","1,155.40","1,105.10",1.73%
2004년 2월,"1,144.90","1,131.10","1,159.00","1,124.40",1.22%
2004년 3월,"1,126.20","1,144.90","1,163.20","1,087.10",-1.64%
2004년 4월,"1,107.30","1,126.20","1,150.60","1,107.20",-1.68%
2004년 5월,"1,120.70","1,107.30","1,127.70","1,076.30",1.21%
2004년 6월,"1,140.80","1,120.70","1,146.30","1,113.30",1.80%
2004년 7월,"1,101.70","1,140.80","1,140.80","1,078.80",-3.43%
2004년 8월,"1,104.20","1,101.70","1,109.70","1,060.70",0.23%
2004년 9월,"1,114.60","1,104.20","1,131.50","1,099.10",0.94%
2004년 10월,"1,130.20","1,114.60","1,142.10","1,090.20",1.40%
2004년 11월,"1,173.80","1,130.20","1,188.50","1,127.50",3.86%
2004년 12월,"1,211.90","1,173.80","1,217.30","1,173.80",3.25%
