날짜,종가,오픈,고가,저가,변동 %
2000년 1월,24.95,24.36,29,19.51,1.26%
2000년 2월,23.37,24.43,28.12,20.69,-6.33%
2000년 3월,24.11,22.65,25.87,19.19,3.17%
2000년 4월,26.2,24.99,34.31,23.25,8.67%
2000년 5월,23.65,26.07,32.89,23.23,-9.73%
2000년 6월,19.54,23.2,25.01,19.39,-17.38%
2000년 7월,20.74,20.51,21.65,18.77,6.14%
2000년 8월,16.84,20.66,20.84,16.28,-18.80%
2000년 9월,20.57,16.81,22.66,16.47,22.15%
2000년 10월,23.63,20.98,30.8,20.41,14.88%
2000년 11월,29.65,24.07,31.11,23.51,25.48%
2000년 12월,26.85,28.31,32.32,22.38,-9.44%
2001년 1월,22.02,27.93,30.8,21.47,-17.99%
2001년 2월,28.35,22.39,30.62,20.22,28.75%
2001년 3월,28.64,29.66,35.45,24.12,1.02%
2001년 4월,25.48,29.4,35.2,23.01,-11.03%
2001년 5월,22.64,25.46,26.49,20.46,-11.15%
2001년 6월,19.06,23.02,24.42,18.83,-15.81%
2001년 7월,21.62,19.75,25.61,18.74,13.43%
2001년 8월,24.92,20.97,25.84,19.69,15.26%
2001년 9월,31.93,26.11,49.35,24.19,28.13%
2001년 10월,33.56,33.42,36.95,28.11,5.10%
2001년 11월,23.84,33.97,34.57,22.96,-28.96%
2001년 12월,23.8,25.92,26.38,21.12,-0.17%
2002년 1월,21.09,23.78,26.88,20.4,-11.39%
2002년 2월,21.59,21.12,27.32,20.55,2.37%
2002년 3월,17.4,21.06,21.12,17.02,-19.41%
2002년 4월,21.91,18.99,24.5,17.73,25.92%
2002년 5월,19.98,21.44,22.71,17.7,-8.81%
2002년 6월,25.4,20.98,30.98,20.62,27.13%
2002년 7월,32.03,25.71,48.46,25.63,26.10%
2002년 8월,32.64,32.77,45.21,27.61,1.90%
2002년 9월,39.69,37.12,41.86,33.72,21.60%
2002년 10월,31.14,37.25,43.44,29.69,-21.54%
2002년 11월,27.5,31.57,32.6,23.05,-11.69%
2002년 12월,28.62,28.35,31.2,25.87,4.07%
2003년 1월,31.17,28.74,35.33,24.02,8.91%
2003년 2월,29.63,32.45,35.66,29.06,-4.94%
2003년 3월,29.15,29.78,34.4,27.58,-1.62%
2003년 4월,21.21,29.58,30.04,20.26,-27.24%
2003년 5월,19.47,21.35,22.33,18.24,-8.20%
2003년 6월,19.52,20.35,22.81,18.87,0.26%
2003년 7월,19.49,20.49,20.8,17.65,-0.15%
2003년 8월,18.63,20.06,23.89,17.64,-4.41%
2003년 9월,22.72,19.31,23.26,17.52,21.95%
2003년 10월,16.1,22.81,22.82,15.79,-29.14%
2003년 11월,16.32,16.33,19.61,16.02,1.37%
2003년 12월,18.31,16.74,18.86,14.66,12.19%
2004년 1월,16.63,17.96,18.68,14.01,-9.18%
2004년 2월,14.55,17.45,18.06,13.8,-12.51%
2004년 3월,16.74,14.91,22.67,13.83,15.05%
2004년 4월,17.19,16.76,17.98,13.86,2.69%
2004년 5월,15.5,17.69,20.45,15.19,-9.83%
2004년 6월,14.34,16.6,17.04,13.75,-7.48%
2004년 7월,15.32,14.74,17.93,13.34,6.83%
2004년 8월,15.29,16.42,19.97,14.67,-0.20%
2004년 9월,13.34,15.39,15.98,13.16,-12.75%
2004년 10월,16.27,13.11,16.87,12.6,21.96%
2004년 11월,13.24,16.43,16.76,12.56,-18.62%
2004년 12월,13.29,13.1,13.74,11.14,0.38%
2005년 1월,12.82,13.39,14.75,12.29,-3.54%
2005년 2월,12.08,12.8,13.2,10.9,-5.77%
2005년 3월,14.02,11.95,14.89,11.66,16.06%
2005년 4월,15.31,13.64,18.59,11.2,9.20%
2005년 5월,13.29,15.45,17.7,11.65,-13.19%
2005년 6월,12.04,13.34,13.34,10.78,-9.41%
2005년 7월,11.57,11.75,13.92,9.88,-3.90%
2005년 8월,12.6,11.75,14.41,11.36,8.90%
2005년 9월,11.92,12.86,14.39,11.07,-5.40%
2005년 10월,15.32,12.37,17.19,11.98,28.52%
2005년 11월,12.06,14.85,15.66,10.5,-21.28%
2005년 12월,12.07,12.09,12.44,10.15,0.08%
2006년 1월,12.95,12.25,14.56,10.81,7.29%
2006년 2월,12.34,13.03,13.73,11.13,-4.71%
2006년 3월,11.39,12.05,13.34,10.53,-7.70%
2006년 4월,11.59,11.47,13.09,11.02,1.76%
2006년 5월,16.44,11.83,19.87,11.18,41.85%
2006년 6월,13.08,16.47,23.81,12.74,-20.44%
2006년 7월,14.95,13.29,19.58,12.77,14.30%
2006년 8월,12.31,15.49,16.15,11.57,-17.66%
2006년 9월,11.98,12.14,14.49,10.74,-2.68%
2006년 10월,11.1,12.45,12.91,10.44,-7.35%
2006년 11월,10.91,10.93,12.55,9.81,-1.71%
2006년 12월,11.56,11.07,12.68,9.39,5.96%
2007년 1월,10.42,12.16,12.83,9.87,-9.86%
2007년 2월,15.42,10.32,19.01,9.7,47.98%
2007년 3월,14.64,17.76,21.25,11.21,-5.06%
2007년 4월,14.22,14.91,15.46,11.46,-2.87%
2007년 5월,13.05,14.1,14.6,12.08,-8.23%
2007년 6월,16.23,12.77,18.98,12.43,24.37%
2007년 7월,23.52,16.48,24.17,14.67,44.92%
2007년 8월,23.38,23.71,37.5,19.33,-0.60%
2007년 9월,18,21.93,28.82,16.91,-23.01%
2007년 10월,18.53,18.44,24.15,16.08,2.94%
2007년 11월,22.87,19.89,31.09,17.38,23.42%
2007년 12월,22.5,23.59,24.86,18.28,-1.62%
