"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 6월","114.64","116.35","118.56","112.81","172.76K","-6.68%"
"2022년 5월","122.84","106.30","125.28","101.30","4.50M","12.35%"
"2022년 4월","109.34","105.25","114.84","97.57","3.80M","1.33%"
"2022년 3월","107.91","98.43","139.13","96.93","6.28M","6.85%"
"2022년 2월","100.99","89.62","105.79","87.72","5.89M","10.72%"
"2022년 1월","91.21","78.11","91.70","77.04","5.45M","17.27%"
"2021년 12월","77.78","69.80","80.17","65.72","5.18M","10.22%"
"2021년 11월","70.57","83.63","85.50","70.22","6.62M","-16.37%"
"2021년 10월","84.38","78.49","86.70","77.55","6.30M","7.46%"
"2021년 9월","78.52","71.68","80.75","70.42","5.09M","7.58%"
"2021년 8월","72.99","75.39","75.39","64.60","5.51M","-4.38%"
"2021년 7월","76.33","74.69","77.84","67.44","5.85M","1.60%"
"2021년 6월","75.13","69.39","76.60","69.29","5.06M","8.38%"
"2021년 5월","69.32","66.70","70.24","64.57","5.09M","3.08%"
"2021년 4월","67.25","63.12","68.95","61.25","5.05M","5.84%"
"2021년 3월","63.54","64.85","71.38","60.27","6.63M","-3.92%"
"2021년 2월","66.13","54.91","67.70","54.60","5.09M","18.34%"
"2021년 1월","55.88","51.50","57.42","50.56","5.27M","7.88%"
"2020년 12월","51.80","47.79","52.48","46.82","4.51M","8.85%"
"2020년 11월","47.59","37.37","49.09","35.74","5.04M","27.04%"
"2020년 10월","37.46","42.17","43.57","36.64","5.15M","-8.52%"
"2020년 9월","40.95","45.60","46.22","39.30","4.40M","-9.56%"
"2020년 8월","45.28","43.53","46.53","42.89","3.61M","4.57%"
"2020년 7월","43.30","41.58","44.89","41.03","4.03M","5.22%"
"2020년 6월","41.15","37.56","43.93","37.01","4.28M","16.47%"
"2020년 5월","35.33","26.95","36.98","25.50","3.80M","39.81%"
"2020년 4월","25.27","25.99","36.40","15.98","6.45M","11.13%"
"2020년 3월","22.74","48.95","53.90","21.65","7.36M","-54.99%"
"2020년 2월","50.52","56.16","60.00","50.05","5.27M","-13.14%"
"2020년 1월","58.16","66.41","71.75","57.71","5.80M","-11.88%"
"2019년 12월","66.00","60.73","68.99","60.30","4.45M","5.72%"
"2019년 11월","62.43","59.45","64.60","59.40","4.79M","3.65%"
"2019년 10월","60.23","59.38","62.34","56.15","5.61M","-0.90%"
"2019년 9월","60.78","58.80","71.95","57.23","5.63M","0.58%"
"2019년 8월","60.43","64.09","64.54","55.88","5.98M","-7.27%"
"2019년 7월","65.17","65.05","67.65","61.29","5.71M","-2.07%"
"2019년 6월","66.55","61.64","66.85","59.45","5.70M","3.19%"
"2019년 5월","64.49","71.73","73.40","64.37","6.13M","-11.41%"
"2019년 4월","72.80","67.58","75.60","67.58","5.49M","6.45%"
"2019년 3월","68.39","66.48","68.89","64.02","4.84M","3.57%"
"2019년 2월","66.03","61.06","67.73","60.46","4.55M","6.69%"
"2019년 1월","61.89","54.12","63.15","52.51","5.48M","15.04%"
"2018년 12월","53.80","59.98","63.73","49.93","4.73M","-8.36%"
"2018년 11월","58.71","74.69","74.99","57.50","6.26M","-22.21%"
"2018년 10월","75.47","82.79","86.74","75.09","6.90M","-8.76%"
"2018년 9월","82.72","77.69","82.87","75.64","4.69M","6.85%"
"2018년 8월","77.42","74.07","78.03","70.30","4.73M","4.27%"
"2018년 7월","74.25","78.55","79.51","71.19","5.56M","-6.53%"
