일차,출발시간,소요시간,날짜
0,0,91,2013-02-08
1,0,132,2013-02-09
2,0,83,2013-02-10
3,0,87,2013-02-11
4,0,84,2013-02-12
0,1,88,2013-02-08
1,1,129,2013-02-09
2,1,82,2013-02-10
3,1,85,2013-02-11
4,1,82,2013-02-12
0,2,88,2013-02-08
1,2,121,2013-02-09
2,2,102,2013-02-10
3,2,89,2013-02-11
4,2,78,2013-02-12
0,3,87,2013-02-08
1,3,124,2013-02-09
2,3,100,2013-02-10
3,3,84,2013-02-11
4,3,79,2013-02-12
0,4,91,2013-02-08
1,4,119,2013-02-09
2,4,93,2013-02-10
3,4,85,2013-02-11
4,4,84,2013-02-12
0,5,97,2013-02-08
1,5,118,2013-02-09
2,5,106,2013-02-10
3,5,81,2013-02-11
4,5,79,2013-02-12
0,6,96,2013-02-08
1,6,128,2013-02-09
2,6,100,2013-02-10
3,6,81,2013-02-11
4,6,80,2013-02-12
0,7,89,2013-02-08
1,7,133,2013-02-09
2,7,97,2013-02-10
3,7,80,2013-02-11
4,7,89,2013-02-12
0,8,90,2013-02-08
1,8,133,2013-02-09
2,8,94,2013-02-10
3,8,80,2013-02-11
4,8,87,2013-02-12
0,9,91,2013-02-08
1,9,149,2013-02-09
2,9,97,2013-02-10
3,9,86,2013-02-11
4,9,90,2013-02-12
0,10,91,2013-02-08
1,10,163,2013-02-09
2,10,95,2013-02-10
3,10,80,2013-02-11
4,10,90,2013-02-12
0,11,94,2013-02-08
1,11,166,2013-02-09
2,11,94,2013-02-10
3,11,85,2013-02-11
4,11,89,2013-02-12
0,12,101,2013-02-08
1,12,162,2013-02-09
2,12,99,2013-02-10
3,12,87,2013-02-11
4,12,89,2013-02-12
0,13,118,2013-02-08
1,13,137,2013-02-09
2,13,105,2013-02-10
3,13,92,2013-02-11
4,13,89,2013-02-12
0,14,115,2013-02-08
1,14,137,2013-02-09
2,14,108,2013-02-10
3,14,92,2013-02-11
4,14,91,2013-02-12
0,15,125,2013-02-08
1,15,123,2013-02-09
2,15,117,2013-02-10
3,15,93,2013-02-11
4,15,91,2013-02-12
0,16,136,2013-02-08
1,16,107,2013-02-09
2,16,121,2013-02-10
3,16,93,2013-02-11
4,16,88,2013-02-12
0,17,149,2013-02-08
1,17,106,2013-02-09
2,17,156,2013-02-10
3,17,94,2013-02-11
4,17,88,2013-02-12
0,18,167,2013-02-08
1,18,98,2013-02-09
2,18,160,2013-02-10
3,18,93,2013-02-11
4,18,91,2013-02-12
0,19,185,2013-02-08
1,19,93,2013-02-09
2,19,156,2013-02-10
3,19,94,2013-02-11
4,19,91,2013-02-12
0,20,202,2013-02-08
1,20,93,2013-02-09
2,20,145,2013-02-10
3,20,95,2013-02-11
4,20,87,2013-02-12
0,21,211,2013-02-08
1,21,91,2013-02-09
2,21,128,2013-02-10
3,21,92,2013-02-11
4,21,92,2013-02-12
0,22,212,2013-02-08
1,22,88,2013-02-09
2,22,116,2013-02-10
3,22,86,2013-02-11
4,22,91,2013-02-12
0,23,183,2013-02-08
1,23,89,2013-02-09
2,23,107,2013-02-10
3,23,85,2013-02-11
4,23,88,2013-02-12
0,0,84,2014-01-29
1,0,155,2014-01-30
2,0,81,2014-01-31
3,0,82,2014-02-01
4,0,80,2014-02-02
0,1,82,2014-01-29
1,1,158,2014-01-30
2,1,82,2014-01-31
3,1,82,2014-02-01
4,1,80,2014-02-02
0,2,82,2014-01-29
1,2,150,2014-01-30
2,2,83,2014-01-31
3,2,87,2014-02-01
4,2,83,2014-02-02
0,3,83,2014-01-29
1,3,146,2014-01-30
2,3,85,2014-01-31
3,3,83,2014-02-01
4,3,82,2014-02-02
0,4,80,2014-01-29
1,4,154,2014-01-30
2,4,87,2014-01-31
3,4,82,2014-02-01
4,4,85,2014-02-02
0,5,81,2014-01-29
1,5,148,2014-01-30
2,5,87,2014-01-31
3,5,82,2014-02-01
4,5,87,2014-02-02
0,6,83,2014-01-29
1,6,152,2014-01-30
2,6,89,2014-01-31
3,6,80,2014-02-01
4,6,84,2014-02-02
