소요시간범위,출발시간,연휴길이,날짜,눈비,1종 교통량,2종 교통량,서울인구수 ,소요시간
B,0,3,2013-02-08,TRUE,3793419,229419,10388055,91
B,1,3,2013-02-08,TRUE,2514790,203047,10388055,88
B,2,3,2013-02-08,TRUE,1846564,235137,10388055,88
A,3,3,2013-02-08,TRUE,1632415,305994,10388055,87
B,4,3,2013-02-08,TRUE,2247045,444384,10388055,91
B,5,3,2013-02-08,TRUE,5186824,774325,10388055,97
B,6,3,2013-02-08,TRUE,10866409,1206051,10388055,96
B,7,3,2013-02-08,TRUE,15984740,1349972,10388055,89
B,8,3,2013-02-08,TRUE,17462577,1624836,10388055,90
B,9,3,2013-02-08,TRUE,19314963,1932103,10388055,91
B,10,3,2013-02-08,TRUE,21570894,1937699,10388055,91
B,11,3,2013-02-08,TRUE,20983137,1768677,10388055,94
B,12,3,2013-02-08,TRUE,19894414,1596595,10388055,101
C,13,3,2013-02-08,TRUE,21519196,1610557,10388055,118
C,14,3,2013-02-08,TRUE,22670554,1669824,10388055,115
C,15,3,2013-02-08,TRUE,23232147,1567158,10388055,125
C,16,3,2013-02-08,TRUE,23527400,1408343,10388055,136
C,17,3,2013-02-08,TRUE,24025597,1218600,10388055,149
D,18,3,2013-02-08,TRUE,21219880,899265,10388055,167
D,19,3,2013-02-08,TRUE,16408481,655917,10388055,185
D,20,3,2013-02-08,FALSE,13599182,486769,10388055,202
D,21,3,2013-02-08,TRUE,11220101,374074,10388055,211
D,22,3,2013-02-08,FALSE,8291072,297572,10388055,212
D,23,3,2013-02-08,FALSE,5655106,239321,10388055,183
A,0,4,2014-01-29,FALSE,3551327,179224,10369593,84
A,1,4,2014-01-29,FALSE,2379600,172692,10369593,82
A,2,4,2014-01-29,FALSE,1755680,206269,10369593,82
A,3,4,2014-01-29,FALSE,1560879,263359,10369593,83
A,4,4,2014-01-29,FALSE,2171128,394981,10369593,80
A,5,4,2014-01-29,FALSE,5066315,680975,10369593,81
A,6,4,2014-01-29,FALSE,10406430,1085883,10369593,83
A,7,4,2014-01-29,FALSE,15221692,1225733,10369593,84
A,8,4,2014-01-29,FALSE,16710517,1462189,10369593,85
A,9,4,2014-01-29,FALSE,18634958,1720856,10369593,85
A,10,4,2014-01-29,FALSE,20704719,1720531,10369593,87
B,11,4,2014-01-29,FALSE,20216244,1576422,10369593,92
C,12,4,2014-01-29,FALSE,19194886,1405197,10369593,102
C,13,4,2014-01-29,FALSE,20755272,1433045,10369593,113
C,14,4,2014-01-29,FALSE,21816978,1476089,10369593,125
C,15,4,2014-01-29,FALSE,22353936,1379857,10369593,139
C,16,4,2014-01-29,FALSE,22658379,1240158,10369593,142
C,17,4,2014-01-29,FALSE,23013125,1060793,10369593,156
D,18,4,2014-01-29,FALSE,20109610,768213,10369593,186
D,19,4,2014-01-29,FALSE,15455642,553550,10369593,194
D,20,4,2014-01-29,FALSE,12710244,405901,10369593,222
D,21,4,2014-01-29,FALSE,10473982,311397,10369593,239
D,22,4,2014-01-29,FALSE,7763743,239495,10369593,222
D,23,4,2014-01-29,FALSE,5279820,199497,10369593,229
B,0,5,2015-02-17,TRUE,3117065,141548,10297138,97
A,1,5,2015-02-17,FALSE,2088998,141617,10297138,81
A,2,5,2015-02-17,FALSE,1541438,154967,10297138,83
B,3,5,2015-02-17,TRUE,1393356,200633,10297138,92
A,4,5,2015-02-17,FALSE,1965195,313330,10297138,82
A,5,5,2015-02-17,FALSE,4642716,569084,10297138,83
B,6,5,2015-02-17,FALSE,9289639,910190,10297138,101
B,7,5,2015-02-17,FALSE,13384876,1032145,10297138,96
B,8,5,2015-02-17,FALSE,14753459,1209263,10297138,93
A,9,5,2015-02-17,FALSE,16662426,1416714,10297138,86
B,10,5,2015-02-17,FALSE,18460017,1404372,10297138,93
B,11,5,2015-02-17,FALSE,17990220,1278377,10297138,90
C,12,5,2015-02-17,FALSE,17145747,1155349,10297138,112
C,13,5,2015-02-17,FALSE,18521112,1172609,10297138,113
C,14,5,2015-02-17,FALSE,19422715,1201678,10297138,126
C,15,5,2015-02-17,FALSE,19877237,1126585,10297138,139
C,16,5,2015-02-17,FALSE,20110893,1012096,10297138,151
D,17,5,2015-02-17,FALSE,20261661,870086,10297138,167
D,18,5,2015-02-17,FALSE,17543348,614827,10297138,176
D,19,5,2015-02-17,FALSE,13465160,442135,10297138,187
D,20,5,2015-02-17,FALSE,11171349,323293,10297138,227
D,21,5,2015-02-17,FALSE,9194389,240153,10297138,243
D,22,5,2015-02-17,FALSE,6796676,185327,10297138,249
D,23,5,2015-02-17,FALSE,4636096,157563,10297138,246
A,0,4,2017-01-26,TRUE,2263990,55522,10124579,85
B,1,4,2017-01-26,TRUE,1534668,56025,10124579,89
B,2,4,2017-01-26,TRUE,1146168,61401,10124579,91
B,3,4,2017-01-26,TRUE,1076856,81915,10124579,94
