"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2000-01","Jan-2000","IDX","Index","0","Units",,,99.01158,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2000-02","Feb-2000","IDX","Index","0","Units",,,99.35542,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2000-03","Mar-2000","IDX","Index","0","Units",,,99.56059,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2000-04","Apr-2000","IDX","Index","0","Units",,,99.67005,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2000-05","May-2000","IDX","Index","0","Units",,,99.75844,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2000-06","Jun-2000","IDX","Index","0","Units",,,99.8902,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2000-07","Jul-2000","IDX","Index","0","Units",,,100.11,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2000-08","Aug-2000","IDX","Index","0","Units",,,100.5025,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2000-09","Sep-2000","IDX","Index","0","Units",,,101.1524,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2000-10","Oct-2000","IDX","Index","0","Units",,,101.9441,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2000-11","Nov-2000","IDX","Index","0","Units",,,102.7328,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2000-12","Dec-2000","IDX","Index","0","Units",,,103.387,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2001-01","Jan-2001","IDX","Index","0","Units",,,103.8216,,
