"Subject","Country","Frequency","Time","Unit","PowerCode","Reference Period","Value","Flags"
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Jan-2000","Index","Units",,99.01158,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Feb-2000","Index","Units",,99.35542,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Mar-2000","Index","Units",,99.56059,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Apr-2000","Index","Units",,99.67005,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","May-2000","Index","Units",,99.75844,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Jun-2000","Index","Units",,99.8902,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Jul-2000","Index","Units",,100.11,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Aug-2000","Index","Units",,100.5025,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Sep-2000","Index","Units",,101.1524,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Oct-2000","Index","Units",,101.9441,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Nov-2000","Index","Units",,102.7328,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Dec-2000","Index","Units",,103.387,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Jan-2001","Index","Units",,103.8216,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Feb-2001","Index","Units",,103.8726,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Mar-2001","Index","Units",,103.3811,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Apr-2001","Index","Units",,102.6711,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","May-2001","Index","Units",,102.1403,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Jun-2001","Index","Units",,102.0691,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Jul-2001","Index","Units",,102.2506,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Aug-2001","Index","Units",,102.3996,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Sep-2001","Index","Units",,102.309,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Oct-2001","Index","Units",,102.0386,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Nov-2001","Index","Units",,101.6677,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Dec-2001","Index","Units",,101.2281,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Jan-2002","Index","Units",,100.7368,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Feb-2002","Index","Units",,100.1851,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Mar-2002","Index","Units",,99.57997,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Apr-2002","Index","Units",,99.04472,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","May-2002","Index","Units",,98.78263,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Jun-2002","Index","Units",,98.98154,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Jul-2002","Index","Units",,99.43397,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Aug-2002","Index","Units",,99.90134,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Sep-2002","Index","Units",,100.2246,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Oct-2002","Index","Units",,100.4198,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Nov-2002","Index","Units",,100.4675,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Dec-2002","Index","Units",,100.2303,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Jan-2003","Index","Units",,99.5175,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Feb-2003","Index","Units",,98.9193,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Mar-2003","Index","Units",,98.53388,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Apr-2003","Index","Units",,98.34039,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","May-2003","Index","Units",,98.09637,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Jun-2003","Index","Units",,97.8316,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Jul-2003","Index","Units",,97.71668,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Aug-2003","Index","Units",,97.83989,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Sep-2003","Index","Units",,98.09686,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Oct-2003","Index","Units",,98.36767,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Nov-2003","Index","Units",,98.63521,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Dec-2003","Index","Units",,98.86457,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Jan-2004","Index","Units",,99.07326,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Feb-2004","Index","Units",,99.28959,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Mar-2004","Index","Units",,99.41901,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Apr-2004","Index","Units",,99.36562,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","May-2004","Index","Units",,99.09046,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Jun-2004","Index","Units",,98.81499,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Jul-2004","Index","Units",,98.73326,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Aug-2004","Index","Units",,98.83689,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Sep-2004","Index","Units",,98.92179,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Oct-2004","Index","Units",,98.89736,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Nov-2004","Index","Units",,98.77673,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Dec-2004","Index","Units",,98.6636,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Jan-2005","Index","Units",,98.76029,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Feb-2005","Index","Units",,99.06799,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Mar-2005","Index","Units",,99.36508,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Apr-2005","Index","Units",,99.46254,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","May-2005","Index","Units",,99.31973,
"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","Korea","Monthly","Jun-2005","Index","Units",,99.13457,
