"SUBJECT","LOCATION","FREQUENCY","TIME","Unit Code","PowerCode Code","Reference Period Code","Value","Flag Codes"
"BSCICP03","KOR","M","2000-01","IDX","0",,99.01158,
"BSCICP03","KOR","M","2000-02","IDX","0",,99.35542,
"BSCICP03","KOR","M","2000-03","IDX","0",,99.56059,
"BSCICP03","KOR","M","2000-04","IDX","0",,99.67005,
"BSCICP03","KOR","M","2000-05","IDX","0",,99.75844,
"BSCICP03","KOR","M","2000-06","IDX","0",,99.8902,
"BSCICP03","KOR","M","2000-07","IDX","0",,100.11,
"BSCICP03","KOR","M","2000-08","IDX","0",,100.5025,
"BSCICP03","KOR","M","2000-09","IDX","0",,101.1524,
"BSCICP03","KOR","M","2000-10","IDX","0",,101.9441,
"BSCICP03","KOR","M","2000-11","IDX","0",,102.7328,
"BSCICP03","KOR","M","2000-12","IDX","0",,103.387,
"BSCICP03","KOR","M","2001-01","IDX","0",,103.8216,
"BSCICP03","KOR","M","2001-02","IDX","0",,103.8726,
"BSCICP03","KOR","M","2001-03","IDX","0",,103.3811,
"BSCICP03","KOR","M","2001-04","IDX","0",,102.6711,
"BSCICP03","KOR","M","2001-05","IDX","0",,102.1403,
"BSCICP03","KOR","M","2001-06","IDX","0",,102.0691,
"BSCICP03","KOR","M","2001-07","IDX","0",,102.2506,
"BSCICP03","KOR","M","2001-08","IDX","0",,102.3996,
"BSCICP03","KOR","M","2001-09","IDX","0",,102.309,
"BSCICP03","KOR","M","2001-10","IDX","0",,102.0386,
"BSCICP03","KOR","M","2001-11","IDX","0",,101.6677,
"BSCICP03","KOR","M","2001-12","IDX","0",,101.2281,
"BSCICP03","KOR","M","2002-01","IDX","0",,100.7368,
"BSCICP03","KOR","M","2002-02","IDX","0",,100.1851,
"BSCICP03","KOR","M","2002-03","IDX","0",,99.57997,
"BSCICP03","KOR","M","2002-04","IDX","0",,99.04472,
"BSCICP03","KOR","M","2002-05","IDX","0",,98.78263,
