"날짜","종가","오픈","고가","저가","변동 %"
"2022년 5월","1,710.80","1,797.94","1,809.89","1,709.28","-4.87%"
"2022년 4월","1,798.42","1,750.38","1,848.59","1,733.69","2.82%"
"2022년 3월","1,749.11","1,701.05","1,902.73","1,696.98","2.87%"
"2022년 2월","1,700.34","1,599.89","1,768.43","1,566.50","6.34%"
"2022년 1월","1,598.98","1,609.06","1,643.31","1,575.14","-0.55%"
"2021년 12월","1,607.80","1,565.24","1,613.32","1,554.96","2.78%"
"2021년 11월","1,564.31","1,542.86","1,654.20","1,518.99","1.48%"
"2021년 10월","1,541.55","1,517.19","1,559.71","1,502.86","1.69%"
"2021년 9월","1,516.00","1,536.19","1,543.48","1,479.17","-1.22%"
"2021년 8월","1,534.69","1,529.06","1,544.71","1,433.42","0.46%"
"2021년 7월","1,527.62","1,493.03","1,551.66","1,489.67","2.36%"
"2021년 6월","1,492.40","1,560.63","1,567.29","1,472.48","-4.34%"
"2021년 5월","1,560.15","1,470.53","1,566.48","1,468.45","6.05%"
"2021년 4월","1,471.13","1,455.73","1,497.24","1,447.49","1.09%"
"2021년 3월","1,455.22","1,435.46","1,478.44","1,411.17","1.39%"
"2021년 2월","1,435.25","1,521.01","1,547.49","1,419.72","-5.64%"
"2021년 1월","1,521.04","1,553.78","1,591.91","1,492.33","-2.10%"
"2020년 12월","1,553.65","1,489.65","1,565.05","1,487.45","4.35%"
"2020년 11월","1,488.93","1,611.72","1,652.79","1,472.75","-7.65%"
"2020년 10월","1,612.30","1,609.17","1,636.31","1,589.56","0.23%"
"2020년 9월","1,608.57","1,648.65","1,664.99","1,586.04","-2.40%"
"2020년 8월","1,648.14","1,676.91","1,749.93","1,591.72","-1.69%"
"2020년 7월","1,676.43","1,585.48","1,683.08","1,553.29","5.81%"
"2020년 6월","1,584.41","1,557.52","1,589.35","1,477.17","1.69%"
"2020년 5월","1,558.12","1,539.82","1,634.29","1,522.12","1.29%"
"2020년 4월","1,538.32","1,430.03","1,614.60","1,419.53","8.01%"
"2020년 3월","1,424.23","1,440.63","1,522.79","1,300.56","-0.89%"
"2020년 2월","1,437.01","1,433.65","1,560.95","1,403.21","0.29%"
"2020년 1월","1,432.91","1,353.31","1,443.45","1,351.62","5.92%"
"2019년 12월","1,352.78","1,331.46","1,363.40","1,307.18","1.67%"
"2019년 11월","1,330.59","1,356.68","1,357.98","1,312.30","-1.89%"
"2019년 10월","1,356.25","1,350.82","1,381.56","1,328.02","0.44%"
"2019년 9월","1,350.35","1,383.49","1,413.80","1,341.91","-2.35%"
"2019년 8월","1,382.85","1,276.69","1,399.36","1,269.10","8.37%"
"2019년 7월","1,276.05","1,239.61","1,290.63","1,219.86","2.97%"
"2019년 6월","1,239.23","1,169.10","1,261.49","1,165.46","6.19%"
"2019년 5월","1,166.99","1,144.54","1,170.51","1,131.01","1.99%"
"2019년 4월","1,144.21","1,151.85","1,162.92","1,124.65","-0.64%"
"2019년 3월","1,151.53","1,154.03","1,171.56","1,132.58","-0.28%"
"2019년 2월","1,154.74","1,155.06","1,187.14","1,143.55","0.05%"
"2019년 1월","1,154.22","1,118.63","1,155.55","1,110.68","3.27%"
"2018년 12월","1,117.65","1,080.05","1,122.07","1,074.78","3.54%"
"2018년 11월","1,079.49","1,073.88","1,084.64","1,059.32","0.60%"
"2018년 10월","1,073.08","1,027.00","1,093.88","1,020.23","4.54%"
"2018년 9월","1,026.43","1,035.78","1,039.45","1,011.67","-0.79%"
"2018년 8월","1,034.65","1,046.81","1,065.84","1,023.22","-1.12%"
"2018년 7월","1,046.37","1,075.49","1,080.96","1,036.11","-2.34%"
"2018년 6월","1,071.49","1,109.85","1,127.28","1,071.06","-3.43%"
"2018년 5월","1,109.54","1,089.09","1,133.63","1,085.85","1.93%"
"2018년 4월","1,088.53","1,075.22","1,102.47","1,074.35","1.32%"
"2018년 3월","1,074.33","1,080.99","1,093.43","1,064.22","-0.57%"
"2018년 2월","1,080.47","1,083.49","1,090.33","1,066.36","-0.18%"
"2018년 1월","1,082.43","1,085.27","1,105.32","1,075.45","-0.27%"
"2017년 12월","1,085.38","1,070.92","1,088.18","1,052.44","1.40%"
"2017년 11월","1,070.40","1,091.86","1,111.13","1,067.62","-1.92%"
"2017년 10월","1,091.35","1,082.68","1,107.63","1,077.47","0.82%"
"2017년 9월","1,082.48","1,110.05","1,128.07","1,079.89","-2.43%"
"2017년 8월","1,109.47","1,072.07","1,112.69","1,061.89","3.54%"
"2017년 7월","1,071.56","1,087.17","1,088.16","1,056.42","-1.33%"
"2017년 6월","1,086.01","1,128.29","1,152.35","1,085.95","-3.69%"
"2017년 5월","1,127.59","1,162.69","1,166.42","1,112.86","-3.05%"
"2017년 4월","1,163.09","1,171.73","1,221.42","1,152.40","-0.76%"
"2017년 3월","1,171.96","1,180.39","1,185.72","1,123.17","-0.65%"
"2017년 2월","1,179.67","1,121.05","1,192.33","1,115.23","5.30%"
"2017년 1월","1,120.32","1,093.77","1,142.03","1,093.19","2.35%"
"2016년 12월","1,094.65","1,108.21","1,130.76","1,078.06","-1.19%"
"2016년 11월","1,107.79","1,163.32","1,189.15","1,105.23","-4.74%"
"2016년 10월","1,162.96","1,171.19","1,175.09","1,113.06","-0.62%"
"2016년 9월","1,170.22","1,173.06","1,202.44","1,165.40","-0.17%"
"2016년 8월","1,172.22","1,208.65","1,225.77","1,167.64","-2.99%"
"2016년 7월","1,208.38","1,190.56","1,244.78","1,185.06","1.54%"
"2016년 6월","1,190.04","1,091.67","1,244.94","1,080.26","9.09%"
"2016년 5월","1,090.88","1,130.31","1,136.98","1,080.28","-3.36%"
"2016년 4월","1,128.78","1,083.17","1,132.67","1,064.66","4.29%"
"2016년 3월","1,082.37","1,139.35","1,164.72","1,078.78","-4.94%"
"2016년 2월","1,138.67","1,032.07","1,141.41","1,023.58","10.43%"
"2016년 1월","1,031.13","976.80","1,035.59","974.64","5.62%"
"2015년 12월","976.25","1,007.53","1,015.39","961.38","-3.09%"
"2015년 11월","1,007.34","1,035.94","1,036.21","995.07","-2.92%"
"2015년 10월","1,037.62","997.59","1,069.48","986.52","4.06%"
"2015년 9월","997.10","1,012.45","1,033.51","971.43","-1.42%"
"2015년 8월","1,011.45","998.82","1,035.51","979.27","1.47%"
"2015년 7월","996.81","1,051.53","1,068.17","981.78","-5.20%"
"2015년 6월","1,051.52","1,083.60","1,102.58","1,037.09","-2.87%"
"2015년 5월","1,082.63","1,054.30","1,102.99","1,038.13","2.66%"
"2015년 4월","1,054.56","1,102.86","1,143.32","1,050.79","-4.35%"
"2015년 3월","1,102.50","1,084.38","1,111.11","1,067.14","1.80%"
"2015년 2월","1,083.05","1,137.56","1,138.01","1,050.02","-4.72%"
"2015년 1월","1,136.73","978.72","1,168.39","971.09","16.20%"
"2014년 12월","978.26","937.92","999.59","919.20","4.39%"
"2014년 11월","937.08","938.02","973.70","911.43","0.07%"
"2014년 10월","936.45","956.46","985.40","925.74","-2.06%"
"2014년 9월","956.11","980.09","983.10","940.84","-2.43%"
"2014년 8월","979.88","957.97","988.84","955.96","2.32%"
"2014년 7월","957.65","969.36","988.70","952.31","-1.18%"
"2014년 6월","969.11","917.47","973.66","910.34","5.75%"
"2014년 5월","916.45","931.35","956.59","910.47","-1.56%"
"2014년 4월","930.93","932.49","963.72","917.76","-0.10%"
"2014년 3월","931.88","964.61","1,001.22","930.57","-2.87%"
"2014년 2월","959.41","923.33","979.22","919.83","4.07%"
"2014년 1월","921.89","876.51","933.89","874.16","5.21%"
"2013년 12월","876.24","921.83","921.97","859.35","-4.91%"
