"날짜","일차","출발시간","소요시간","눈비","교통량합계1종","교통량합계2종","인구수","교통량합계"
2013-02-08,0,0,91,TRUE,11369763,523201,10388055,11892964
2013-02-09,1,0,132,TRUE,11369763,523201,10388055,11892964
2013-02-10,2,0,83,TRUE,11369763,523201,10388055,11892964
2013-02-11,3,0,87,TRUE,11369763,523201,10388055,11892964
2013-02-12,4,0,84,TRUE,11369763,523201,10388055,11892964
2013-02-08,0,1,88,TRUE,7518962,470000,10388055,7988962
2013-02-09,1,1,129,TRUE,7518962,470000,10388055,7988962
2013-02-10,2,1,82,TRUE,7518962,470000,10388055,7988962
2013-02-11,3,1,85,FALSE,7518962,470000,10388055,7988962
2013-02-12,4,1,82,FALSE,7518962,470000,10388055,7988962
2013-02-08,0,2,88,TRUE,5250235,496078,10388055,5746313
2013-02-09,1,2,121,TRUE,5250235,496078,10388055,5746313
2013-02-10,2,2,102,TRUE,5250235,496078,10388055,5746313
2013-02-11,3,2,89,FALSE,5250235,496078,10388055,5746313
2013-02-12,4,2,78,FALSE,5250235,496078,10388055,5746313
2013-02-08,0,3,87,TRUE,4230974,624683,10388055,4855657
2013-02-09,1,3,124,TRUE,4230974,624683,10388055,4855657
2013-02-10,2,3,100,TRUE,4230974,624683,10388055,4855657
2013-02-11,3,3,84,TRUE,4230974,624683,10388055,4855657
2013-02-12,4,3,79,TRUE,4230974,624683,10388055,4855657
2013-02-08,0,4,91,TRUE,4975804,874748,10388055,5850552
2013-02-09,1,4,119,TRUE,4975804,874748,10388055,5850552
2013-02-10,2,4,93,TRUE,4975804,874748,10388055,5850552
2013-02-11,3,4,85,TRUE,4975804,874748,10388055,5850552
2013-02-12,4,4,84,TRUE,4975804,874748,10388055,5850552
2013-02-08,0,5,97,TRUE,10667595,1498576,10388055,12166171
2013-02-09,1,5,118,TRUE,10667595,1498576,10388055,12166171
2013-02-10,2,5,106,TRUE,10667595,1498576,10388055,12166171
2013-02-11,3,5,81,TRUE,10667595,1498576,10388055,12166171
2013-02-12,4,5,79,TRUE,10667595,1498576,10388055,12166171
2013-02-08,0,6,96,TRUE,23601930,2654556,10388055,26256486
2013-02-09,1,6,128,TRUE,23601930,2654556,10388055,26256486
2013-02-10,2,6,100,TRUE,23601930,2654556,10388055,26256486
2013-02-11,3,6,81,TRUE,23601930,2654556,10388055,26256486
2013-02-12,4,6,80,TRUE,23601930,2654556,10388055,26256486
2013-02-08,0,7,89,TRUE,36380071,3255498,10388055,39635569
2013-02-09,1,7,133,TRUE,36380071,3255498,10388055,39635569
2013-02-10,2,7,97,TRUE,36380071,3255498,10388055,39635569
2013-02-11,3,7,80,TRUE,36380071,3255498,10388055,39635569
2013-02-12,4,7,89,TRUE,36380071,3255498,10388055,39635569
2013-02-08,0,8,90,TRUE,41280228,3575060,10388055,44855288
2013-02-09,1,8,133,TRUE,41280228,3575060,10388055,44855288
2013-02-10,2,8,94,TRUE,41280228,3575060,10388055,44855288
2013-02-11,3,8,80,TRUE,41280228,3575060,10388055,44855288
2013-02-12,4,8,87,TRUE,41280228,3575060,10388055,44855288
2013-02-08,0,9,91,TRUE,43804586,4235654,10388055,48040240
2013-02-09,1,9,149,TRUE,43804586,4235654,10388055,48040240
2013-02-10,2,9,97,TRUE,43804586,4235654,10388055,48040240
2013-02-11,3,9,86,TRUE,43804586,4235654,10388055,48040240
2013-02-12,4,9,90,TRUE,43804586,4235654,10388055,48040240
2013-02-08,0,10,91,TRUE,49511497,4352751,10388055,53864248
2013-02-09,1,10,163,TRUE,49511497,4352751,10388055,53864248
2013-02-10,2,10,95,TRUE,49511497,4352751,10388055,53864248
2013-02-11,3,10,80,TRUE,49511497,4352751,10388055,53864248
2013-02-12,4,10,90,TRUE,49511497,4352751,10388055,53864248
2013-02-08,0,11,94,TRUE,50752300,4102493,10388055,54854793
2013-02-09,1,11,166,TRUE,50752300,4102493,10388055,54854793
2013-02-10,2,11,94,TRUE,50752300,4102493,10388055,54854793
2013-02-11,3,11,85,TRUE,50752300,4102493,10388055,54854793
2013-02-12,4,11,89,TRUE,50752300,4102493,10388055,54854793
2013-02-08,0,12,101,TRUE,48271340,3725102,10388055,51996442
2013-02-09,1,12,162,TRUE,48271340,3725102,10388055,51996442
2013-02-10,2,12,99,TRUE,48271340,3725102,10388055,51996442
2013-02-11,3,12,87,TRUE,48271340,3725102,10388055,51996442
2013-02-12,4,12,89,TRUE,48271340,3725102,10388055,51996442
2013-02-08,0,13,118,TRUE,50593221,3709434,10388055,54302655
2013-02-09,1,13,137,TRUE,50593221,3709434,10388055,54302655
2013-02-10,2,13,105,TRUE,50593221,3709434,10388055,54302655
2013-02-11,3,13,92,TRUE,50593221,3709434,10388055,54302655
2013-02-12,4,13,89,TRUE,50593221,3709434,10388055,54302655
2013-02-08,0,14,115,TRUE,53189461,3867277,10388055,57056738
2013-02-09,1,14,137,TRUE,53189461,3867277,10388055,57056738
2013-02-10,2,14,108,TRUE,53189461,3867277,10388055,57056738
2013-02-11,3,14,92,TRUE,53189461,3867277,10388055,57056738
2013-02-12,4,14,91,TRUE,53189461,3867277,10388055,57056738
2013-02-08,0,15,125,TRUE,54787052,3692778,10388055,58479830
2013-02-09,1,15,123,TRUE,54787052,3692778,10388055,58479830
2013-02-10,2,15,117,TRUE,54787052,3692778,10388055,58479830
2013-02-11,3,15,93,TRUE,54787052,3692778,10388055,58479830
2013-02-12,4,15,91,TRUE,54787052,3692778,10388055,58479830
2013-02-08,0,16,136,TRUE,56287190,3363121,10388055,59650311
2013-02-09,1,16,107,TRUE,56287190,3363121,10388055,59650311
2013-02-10,2,16,121,TRUE,56287190,3363121,10388055,59650311
2013-02-11,3,16,93,TRUE,56287190,3363121,10388055,59650311
2013-02-12,4,16,88,TRUE,56287190,3363121,10388055,59650311
2013-02-08,0,17,149,TRUE,58878514,2924553,10388055,61803067
2013-02-09,1,17,106,TRUE,58878514,2924553,10388055,61803067
2013-02-10,2,17,156,TRUE,58878514,2924553,10388055,61803067
2013-02-11,3,17,94,TRUE,58878514,2924553,10388055,61803067
2013-02-12,4,17,88,TRUE,58878514,2924553,10388055,61803067
2013-02-08,0,18,167,TRUE,54782095,2222097,10388055,57004192
2013-02-09,1,18,98,TRUE,54782095,2222097,10388055,57004192
2013-02-10,2,18,160,TRUE,54782095,2222097,10388055,57004192
2013-02-11,3,18,93,TRUE,54782095,2222097,10388055,57004192
2013-02-12,4,18,91,TRUE,54782095,2222097,10388055,57004192
2013-02-08,0,19,185,TRUE,43816635,1647751,10388055,45464386
2013-02-09,1,19,93,TRUE,43816635,1647751,10388055,45464386
2013-02-10,2,19,156,FALSE,43816635,1647751,10388055,45464386
2013-02-11,3,19,94,FALSE,43816635,1647751,10388055,45464386
2013-02-12,4,19,91,FALSE,43816635,1647751,10388055,45464386
2013-02-08,0,20,202,FALSE,36060321,1229771,10388055,37290092
2013-02-09,1,20,93,TRUE,36060321,1229771,10388055,37290092
2013-02-10,2,20,145,FALSE,36060321,1229771,10388055,37290092
2013-02-11,3,20,95,FALSE,36060321,1229771,10388055,37290092
2013-02-12,4,20,87,FALSE,36060321,1229771,10388055,37290092
2013-02-08,0,21,211,TRUE,30450086,926420,10388055,31376506
2013-02-09,1,21,91,TRUE,30450086,926420,10388055,31376506
2013-02-10,2,21,128,TRUE,30450086,926420,10388055,31376506
2013-02-11,3,21,92,TRUE,30450086,926420,10388055,31376506
2013-02-12,4,21,92,TRUE,30450086,926420,10388055,31376506
2013-02-08,0,22,212,FALSE,23724302,711809,10388055,24436111
2013-02-09,1,22,88,TRUE,23724302,711809,10388055,24436111
2013-02-10,2,22,116,FALSE,23724302,711809,10388055,24436111
2013-02-11,3,22,86,FALSE,23724302,711809,10388055,24436111
2013-02-12,4,22,91,TRUE,23724302,711809,10388055,24436111
2013-02-08,0,23,183,FALSE,16703904,586946,10388055,17290850
2013-02-09,1,23,89,TRUE,16703904,586946,10388055,17290850
2013-02-10,2,23,107,FALSE,16703904,586946,10388055,17290850
2013-02-11,3,23,85,FALSE,16703904,586946,10388055,17290850
2013-02-12,4,23,88,TRUE,16703904,586946,10388055,17290850
2014-01-29,0,0,84,FALSE,10664105,428069,10369593,11092174
2014-01-30,1,0,155,FALSE,10664105,428069,10369593,11092174
2014-01-31,2,0,81,FALSE,10664105,428069,10369593,11092174
2014-02-01,3,0,82,FALSE,10664105,428069,10369593,11092174
2014-02-02,4,0,80,FALSE,10664105,428069,10369593,11092174
2014-01-29,0,1,82,FALSE,7069420,403697,10369593,7473117
2014-01-30,1,1,158,FALSE,7069420,403697,10369593,7473117
2014-01-31,2,1,82,FALSE,7069420,403697,10369593,7473117
2014-02-01,3,1,82,FALSE,7069420,403697,10369593,7473117
2014-02-02,4,1,80,FALSE,7069420,403697,10369593,7473117
2014-01-29,0,2,82,FALSE,4976310,439135,10369593,5415445
2014-01-30,1,2,150,FALSE,4976310,439135,10369593,5415445
2014-01-31,2,2,83,FALSE,4976310,439135,10369593,5415445
2014-02-01,3,2,87,FALSE,4976310,439135,10369593,5415445
2014-02-02,4,2,83,FALSE,4976310,439135,10369593,5415445
2014-01-29,0,3,83,FALSE,4047937,540574,10369593,4588511
2014-01-30,1,3,146,FALSE,4047937,540574,10369593,4588511
2014-01-31,2,3,85,FALSE,4047937,540574,10369593,4588511
2014-02-01,3,3,83,FALSE,4047937,540574,10369593,4588511
2014-02-02,4,3,82,TRUE,4047937,540574,10369593,4588511
2014-01-29,0,4,80,FALSE,4811616,777718,10369593,5589334
2014-01-30,1,4,154,FALSE,4811616,777718,10369593,5589334
2014-01-31,2,4,87,FALSE,4811616,777718,10369593,5589334
2014-02-01,3,4,82,FALSE,4811616,777718,10369593,5589334
2014-02-02,4,4,85,FALSE,4811616,777718,10369593,5589334
2014-01-29,0,5,81,FALSE,10497962,1328908,10369593,11826870
2014-01-30,1,5,148,FALSE,10497962,1328908,10369593,11826870
2014-01-31,2,5,87,FALSE,10497962,1328908,10369593,11826870
2014-02-01,3,5,82,FALSE,10497962,1328908,10369593,11826870
2014-02-02,4,5,87,FALSE,10497962,1328908,10369593,11826870
2014-01-29,0,6,83,FALSE,22667811,2378576,10369593,25046387
