"소요시간범위","출발시간","연휴길이","눈비","X1종.교통량","X2종.교통량","서울인구수","소요시간"
"B",0,3,TRUE,3793419,229419,10388055,132
"B",1,3,TRUE,2514790,203047,10388055,129
"A",2,3,TRUE,1846564,235137,10388055,121
"A",3,3,TRUE,1632415,305994,10388055,124
"A",4,3,TRUE,2247045,444384,10388055,119
"A",5,3,TRUE,5186824,774325,10388055,118
"B",6,3,TRUE,10866409,1206051,10388055,128
"B",7,3,TRUE,15984740,1349972,10388055,133
"B",8,3,TRUE,17462577,1624836,10388055,133
"B",9,3,TRUE,19314963,1932103,10388055,149
"C",10,3,TRUE,21570894,1937699,10388055,163
"C",11,3,TRUE,20983137,1768677,10388055,166
"C",12,3,TRUE,19894414,1596595,10388055,162
"C",0,4,FALSE,3551327,179224,10369593,155
"C",1,4,FALSE,2379600,172692,10369593,158
"C",2,4,FALSE,1755680,206269,10369593,150
"B",3,4,FALSE,1560879,263359,10369593,146
"C",4,4,FALSE,2171128,394981,10369593,154
"B",5,4,FALSE,5066315,680975,10369593,148
"C",6,4,FALSE,10406430,1085883,10369593,152
"C",7,4,FALSE,15221692,1225733,10369593,168
"D",8,4,FALSE,16710517,1462189,10369593,174
"D",9,4,TRUE,18634958,1720856,10369593,177
"D",10,4,FALSE,20704719,1720531,10369593,203
"D",11,4,FALSE,20216244,1576422,10369593,205
"D",12,4,TRUE,19194886,1405197,10369593,225
"C",6,5,FALSE,9289639,910190,10297138,157
"D",7,5,FALSE,13384876,1032145,10297138,181
"D",8,5,FALSE,14753459,1209263,10297138,171
"D",9,5,FALSE,16662426,1416714,10297138,182
"D",10,5,FALSE,18460017,1404372,10297138,203
"D",11,5,FALSE,17990220,1278377,10297138,215
"C",0,4,TRUE,2263990,55522,10124579,154
"B",1,4,FALSE,1534668,56025,10124579,149
"B",2,4,FALSE,1146168,61401,10124579,143
"B",4,4,FALSE,1586722,120295,10124579,149
"C",6,4,FALSE,7695815,439642,10124579,157
"D",7,4,FALSE,10713741,533512,10124579,170
"C",8,4,FALSE,11863474,598953,10124579,158
"B",9,4,FALSE,13242181,688415,10124579,144
"C",10,4,FALSE,14473087,676177,10124579,164
"C",11,4,FALSE,14092662,607412,10124579,152
"C",12,4,FALSE,13599682,543005,10124579,150
"A",0,4,FALSE,2062008,46739,10049607,123
"B",1,4,FALSE,1404611,48487,10049607,135
"B",2,4,FALSE,1075574,56086,10049607,133
"B",3,4,FALSE,1010519,68881,10049607,146
"B",4,4,FALSE,1513685,103093,10049607,138
"B",5,4,FALSE,3739115,188766,10049607,131
"B",6,4,FALSE,7130843,370566,10049607,143
"C",7,4,FALSE,10017061,461543,10049607,163
"B",8,4,FALSE,11151705,518635,10049607,145
"C",9,4,FALSE,12240786,592020,10049607,156
"C",10,4,FALSE,13237082,572941,10049607,166
"D",11,4,FALSE,12896834,515435,10049607,191
"D",12,4,FALSE,12505601,460235,10049607,205
"A",0,4,FALSE,6931877,654882,9911088,121
"B",1,4,FALSE,3910325,423050,9911088,125
"B",2,4,FALSE,3073500,479703,9911088,139
"B",3,4,FALSE,3184334,577997,9911088,143
"B",4,4,FALSE,5676460,765750,9911088,131
"B",5,4,FALSE,16524701,1139063,9911088,147
"C",6,4,FALSE,33702462,1629920,9911088,153
"C",7,4,FALSE,51388364,1765147,9911088,155
"C",8,4,FALSE,51740388,2010702,9911088,150
"C",9,4,FALSE,49797211,2208959,9911088,159
"D",10,4,FALSE,53135274,2023882,9911088,177
"D",11,4,FALSE,52246935,1820612,9911088,188
"D",12,4,FALSE,50664256,1586687,9911088,194
