"소요시간범위","출발시간","연휴길이","눈비","X1종.교통량","X2종.교통량","서울인구수","소요시간"
"B",13,3,TRUE,21519196,1610557,10388055,137
"B",14,3,TRUE,22670554,1669824,10388055,137
"A",15,3,TRUE,23232147,1567158,10388055,123
"A",16,3,TRUE,23527400,1408343,10388055,107
"A",17,3,TRUE,24025597,1218600,10388055,106
"A",18,3,TRUE,21219880,899265,10388055,98
"A",19,3,TRUE,16408481,655917,10388055,93
"A",20,3,TRUE,13599182,486769,10388055,93
"A",21,3,TRUE,11220101,374074,10388055,91
"A",22,3,TRUE,8291072,297572,10388055,88
"A",23,3,TRUE,5655106,239321,10388055,89
"D",13,4,FALSE,20755272,1433045,10369593,216
"D",14,4,FALSE,21816978,1476089,10369593,206
"D",15,4,FALSE,22353936,1379857,10369593,187
"D",16,4,FALSE,22658379,1240158,10369593,172
"C",17,4,FALSE,23013125,1060793,10369593,157
"B",18,4,FALSE,20109610,768213,10369593,146
"B",19,4,FALSE,15455642,553550,10369593,134
"A",20,4,FALSE,12710244,405901,10369593,121
"A",21,4,FALSE,10473982,311397,10369593,110
"A",22,4,FALSE,7763743,239495,10369593,102
"A",23,4,FALSE,5279820,199497,10369593,99
"D",15,5,FALSE,19877237,1126585,10297138,203
"D",16,5,FALSE,20110893,1012096,10297138,196
"D",17,5,FALSE,20261661,870086,10297138,182
"D",18,5,FALSE,17543348,614827,10297138,171
"C",19,5,FALSE,13465160,442135,10297138,160
"B",20,5,FALSE,11171349,323293,10297138,144
"B",21,5,FALSE,9194389,240153,10297138,126
"A",22,5,FALSE,6796676,185327,10297138,113
"A",23,5,FALSE,4636096,157563,10297138,104
"B",13,4,FALSE,14700451,577625,10124579,144
"B",14,4,FALSE,15286525,586611,10124579,148
"B",15,4,FALSE,15616153,553681,10124579,139
"A",16,4,FALSE,15978700,500434,10124579,122
"B",17,4,FALSE,16007163,430053,10124579,129
"A",18,4,FALSE,13614141,282458,10124579,110
"A",19,4,FALSE,10278326,194536,10124579,113
"A",20,4,FALSE,8327714,134453,10124579,107
"A",21,4,FALSE,6816494,93863,10124579,100
"A",22,4,FALSE,4954720,70169,10124579,94
"A",23,4,FALSE,3336994,61849,10124579,90
"D",13,4,FALSE,13521478,488713,10049607,187
"D",14,4,FALSE,14037169,500614,10049607,191
"D",15,4,FALSE,14342853,469771,10049607,181
"C",16,4,FALSE,14725316,425221,10049607,169
"C",17,4,FALSE,14811510,358830,10049607,160
"B",18,4,FALSE,12616185,229294,10049607,148
"B",19,4,FALSE,9387736,154941,10049607,133
"A",20,4,FALSE,7572362,108346,10049607,120
"A",21,4,FALSE,6205753,77044,10049607,112
"A",22,4,FALSE,4511182,58402,10049607,104
"A",23,4,FALSE,3057070,55743,10049607,99
"D",13,4,FALSE,55434200,1651664,9911088,196
"D",14,4,FALSE,57668715,1654545,9911088,172
"D",15,4,FALSE,58538861,1523451,9911088,170
"C",16,4,FALSE,60586463,1352887,9911088,153
"B",17,4,FALSE,63006617,1122638,9911088,142
"B",18,4,FALSE,55025143,820619,9911088,130
"A",19,4,FALSE,37614683,636968,9911088,117
"A",20,4,FALSE,29794437,488107,9911088,108
"A",21,4,FALSE,22938920,417156,9911088,102
"A",22,4,FALSE,15357956,360587,9911088,97
"A",23,4,FALSE,9510468,370481,9911088,90
