"소요시간범위","출발시간","연휴길이","눈비","X1종.교통량","X2종.교통량","서울인구수","소요시간"
"B",0,3,TRUE,3793419,229419,10388055,132
"B",1,3,TRUE,2514790,203047,10388055,129
"A",2,3,TRUE,1846564,235137,10388055,121
"A",3,3,TRUE,1632415,305994,10388055,124
"A",4,3,TRUE,2247045,444384,10388055,119
"A",5,3,TRUE,5186824,774325,10388055,118
"B",6,3,TRUE,10866409,1206051,10388055,128
"B",7,3,TRUE,15984740,1349972,10388055,133
"B",8,3,TRUE,17462577,1624836,10388055,133
"B",9,3,TRUE,19314963,1932103,10388055,149
"C",10,3,TRUE,21570894,1937699,10388055,163
"C",11,3,TRUE,20983137,1768677,10388055,166
"C",12,3,TRUE,19894414,1596595,10388055,162
"B",13,3,TRUE,21519196,1610557,10388055,137
"B",14,3,TRUE,22670554,1669824,10388055,137
"A",15,3,TRUE,23232147,1567158,10388055,123
"A",16,3,TRUE,23527400,1408343,10388055,107
"A",17,3,TRUE,24025597,1218600,10388055,106
"A",18,3,TRUE,21219880,899265,10388055,98
"A",19,3,TRUE,16408481,655917,10388055,93
"A",20,3,TRUE,13599182,486769,10388055,93
"A",21,3,TRUE,11220101,374074,10388055,91
"A",22,3,TRUE,8291072,297572,10388055,88
"A",23,3,TRUE,5655106,239321,10388055,89
"C",0,4,FALSE,3551327,179224,10369593,155
"C",1,4,FALSE,2379600,172692,10369593,158
"C",2,4,FALSE,1755680,206269,10369593,150
"B",3,4,FALSE,1560879,263359,10369593,146
"C",4,4,FALSE,2171128,394981,10369593,154
"B",5,4,FALSE,5066315,680975,10369593,148
"C",6,4,FALSE,10406430,1085883,10369593,152
"C",7,4,FALSE,15221692,1225733,10369593,168
"D",8,4,FALSE,16710517,1462189,10369593,174
"D",9,4,TRUE,18634958,1720856,10369593,177
"D",10,4,FALSE,20704719,1720531,10369593,203
"D",11,4,FALSE,20216244,1576422,10369593,205
"D",12,4,TRUE,19194886,1405197,10369593,225
"D",13,4,FALSE,20755272,1433045,10369593,216
"D",14,4,FALSE,21816978,1476089,10369593,206
"D",15,4,FALSE,22353936,1379857,10369593,187
"D",16,4,FALSE,22658379,1240158,10369593,172
"C",17,4,FALSE,23013125,1060793,10369593,157
"B",18,4,FALSE,20109610,768213,10369593,146
"B",19,4,FALSE,15455642,553550,10369593,134
"A",20,4,FALSE,12710244,405901,10369593,121
"A",21,4,FALSE,10473982,311397,10369593,110
"A",22,4,FALSE,7763743,239495,10369593,102
