"LOCATION","TIME","Value"
"G-7","2000-01",101.3689
"G-7","2000-02",101.4002
"G-7","2000-03",101.4037
"G-7","2000-04",101.3802
"G-7","2000-05",101.3261
"G-7","2000-06",101.2476
"G-7","2000-07",101.1458
"G-7","2000-08",101.0128
"G-7","2000-09",100.8447
"G-7","2000-10",100.6345
"G-7","2000-11",100.3852
"G-7","2000-12",100.104
"G-7","2001-01",99.81741
"G-7","2001-02",99.55943
"G-7","2001-03",99.34409
"G-7","2001-04",99.17026
"G-7","2001-05",99.02793
"G-7","2001-06",98.88504
"G-7","2001-07",98.73392
"G-7","2001-08",98.58511
"G-7","2001-09",98.46996
"G-7","2001-10",98.44175
"G-7","2001-11",98.52361
"G-7","2001-12",98.70119
"G-7","2002-01",98.93379
"G-7","2002-02",99.1759
"G-7","2002-03",99.37754
"G-7","2002-04",99.49169
"G-7","2002-05",99.49671
"G-7","2002-06",99.39312
"G-7","2002-07",99.21759
"G-7","2002-08",99.01309
"G-7","2002-09",98.80698
"G-7","2002-10",98.62528
"G-7","2002-11",98.4828
"G-7","2002-12",98.36911
"G-7","2003-01",98.27821
"G-7","2003-02",98.21996
"G-7","2003-03",98.21909
"G-7","2003-04",98.2972
"G-7","2003-05",98.44882
"G-7","2003-06",98.65753
"G-7","2003-07",98.90839
"G-7","2003-08",99.19062
"G-7","2003-09",99.49251
"G-7","2003-10",99.79252
"G-7","2003-11",100.0658
"G-7","2003-12",100.2903
"G-7","2004-01",100.4566
"G-7","2004-02",100.5607
"G-7","2004-03",100.6159
"G-7","2004-04",100.6308
"G-7","2004-05",100.6189
"G-7","2004-06",100.5879
"G-7","2004-07",100.5397
"G-7","2004-08",100.4827
"G-7","2004-09",100.4328
"G-7","2004-10",100.3966
"G-7","2004-11",100.3761
"G-7","2004-12",100.3555
"G-7","2005-01",100.3141
"G-7","2005-02",100.2477
"G-7","2005-03",100.1686
"G-7","2005-04",100.1024
"G-7","2005-05",100.0733
"G-7","2005-06",100.0899
"G-7","2005-07",100.1416
