"LOCATION","TIME","Value"
"KOR","2000-01",104.5602
"KOR","2000-02",104.0744
"KOR","2000-03",103.6126
"KOR","2000-04",103.2033
"KOR","2000-05",102.8155
"KOR","2000-06",102.4115
"KOR","2000-07",101.939
"KOR","2000-08",101.363
"KOR","2000-09",100.667
"KOR","2000-10",99.88611
"KOR","2000-11",99.0952
"KOR","2000-12",98.37554
"KOR","2001-01",97.78368
"KOR","2001-02",97.37314
"KOR","2001-03",97.16624
"KOR","2001-04",97.10679
"KOR","2001-05",97.13932
"KOR","2001-06",97.24905
"KOR","2001-07",97.46252
"KOR","2001-08",97.78284
"KOR","2001-09",98.21348
"KOR","2001-10",98.77706
"KOR","2001-11",99.46316
"KOR","2001-12",100.2121
"KOR","2002-01",100.9484
"KOR","2002-02",101.5953
"KOR","2002-03",102.086
"KOR","2002-04",102.3518
"KOR","2002-05",102.3921
"KOR","2002-06",102.2611
"KOR","2002-07",102.0325
"KOR","2002-08",101.7348
"KOR","2002-09",101.3958
"KOR","2002-10",101.0103
"KOR","2002-11",100.5691
"KOR","2002-12",100.0546
"KOR","2003-01",99.48544
"KOR","2003-02",98.95258
"KOR","2003-03",98.54265
"KOR","2003-04",98.30023
"KOR","2003-05",98.23922
"KOR","2003-06",98.35496
"KOR","2003-07",98.60952
"KOR","2003-08",98.94823
"KOR","2003-09",99.29958
"KOR","2003-10",99.61929
"KOR","2003-11",99.89191
"KOR","2003-12",100.1095
"KOR","2004-01",100.2676
"KOR","2004-02",100.355
"KOR","2004-03",100.3763
"KOR","2004-04",100.3612
"KOR","2004-05",100.3149
"KOR","2004-06",100.2598
"KOR","2004-07",100.208
"KOR","2004-08",100.1516
"KOR","2004-09",100.0849
"KOR","2004-10",100.0066
"KOR","2004-11",99.93584
"KOR","2004-12",99.89175
"KOR","2005-01",99.89729
"KOR","2005-02",99.94914
"KOR","2005-03",100.005
"KOR","2005-04",100.0491
"KOR","2005-05",100.113
"KOR","2005-06",100.2321
"KOR","2005-07",100.4118
"KOR","2005-08",100.6363
"KOR","2005-09",100.8665
"KOR","2005-10",101.067
"KOR","2005-11",101.1977
"KOR","2005-12",101.2336
"KOR","2006-01",101.1677
"KOR","2006-02",101.0208
"KOR","2006-03",100.8201
"KOR","2006-04",100.5985
"KOR","2006-05",100.3874
"KOR","2006-06",100.2313
"KOR","2006-07",100.1753
"KOR","2006-08",100.2187
"KOR","2006-09",100.301
"KOR","2006-10",100.3726
"KOR","2006-11",100.4094
"KOR","2006-12",100.4288
"KOR","2007-01",100.4637
"KOR","2007-02",100.5412
"KOR","2007-03",100.662
"KOR","2007-04",100.8325
"KOR","2007-05",101.03
"KOR","2007-06",101.2187
"KOR","2007-07",101.3504
"KOR","2007-08",101.3731
"KOR","2007-09",101.2711
"KOR","2007-10",101.0283
"KOR","2007-11",100.6556
"KOR","2007-12",100.1881
"KOR","2008-01",99.66741
"KOR","2008-02",99.13461
"KOR","2008-03",98.6207
"KOR","2008-04",98.13996
"KOR","2008-05",97.69785
"KOR","2008-06",97.29977
"KOR","2008-07",96.97797
"KOR","2008-08",96.73866
"KOR","2008-09",96.57893
"KOR","2008-10",96.53442
"KOR","2008-11",96.68316
"KOR","2008-12",97.07565
"KOR","2009-01",97.70613
"KOR","2009-02",98.51286
"KOR","2009-03",99.35973
"KOR","2009-04",100.1694
"KOR","2009-05",100.8811
"KOR","2009-06",101.4882
"KOR","2009-07",102.0003
"KOR","2009-08",102.4048
"KOR","2009-09",102.6826
"KOR","2009-10",102.8227
"KOR","2009-11",102.8489
"KOR","2009-12",102.7829
"KOR","2010-01",102.6446
"KOR","2010-02",102.4652
"KOR","2010-03",102.2764
"KOR","2010-04",102.0887
"KOR","2010-05",101.9
"KOR","2010-06",101.7036
"KOR","2010-07",101.4927
"KOR","2010-08",101.2784
"KOR","2010-09",101.0778
"KOR","2010-10",100.9214
"KOR","2010-11",100.838
"KOR","2010-12",100.8216
"KOR","2011-01",100.8389
"KOR","2011-02",100.8178
"KOR","2011-03",100.7093
"KOR","2011-04",100.5179
"KOR","2011-05",100.2547
"KOR","2011-06",99.94382
"KOR","2011-07",99.61504
"KOR","2011-08",99.27899
"KOR","2011-09",98.96187
"KOR","2011-10",98.68668
"KOR","2011-11",98.48441
"KOR","2011-12",98.3932
"KOR","2012-01",98.41383
"KOR","2012-02",98.51215
"KOR","2012-03",98.63365
"KOR","2012-04",98.74795
"KOR","2012-05",98.82915
"KOR","2012-06",98.87394
"KOR","2012-07",98.88805
"KOR","2012-08",98.90054
"KOR","2012-09",98.92895
"KOR","2012-10",98.96936
"KOR","2012-11",99.02409
"KOR","2012-12",99.10219
"KOR","2013-01",99.19582
"KOR","2013-02",99.31612
"KOR","2013-03",99.46874
"KOR","2013-04",99.61792
"KOR","2013-05",99.73315
"KOR","2013-06",99.7951
"KOR","2013-07",99.79958
"KOR","2013-08",99.77156
"KOR","2013-09",99.72223
"KOR","2013-10",99.67814
"KOR","2013-11",99.65122
"KOR","2013-12",99.64307
"KOR","2014-01",99.64109
"KOR","2014-02",99.62833
"KOR","2014-03",99.59996
"KOR","2014-04",99.55865
"KOR","2014-05",99.51785
"KOR","2014-06",99.50198
"KOR","2014-07",99.53526
"KOR","2014-08",99.6276
"KOR","2014-09",99.77055
"KOR","2014-10",99.95097
"KOR","2014-11",100.1481
"KOR","2014-12",100.3209
"KOR","2015-01",100.4381
"KOR","2015-02",100.5048
"KOR","2015-03",100.5311
"KOR","2015-04",100.5261
"KOR","2015-05",100.4993
"KOR","2015-06",100.4671
"KOR","2015-07",100.4598
"KOR","2015-08",100.4745
"KOR","2015-09",100.5067
"KOR","2015-10",100.5325
"KOR","2015-11",100.5356
"KOR","2015-12",100.5112
"KOR","2016-01",100.4777
"KOR","2016-02",100.4614
"KOR","2016-03",100.4761
"KOR","2016-04",100.5208
"KOR","2016-05",100.595
"KOR","2016-06",100.7026
"KOR","2016-07",100.8415
"KOR","2016-08",100.9997
"KOR","2016-09",101.1517
"KOR","2016-10",101.2823
"KOR","2016-11",101.4045
"KOR","2016-12",101.5268
"KOR","2017-01",101.6436
"KOR","2017-02",101.7402
"KOR","2017-03",101.801
"KOR","2017-04",101.8204
"KOR","2017-05",101.7977
"KOR","2017-06",101.7452
"KOR","2017-07",101.6617
"KOR","2017-08",101.5472
"KOR","2017-09",101.4011
"KOR","2017-10",101.2229
"KOR","2017-11",101.0061
"KOR","2017-12",100.7644
"KOR","2018-01",100.5387
"KOR","2018-02",100.3444
"KOR","2018-03",100.1778
"KOR","2018-04",100.0459
"KOR","2018-05",99.93706
"KOR","2018-06",99.83688
"KOR","2018-07",99.75288
"KOR","2018-08",99.68052
"KOR","2018-09",99.60535
"KOR","2018-10",99.52036
"KOR","2018-11",99.43235
"KOR","2018-12",99.34715
"KOR","2019-01",99.26042
"KOR","2019-02",99.16803
"KOR","2019-03",99.05871
"KOR","2019-04",98.93271
"KOR","2019-05",98.81268
"KOR","2019-06",98.71584
"KOR","2019-07",98.63933
"KOR","2019-08",98.59964
"KOR","2019-09",98.60482
"KOR","2019-10",98.66209
"KOR","2019-11",98.75225
"KOR","2019-12",98.83833
"KOR","2020-01",98.88432
"KOR","2020-02",98.89029
"KOR","2020-03",98.87843
"KOR","2020-04",98.89505
"KOR","2020-05",98.96783
"KOR","2020-06",99.13239
"KOR","2020-07",99.38464
"KOR","2020-08",99.6918
"KOR","2020-09",100.0192
"KOR","2020-10",100.3338
"KOR","2020-11",100.6234
