"SUBJECT","LOCATION","FREQUENCY","TIME","Unit Code","PowerCode Code","Reference Period Code","Value","Flag Codes"
"LOLITOAA","KOR","M","2000-01","IDX","0",,104.5602,
"LOLITOAA","KOR","M","2000-02","IDX","0",,104.0744,
"LOLITOAA","KOR","M","2000-03","IDX","0",,103.6126,
"LOLITOAA","KOR","M","2000-04","IDX","0",,103.2033,
"LOLITOAA","KOR","M","2000-05","IDX","0",,102.8155,
"LOLITOAA","KOR","M","2000-06","IDX","0",,102.4115,
"LOLITOAA","KOR","M","2000-07","IDX","0",,101.939,
"LOLITOAA","KOR","M","2000-08","IDX","0",,101.363,
"LOLITOAA","KOR","M","2000-09","IDX","0",,100.667,
"LOLITOAA","KOR","M","2000-10","IDX","0",,99.88611,
"LOLITOAA","KOR","M","2000-11","IDX","0",,99.0952,
"LOLITOAA","KOR","M","2000-12","IDX","0",,98.37554,
"LOLITOAA","KOR","M","2001-01","IDX","0",,97.78368,
"LOLITOAA","KOR","M","2001-02","IDX","0",,97.37314,
"LOLITOAA","KOR","M","2001-03","IDX","0",,97.16624,
"LOLITOAA","KOR","M","2001-04","IDX","0",,97.10679,
"LOLITOAA","KOR","M","2001-05","IDX","0",,97.13932,
"LOLITOAA","KOR","M","2001-06","IDX","0",,97.24905,
"LOLITOAA","KOR","M","2001-07","IDX","0",,97.46252,
"LOLITOAA","KOR","M","2001-08","IDX","0",,97.78284,
"LOLITOAA","KOR","M","2001-09","IDX","0",,98.21348,
"LOLITOAA","KOR","M","2001-10","IDX","0",,98.77706,
"LOLITOAA","KOR","M","2001-11","IDX","0",,99.46316,
"LOLITOAA","KOR","M","2001-12","IDX","0",,100.2121,
"LOLITOAA","KOR","M","2002-01","IDX","0",,100.9484,
"LOLITOAA","KOR","M","2002-02","IDX","0",,101.5953,
"LOLITOAA","KOR","M","2002-03","IDX","0",,102.086,
"LOLITOAA","KOR","M","2002-04","IDX","0",,102.3518,
"LOLITOAA","KOR","M","2002-05","IDX","0",,102.3921,
"LOLITOAA","KOR","M","2002-06","IDX","0",,102.2611,
"LOLITOAA","KOR","M","2002-07","IDX","0",,102.0325,
"LOLITOAA","KOR","M","2002-08","IDX","0",,101.7348,
"LOLITOAA","KOR","M","2002-09","IDX","0",,101.3958,
"LOLITOAA","KOR","M","2002-10","IDX","0",,101.0103,
"LOLITOAA","KOR","M","2002-11","IDX","0",,100.5691,
"LOLITOAA","KOR","M","2002-12","IDX","0",,100.0546,
"LOLITOAA","KOR","M","2003-01","IDX","0",,99.48544,
"LOLITOAA","KOR","M","2003-02","IDX","0",,98.95258,
"LOLITOAA","KOR","M","2003-03","IDX","0",,98.54265,
"LOLITOAA","KOR","M","2003-04","IDX","0",,98.30023,
"LOLITOAA","KOR","M","2003-05","IDX","0",,98.23922,
"LOLITOAA","KOR","M","2003-06","IDX","0",,98.35496,
"LOLITOAA","KOR","M","2003-07","IDX","0",,98.60952,
"LOLITOAA","KOR","M","2003-08","IDX","0",,98.94823,
"LOLITOAA","KOR","M","2003-09","IDX","0",,99.29958,
"LOLITOAA","KOR","M","2003-10","IDX","0",,99.61929,
"LOLITOAA","KOR","M","2003-11","IDX","0",,99.89191,
"LOLITOAA","KOR","M","2003-12","IDX","0",,100.1095,
"LOLITOAA","KOR","M","2004-01","IDX","0",,100.2676,
"LOLITOAA","KOR","M","2004-02","IDX","0",,100.355,
