"LOCATION","TIME","Value"
"OECD","2000-01",101.6736
"OECD","2000-02",101.7239
"OECD","2000-03",101.7319
"OECD","2000-04",101.7008
"OECD","2000-05",101.6319
"OECD","2000-06",101.5321
"OECD","2000-07",101.4026
"OECD","2000-08",101.2391
"OECD","2000-09",101.0345
"OECD","2000-10",100.7814
"OECD","2000-11",100.4828
"OECD","2000-12",100.1485
"OECD","2001-01",99.81055
"OECD","2001-02",99.50636
"OECD","2001-03",99.25761
"OECD","2001-04",99.06808
"OECD","2001-05",98.92821
"OECD","2001-06",98.80254
"OECD","2001-07",98.68239
"OECD","2001-08",98.5725
"OECD","2001-09",98.49386
"OECD","2001-10",98.49303
"OECD","2001-11",98.59067
"OECD","2001-12",98.77155
"OECD","2002-01",98.9955
"OECD","2002-02",99.22294
"OECD","2002-03",99.409
"OECD","2002-04",99.50958
"OECD","2002-05",99.50816
"OECD","2002-06",99.41165
"OECD","2002-07",99.25548
"OECD","2002-08",99.08015
"OECD","2002-09",98.90648
"OECD","2002-10",98.75219
"OECD","2002-11",98.62283
"OECD","2002-12",98.50456
"OECD","2003-01",98.39281
"OECD","2003-02",98.30398
"OECD","2003-03",98.27084
"OECD","2003-04",98.32127
"OECD","2003-05",98.44934
"OECD","2003-06",98.64214
"OECD","2003-07",98.88302
"OECD","2003-08",99.15628
"OECD","2003-09",99.44775
"OECD","2003-10",99.73586
"OECD","2003-11",99.99445
"OECD","2003-12",100.2054
"OECD","2004-01",100.3622
"OECD","2004-02",100.4642
"OECD","2004-03",100.521
"OECD","2004-04",100.5393
"OECD","2004-05",100.5277
"OECD","2004-06",100.4958
"OECD","2004-07",100.4507
"OECD","2004-08",100.4023
"OECD","2004-09",100.3659
"OECD","2004-10",100.3438
"OECD","2004-11",100.331
"OECD","2004-12",100.311
"OECD","2005-01",100.2676
"OECD","2005-02",100.197
"OECD","2005-03",100.1132
"OECD","2005-04",100.0467
"OECD","2005-05",100.0221
"OECD","2005-06",100.0539
"OECD","2005-07",100.1328
"OECD","2005-08",100.2499
"OECD","2005-09",100.3999
"OECD","2005-10",100.5786
"OECD","2005-11",100.7728
"OECD","2005-12",100.958
"OECD","2006-01",101.1137
"OECD","2006-02",101.2322
"OECD","2006-03",101.3104
"OECD","2006-04",101.3502
"OECD","2006-05",101.3604
"OECD","2006-06",101.3641
"OECD","2006-07",101.382
"OECD","2006-08",101.4343
"OECD","2006-09",101.5257
"OECD","2006-10",101.6438
"OECD","2006-11",101.7752
"OECD","2006-12",101.9072
"OECD","2007-01",102.025
"OECD","2007-02",102.1284
"OECD","2007-03",102.2152
"OECD","2007-04",102.2829
"OECD","2007-05",102.3231
"OECD","2007-06",102.3274
"OECD","2007-07",102.2916
"OECD","2007-08",102.217
"OECD","2007-09",102.1215
"OECD","2007-10",102.013
"OECD","2007-11",101.8858
"OECD","2007-12",101.7425
"OECD","2008-01",101.5722
"OECD","2008-02",101.361
"OECD","2008-03",101.1037
"OECD","2008-04",100.7928
"OECD","2008-05",100.4055
"OECD","2008-06",99.91784
"OECD","2008-07",99.31675
"OECD","2008-08",98.60225
"OECD","2008-09",97.79266
"OECD","2008-10",96.94659
"OECD","2008-11",96.17227
"OECD","2008-12",95.56528
"OECD","2009-01",95.18444
"OECD","2009-02",95.0589
"OECD","2009-03",95.19203
"OECD","2009-04",95.55597
"OECD","2009-05",96.07903
"OECD","2009-06",96.68968
"OECD","2009-07",97.32549
"OECD","2009-08",97.94186
"OECD","2009-09",98.5062
"OECD","2009-10",98.99371
"OECD","2009-11",99.40078
"OECD","2009-12",99.73418
"OECD","2010-01",99.99854
"OECD","2010-02",100.1961
"OECD","2010-03",100.3378
"OECD","2010-04",100.4182
"OECD","2010-05",100.4436
"OECD","2010-06",100.4435
"OECD","2010-07",100.4551
"OECD","2010-08",100.5027
"OECD","2010-09",100.5857
"OECD","2010-10",100.6937
"OECD","2010-11",100.8184
"OECD","2010-12",100.9351
"OECD","2011-01",101.0173
"OECD","2011-02",101.0361
"OECD","2011-03",100.9776
"OECD","2011-04",100.8433
"OECD","2011-05",100.645
"OECD","2011-06",100.3997
"OECD","2011-07",100.1349
"OECD","2011-08",99.88567
"OECD","2011-09",99.69474
"OECD","2011-10",99.5888
"OECD","2011-11",99.56145
"OECD","2011-12",99.58615
"OECD","2012-01",99.62679
"OECD","2012-02",99.64983
"OECD","2012-03",99.63256
"OECD","2012-04",99.56918
"OECD","2012-05",99.47065
"OECD","2012-06",99.35806
"OECD","2012-07",99.25976
"OECD","2012-08",99.19272
"OECD","2012-09",99.16783
"OECD","2012-10",99.18239
"OECD","2012-11",99.2359
"OECD","2012-12",99.32664
"OECD","2013-01",99.44409
"OECD","2013-02",99.57555
"OECD","2013-03",99.70391
"OECD","2013-04",99.8295
"OECD","2013-05",99.95323
"OECD","2013-06",100.0717
"OECD","2013-07",100.1817
"OECD","2013-08",100.2843
"OECD","2013-09",100.3745
"OECD","2013-10",100.4464
"OECD","2013-11",100.5001
"OECD","2013-12",100.532
"OECD","2014-01",100.5486
"OECD","2014-02",100.563
"OECD","2014-03",100.5793
"OECD","2014-04",100.5835
"OECD","2014-05",100.5733
"OECD","2014-06",100.5533
"OECD","2014-07",100.5291
"OECD","2014-08",100.5069
"OECD","2014-09",100.4935
"OECD","2014-10",100.483
"OECD","2014-11",100.475
"OECD","2014-12",100.4684
"OECD","2015-01",100.4664
"OECD","2015-02",100.4659
"OECD","2015-03",100.4608
"OECD","2015-04",100.4419
"OECD","2015-05",100.3997
"OECD","2015-06",100.335
"OECD","2015-07",100.2464
"OECD","2015-08",100.1468
"OECD","2015-09",100.0513
"OECD","2015-10",99.96828
"OECD","2015-11",99.88866
"OECD","2015-12",99.8063
"OECD","2016-01",99.72888
"OECD","2016-02",99.66698
"OECD","2016-03",99.63447
"OECD","2016-04",99.62788
"OECD","2016-05",99.63448
"OECD","2016-06",99.65266
"OECD","2016-07",99.68742
"OECD","2016-08",99.74802
"OECD","2016-09",99.83862
"OECD","2016-10",99.95155
"OECD","2016-11",100.0719
"OECD","2016-12",100.1902
"OECD","2017-01",100.2957
"OECD","2017-02",100.3903
"OECD","2017-03",100.4761
"OECD","2017-04",100.5541
"OECD","2017-05",100.6283
"OECD","2017-06",100.7041
"OECD","2017-07",100.7796
"OECD","2017-08",100.8568
"OECD","2017-09",100.9298
"OECD","2017-10",100.989
"OECD","2017-11",101.0285
"OECD","2017-12",101.0468
"OECD","2018-01",101.0463
"OECD","2018-02",101.0274
"OECD","2018-03",100.982
"OECD","2018-04",100.911
"OECD","2018-05",100.8158
"OECD","2018-06",100.6959
"OECD","2018-07",100.5522
"OECD","2018-08",100.3892
"OECD","2018-09",100.2132
"OECD","2018-10",100.0359
"OECD","2018-11",99.87533
"OECD","2018-12",99.73869
"OECD","2019-01",99.63304
"OECD","2019-02",99.55444
"OECD","2019-03",99.4881
"OECD","2019-04",99.41211
"OECD","2019-05",99.31998
"OECD","2019-06",99.21732
"OECD","2019-07",99.11796
"OECD","2019-08",99.03823
"OECD","2019-09",98.99163
"OECD","2019-10",98.97514
"OECD","2019-11",98.97366
"OECD","2019-12",98.96519
"OECD","2020-01",98.93094
"OECD","2020-02",98.86399
"OECD","2020-03",96.66122
"OECD","2020-04",91.37724
"OECD","2020-05",93.34251
"OECD","2020-06",96.13468
"OECD","2020-07",97.49409
"OECD","2020-08",98.05638
"OECD","2020-09",98.27624
"OECD","2020-10",98.53413
"OECD","2020-11",98.86278
"OECD","2020-12",99.26824
"OECD","2021-01",99.55679
"OECD","2021-02",99.89517
"OECD","2021-03",100.2661
"OECD","2021-04",100.5554
"OECD","2021-05",100.7379
"OECD","2021-06",100.8432
"OECD","2021-07",100.873
"OECD","2021-08",100.8366
"OECD","2021-09",100.7667
"OECD","2021-10",100.6806
"OECD","2021-11",100.5891
"OECD","2021-12",100.4971
"OECD","2022-01",100.4058
"OECD","2022-02",100.3172
"OECD","2022-03",100.2351
"OECD","2022-04",100.1643
