"날짜","종가","오픈","고가","저가","변동 %"
"2022년 5월","2.849","2.932","3.203","2.706","-3.00%"
"2022년 4월","2.938","2.352","2.981","2.352","25.26%"
"2022년 3월","2.345","1.840","2.557","1.668","28.74%"
"2022년 2월","1.822","1.787","2.065","1.739","2.12%"
"2022년 1월","1.784","1.531","1.902","1.529","17.99%"
"2021년 12월","1.512","1.477","1.560","1.335","3.82%"
"2021년 11월","1.456","1.575","1.693","1.412","-6.71%"
"2021년 10월","1.561","1.501","1.705","1.453","4.58%"
"2021년 9월","1.492","1.317","1.567","1.260","14.18%"
"2021년 8월","1.307","1.237","1.379","1.127","6.65%"
"2021년 7월","1.226","1.470","1.485","1.128","-16.51%"
"2021년 6월","1.468","1.608","1.639","1.354","-7.13%"
"2021년 5월","1.581","1.631","1.707","1.469","-2.78%"
"2021년 4월","1.626","1.737","1.753","1.528","-6.77%"
"2021년 3월","1.744","1.395","1.776","1.383","23.99%"
"2021년 2월","1.407","1.071","1.614","1.060","31.38%"
"2021년 1월","1.071","0.930","1.187","0.906","16.81%"
"2020년 12월","0.916","0.847","0.986","0.834","8.82%"
"2020년 11월","0.842","0.855","0.975","0.718","-3.61%"
"2020년 10월","0.874","0.689","0.877","0.653","27.42%"
"2020년 9월","0.686","0.713","0.731","0.604","-2.93%"
"2020년 8월","0.706","0.535","0.789","0.504","32.51%"
"2020년 7월","0.533","0.658","0.724","0.520","-18.94%"
"2020년 6월","0.658","0.640","0.959","0.618","0.78%"
"2020년 5월","0.653","0.630","0.745","0.590","1.08%"
"2020년 4월","0.646","0.663","0.785","0.543","-3.34%"
"2020년 3월","0.668","1.105","1.283","0.318","-42.59%"
"2020년 2월","1.163","1.514","1.684","1.116","-22.71%"
"2020년 1월","1.505","1.919","1.946","1.503","-21.58%"
"2019년 12월","1.919","1.796","1.952","1.693","8.18%"
"2019년 11월","1.774","1.689","1.973","1.670","5.13%"
"2019년 10월","1.688","1.670","1.860","1.505","1.17%"
"2019년 9월","1.668","1.508","1.908","1.429","11.24%"
"2019년 8월","1.499","2.025","2.061","1.443","-25.31%"
"2019년 7월","2.007","2.045","2.150","1.939","0.03%"
"2019년 6월","2.007","2.126","2.178","1.974","-5.93%"
"2019년 5월","2.133","2.509","2.578","2.126","-14.79%"
"2019년 4월","2.504","2.430","2.614","2.424","4.02%"
"2019년 3월","2.407","2.719","2.768","2.340","-11.41%"
"2019년 2월","2.717","2.645","2.740","2.624","3.19%"
"2019년 1월","2.633","2.686","2.799","2.543","-1.98%"
"2018년 12월","2.686","3.037","3.050","2.679","-10.27%"
"2018년 11월","2.993","3.155","3.250","2.988","-4.95%"
"2018년 10월","3.149","3.067","3.261","3.046","2.75%"
"2018년 9월","3.065","2.860","3.113","2.855","7.15%"
"2018년 8월","2.860","2.958","3.016","2.808","-3.42%"
"2018년 7월","2.962","2.858","2.990","2.807","3.55%"
"2018년 6월","2.860","2.862","3.010","2.822","0.00%"
"2018년 5월","2.860","2.959","3.128","2.759","-3.20%"
"2018년 4월","2.955","2.759","3.035","2.717","7.82%"
"2018년 3월","2.741","2.866","2.936","2.739","-4.31%"
"2018년 2월","2.864","2.724","2.957","2.648","5.59%"
"2018년 1월","2.713","2.429","2.754","2.416","12.77%"
"2017년 12월","2.405","2.411","2.504","2.314","-0.40%"
"2017년 11월","2.415","2.379","2.437","2.304","1.58%"
"2017년 10월","2.378","2.344","2.477","2.273","1.65%"
"2017년 9월","2.339","2.127","2.359","2.016","10.30%"
"2017년 8월","2.121","2.303","2.321","2.086","-7.64%"
"2017년 7월","2.296","2.314","2.398","2.225","-0.33%"
"2017년 6월","2.304","2.213","2.309","2.103","4.41%"
"2017년 5월","2.206","2.282","2.423","2.181","-3.62%"
"2017년 4월","2.289","2.396","2.405","2.165","-4.19%"
"2017년 3월","2.389","2.415","2.629","2.348","-0.33%"
"2017년 2월","2.397","2.461","2.524","2.310","-2.79%"
