"날짜","종가"
"2022년 06월 02일",2.917
"2022년 06월 01일",2.911
"2022년 05월 31일",2.849
"2022년 05월 30일",2.812
"2022년 05월 27일",2.743
"2022년 05월 26일",2.742
"2022년 05월 25일",2.751
"2022년 05월 24일",2.754
"2022년 05월 23일",2.861
"2022년 05월 22일",2.808
"2022년 05월 20일",2.788
"2022년 05월 19일",2.837
"2022년 05월 18일",2.884
"2022년 05월 17일",2.995
"2022년 05월 16일",2.886
"2022년 05월 15일",2.942
"2022년 05월 13일",2.928
"2022년 05월 12일",2.855
"2022년 05월 11일",2.925
"2022년 05월 10일",2.989
"2022년 05월 09일",3.034
"2022년 05월 08일",3.142
"2022년 05월 06일",3.142
"2022년 05월 05일",3.035
"2022년 05월 04일",2.946
"2022년 05월 03일",2.979
"2022년 05월 02일",2.977
"2022년 05월 01일",2.934
"2022년 04월 29일",2.938
"2022년 04월 28일",2.832
"2022년 04월 27일",2.826
"2022년 04월 26일",2.728
"2022년 04월 25일",2.818
"2022년 04월 24일",2.887
"2022년 04월 22일",2.905
"2022년 04월 21일",2.908
"2022년 04월 20일",2.834
"2022년 04월 19일",2.94
"2022년 04월 18일",2.857
"2022년 04월 17일",2.847
"2022년 04월 14일",2.828
"2022년 04월 13일",2.703
"2022년 04월 12일",2.727
"2022년 04월 11일",2.774
"2022년 04월 10일",2.723
"2022년 04월 08일",2.704
"2022년 04월 07일",2.665
"2022년 04월 06일",2.598
"2022년 04월 05일",2.554
"2022년 04월 04일",2.393
"2022년 04월 03일",2.401
"2022년 04월 01일",2.389
"2022년 03월 31일",2.345
"2022년 03월 30일",2.358
"2022년 03월 29일",2.398
"2022년 03월 28일",2.466
"2022년 03월 27일",2.471
"2022년 03월 25일",2.488
"2022년 03월 24일",2.37
"2022년 03월 23일",2.29
"2022년 03월 22일",2.381
"2022년 03월 21일",2.297
"2022년 03월 20일",2.153
"2022년 03월 18일",2.153
"2022년 03월 17일",2.167
"2022년 03월 16일",2.192
"2022년 03월 15일",2.149
"2022년 03월 14일",2.142
"2022년 03월 13일",2.039
"2022년 03월 11일",1.997
"2022년 03월 10일",1.993
