"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 06월 02일","1,855.15","1,849.00","1,856.25","1,846.60","-","0.35%"
"2022년 06월 01일","1,848.70","1,840.00","1,853.00","1,830.20","158.04K","0.02%"
"2022년 05월 31일","1,848.40","1,856.50","1,867.90","1,837.60","201.80K","-0.38%"
"2022년 05월 30일","1,855.40","1,847.79","1,862.10","1,846.54","-","0.42%"
"2022년 05월 29일","1,847.65","1,850.55","1,851.76","1,845.90","-","-0.52%"
"2022년 05월 27일","1,857.30","1,855.10","1,866.90","1,851.90","123.76K","0.18%"
"2022년 05월 26일","1,853.90","1,857.90","1,859.00","1,842.50","92.09K","0.08%"
"2022년 05월 25일","1,852.50","1,871.20","1,872.70","1,845.00","99.60K","-1.01%"
"2022년 05월 24일","1,871.40","1,858.60","1,875.00","1,853.90","76.58K","0.94%"
"2022년 05월 23일","1,853.90","1,850.90","1,870.40","1,849.70","62.66K","0.30%"
"2022년 05월 20일","1,848.40","1,847.40","1,854.00","1,837.30","42.70K","0.03%"
"2022년 05월 19일","1,847.80","1,821.30","1,854.50","1,814.90","38.86K","1.39%"
"2022년 05월 18일","1,822.40","1,820.20","1,829.30","1,811.70","40.54K","-0.16%"
"2022년 05월 17일","1,825.40","1,831.70","1,840.90","1,817.80","27.00K","0.27%"
"2022년 05월 16일","1,820.40","1,816.00","1,832.40","1,792.00","27.77K","0.31%"
"2022년 05월 13일","1,814.80","1,828.10","1,834.20","1,804.00","21.40K","-0.92%"
"2022년 05월 12일","1,831.60","1,858.80","1,865.80","1,827.20","71.42K","-1.58%"
"2022년 05월 11일","1,861.00","1,844.90","1,864.50","1,838.00","60.05K","0.68%"
"2022년 05월 10일","1,848.40","1,860.30","1,871.60","1,841.90","90.25K","-0.94%"
"2022년 05월 09일","1,865.90","1,890.90","1,891.80","1,858.60","71.72K","-1.29%"
"2022년 05월 06일","1,890.20","1,884.50","1,900.80","1,872.40","52.58K","0.38%"
"2022년 05월 05일","1,883.00","1,891.30","1,917.60","1,879.60","28.69K","0.36%"
"2022년 05월 04일","1,876.20","1,876.10","1,898.80","1,868.80","29.35K","-0.09%"
"2022년 05월 03일","1,877.80","1,870.40","1,885.00","1,856.70","24.90K","0.38%"
"2022년 05월 02일","1,870.60","1,903.10","1,907.40","1,860.80","9.78K","-2.50%"
"2022년 04월 29일","1,918.60","1,902.50","1,928.20","1,900.60","7.74K","1.07%"
"2022년 04월 28일","1,898.30","1,893.00","1,904.30","1,877.80","6.72K","0.14%"
"2022년 04월 27일","1,895.60","1,914.00","1,914.80","1,888.80","5.84K","-0.81%"
"2022년 04월 26일","1,911.10","1,907.30","1,918.70","1,904.20","8.90K","0.43%"
"2022년 04월 25일","1,903.00","1,937.40","1,942.60","1,898.80","17.15K","-1.98%"
"2022년 04월 22일","1,941.40","1,960.00","1,964.50","1,935.00","12.26K","-0.70%"
"2022년 04월 21일","1,955.00","1,964.20","1,966.20","1,944.80","11.80K","-0.37%"
"2022년 04월 20일","1,962.30","1,959.00","1,967.30","1,947.80","5.75K","-0.18%"
"2022년 04월 19일","1,965.80","1,987.80","1,991.60","1,952.80","5.38K","-1.38%"
"2022년 04월 18일","1,993.30","1,983.10","2,009.50","1,981.80","1.60K","0.59%"
"2022년 04월 14일","1,981.60","1,988.70","1,990.60","1,969.60","3.13K","-0.50%"
"2022년 04월 13일","1,991.50","1,976.60","1,992.20","1,974.00","9.41K","0.43%"
"2022년 04월 12일","1,983.00","1,965.00","1,989.10","1,960.40","9.08K","1.43%"
"2022년 04월 11일","1,955.00","1,957.10","1,981.20","1,949.90","5.74K","0.14%"
"2022년 04월 08일","1,952.20","1,941.40","1,958.30","1,937.70","6.83K","0.41%"
"2022년 04월 07일","1,944.20","1,932.90","1,948.00","1,930.00","6.75K","0.77%"
"2022년 04월 06일","1,929.30","1,933.40","1,942.20","1,922.30","3.99K","-0.22%"
"2022년 04월 05일","1,933.50","1,941.50","1,954.40","1,927.20","4.70K","-0.32%"
"2022년 04월 04일","1,939.70","1,933.50","1,946.10","1,924.00","2.95K","0.54%"
"2022년 04월 01일","1,929.20","1,947.90","1,949.50","1,927.10","2.17K","-1.55%"
"2022년 03월 31일","1,959.50","1,942.50","1,960.40","1,928.60","7.31K","0.79%"
"2022년 03월 30일","1,944.10","1,930.00","1,948.30","1,925.40","3.76K","1.10%"
"2022년 03월 29일","1,923.00","1,932.00","1,937.50","1,899.00","5.62K","-1.38%"
"2022년 03월 28일","1,949.90","1,967.80","1,968.30","1,926.00","2.93K","-0.76%"
"2022년 03월 25일","1,964.90","1,972.30","1,974.00","1,953.50","4.32K","-0.39%"
"2022년 03월 24일","1,972.60","1,953.20","1,977.20","1,948.40","2.98K","1.31%"
"2022년 03월 23일","1,947.10","1,930.30","1,958.00","1,925.90","3.80K","0.82%"
"2022년 03월 22일","1,931.20","1,945.20","1,948.50","1,920.00","3.87K","-0.40%"
"2022년 03월 21일","1,939.00","1,931.00","1,951.20","1,926.40","3.10K","0.06%"
"2022년 03월 18일","1,937.90","1,950.70","1,950.80","1,926.80","3.62K","-0.73%"
"2022년 03월 17일","1,952.10","1,934.50","1,959.20","1,933.90","2.27K","1.76%"
"2022년 03월 16일","1,918.30","1,928.80","1,938.30","1,905.00","3.84K","-1.04%"
"2022년 03월 15일","1,938.50","1,964.60","1,964.60","1,918.00","2.98K","-1.56%"
"2022년 03월 14일","1,969.30","1,992.00","1,995.00","1,960.80","0.92K","-1.19%"
"2022년 03월 11일","1,993.10","2,010.40","2,010.40","1,968.80","5.68K","-0.75%"
"2022년 03월 10일","2,008.20","2,002.50","2,021.00","1,982.30","2.66K","0.67%"
"2022년 03월 09일","1,994.90","2,057.80","2,072.10","1,988.00","3.11K","-2.68%"
"2022년 03월 08일","2,049.90","2,008.30","2,085.20","1,998.60","3.54K","2.36%"
"2022년 03월 07일","2,002.60","1,985.00","2,013.40","1,973.60","7.71K","1.47%"
"2022년 03월 04일","1,973.60","1,944.90","1,981.10","1,938.60","1.63K","1.58%"
"2022년 03월 03일","1,942.90","1,938.00","1,951.20","1,930.20","2.19K","0.72%"
"2022년 03월 02일","1,929.00","1,944.60","1,957.80","1,923.90","3.25K","-1.10%"
"2022년 03월 01일","1,950.40","1,915.50","1,955.60","1,910.20","1.46K","2.25%"
"2022년 02월 28일","1,907.40","1,910.10","1,941.60","1,899.20","1.36K","0.70%"
"2022년 02월 25일","1,894.20","1,913.80","1,931.40","1,891.50","2.41K","-2.01%"
"2022년 02월 24일","1,933.00","1,921.20","1,981.00","1,885.60","3.91K","0.80%"
"2022년 02월 23일","1,917.70","1,908.80","1,920.00","1,898.90","2.20K","0.16%"
"2022년 02월 22일","1,914.70","1,911.20","1,923.90","1,899.00","2.34K","0.14%"
"2022년 02월 21일","1,912.05","1,907.80","1,918.30","1,889.70","-","0.21%"
"2022년 02월 20일","1,908.00","1,900.80","1,909.35","1,900.80","-","0.05%"
"2022년 02월 18일","1,907.10","1,909.00","1,912.00","1,895.40","1.01K","-0.12%"
"2022년 02월 17일","1,909.30","1,878.50","1,909.90","1,878.50","1.41K","1.62%"
"2022년 02월 16일","1,878.90","1,863.00","1,880.90","1,860.00","1.82K","0.82%"
"2022년 02월 15일","1,863.70","1,880.60","1,888.80","1,853.70","2.06K","-0.71%"
"2022년 02월 14일","1,877.10","1,869.20","1,884.00","1,861.20","3.08K","1.47%"
"2022년 02월 11일","1,849.90","1,834.50","1,873.20","1,830.00","3.28K","0.28%"
"2022년 02월 10일","1,844.80","1,840.20","1,849.70","1,829.60","3.72K","0.08%"
"2022년 02월 09일","1,843.30","1,832.90","1,843.40","1,832.60","1.89K","0.48%"
"2022년 02월 08일","1,834.50","1,828.60","1,836.40","1,824.50","4.51K","0.36%"
"2022년 02월 07일","1,827.90","1,816.00","1,830.30","1,815.20","2.48K","0.77%"
"2022년 02월 04일","1,814.00","1,813.70","1,821.50","1,798.30","3.72K","0.22%"
"2022년 02월 03일","1,810.10","1,809.80","1,814.00","1,794.90","0.91K","-0.33%"
"2022년 02월 02일","1,816.10","1,807.40","1,817.20","1,801.80","0.64K","0.49%"
"2022년 02월 01일","1,807.20","1,803.50","1,814.30","1,802.10","2.35K","0.28%"
"2022년 01월 31일","1,802.20","1,794.50","1,806.00","1,792.40","1.68K","0.56%"
"2022년 01월 28일","1,792.20","1,804.00","1,804.90","1,787.80","3.27K","-0.46%"
"2022년 01월 27일","1,800.40","1,826.50","1,826.50","1,798.20","4.61K","-1.99%"
"2022년 01월 26일","1,836.90","1,855.20","1,855.60","1,822.20","3.43K","-1.23%"
"2022년 01월 25일","1,859.80","1,851.00","1,859.90","1,844.00","0.82K","0.58%"
"2022년 01월 24일","1,849.00","1,846.00","1,851.60","1,837.60","0.60K","0.55%"
"2022년 01월 21일","1,838.80","1,848.10","1,849.50","1,838.30","0.68K","-0.58%"
"2022년 01월 20일","1,849.50","1,846.60","1,855.10","1,844.20","1.48K","-0.03%"
"2022년 01월 19일","1,850.10","1,821.50","1,850.40","1,819.70","0.86K","1.68%"
"2022년 01월 18일","1,819.50","1,825.00","1,828.00","1,812.30","4.88K","0.02%"
"2022년 01월 17일","1,819.05","1,815.85","1,822.90","1,812.25","-","0.18%"
"2022년 01월 16일","1,815.75","1,816.40","1,818.10","1,815.15","-","-0.39%"
"2022년 01월 14일","1,822.90","1,826.00","1,834.80","1,821.80","1.22K","-0.26%"
"2022년 01월 13일","1,827.70","1,831.60","1,834.50","1,819.10","3.20K","-0.33%"
"2022년 01월 12일","1,833.70","1,827.10","1,834.00","1,820.80","3.28K","0.50%"
"2022년 01월 11일","1,824.60","1,811.00","1,829.00","1,809.10","4.84K","1.08%"
"2022년 01월 10일","1,805.10","1,798.80","1,806.90","1,795.80","2.73K","0.08%"
"2022년 01월 07일","1,803.70","1,796.90","1,804.10","1,789.20","4.05K","0.46%"
"2022년 01월 06일","1,795.40","1,815.00","1,815.00","1,792.00","2.99K","-1.97%"
"2022년 01월 05일","1,831.50","1,822.20","1,835.00","1,816.70","6.83K","0.55%"
"2022년 01월 04일","1,821.40","1,813.40","1,822.50","1,807.50","1.82K","0.80%"
"2022년 01월 03일","1,807.00","1,834.90","1,834.90","1,806.00","0.66K","-1.57%"
"2021년 12월 31일","1,835.90","1,825.00","1,837.90","1,822.90","1.12K","0.80%"
"2021년 12월 30일","1,821.40","1,812.60","1,822.30","1,804.50","0.56K","0.46%"
"2021년 12월 29일","1,813.00","1,814.40","1,814.40","1,797.50","0.26K","-0.28%"
"2021년 12월 28일","1,818.00","1,819.70","1,825.70","1,813.80","0.15K","0.12%"
"2021년 12월 27일","1,815.80","1,812.30","1,821.50","1,812.30","0.14K","0.31%"
"2021년 12월 24일","1,810.10","1,810.10","1,810.10","1,810.10","-","-0.47%"
"2021년 12월 23일","1,818.60","1,811.60","1,818.70","1,811.60","0.72K","0.51%"
"2021년 12월 22일","1,809.30","1,794.50","1,810.00","1,794.50","0.65K","0.75%"
"2021년 12월 21일","1,795.90","1,799.60","1,808.40","1,792.80","0.46K","-0.32%"
"2021년 12월 20일","1,801.60","1,809.50","1,810.00","1,796.00","0.25K","-0.57%"
"2021년 12월 17일","1,811.90","1,810.00","1,820.60","1,810.00","0.33K","0.36%"
"2021년 12월 16일","1,805.40","1,795.00","1,806.80","1,790.20","0.17K","1.91%"
"2021년 12월 15일","1,771.50","1,775.40","1,785.20","1,764.10","0.54K","-0.44%"
"2021년 12월 14일","1,779.30","1,789.90","1,791.60","1,774.30","0.53K","-0.89%"
"2021년 12월 13일","1,795.30","1,795.80","1,799.00","1,790.80","3.56K","0.22%"
"2021년 12월 10일","1,791.30","1,782.40","1,797.20","1,777.60","1.57K","0.46%"
"2021년 12월 09일","1,783.10","1,782.00","1,787.90","1,781.00","1.62K","-0.48%"
"2021년 12월 08일","1,791.70","1,795.20","1,797.60","1,788.00","1.45K","0.06%"
"2021년 12월 07일","1,790.70","1,785.40","1,793.60","1,785.40","1.27K","0.30%"
"2021년 12월 06일","1,785.30","1,792.60","1,792.60","1,783.90","0.58K","-0.23%"
"2021년 12월 03일","1,789.50","1,778.50","1,793.20","1,776.50","0.67K","1.19%"
"2021년 12월 02일","1,768.40","1,781.80","1,787.40","1,768.00","0.54K","-1.21%"
"2021년 12월 01일","1,790.00","1,784.20","1,800.50","1,783.80","0.40K","0.45%"
"2021년 11월 30일","1,781.90","1,794.20","1,812.80","1,778.00","0.31K","-0.49%"
"2021년 11월 29일","1,790.60","1,800.00","1,803.00","1,787.60","0.45K","-0.14%"
"2021년 11월 26일","1,793.20","1,800.80","1,811.50","1,791.40","0.40K","0.04%"
"2021년 11월 25일","1,792.40","1,789.80","1,795.30","1,787.75","-","0.01%"
"2021년 11월 24일","1,792.30","1,799.90","1,803.90","1,791.30","0.04K","0.03%"
"2021년 11월 23일","1,791.70","1,816.30","1,816.30","1,795.00","0.29K","-1.25%"
"2021년 11월 22일","1,814.40","1,850.90","1,852.10","1,811.60","0.40K","-2.41%"
"2021년 11월 19일","1,859.20","1,867.30","1,869.90","1,854.90","0.34K","-0.50%"
"2021년 11월 18일","1,868.60","1,873.60","1,874.10","1,864.90","0.64K","-0.47%"
"2021년 11월 17일","1,877.40","1,864.10","1,877.50","1,864.10","0.37K","0.86%"
"2021년 11월 16일","1,861.30","1,877.10","1,882.50","1,859.00","0.22K","-0.67%"
"2021년 11월 15일","1,873.90","1,876.00","1,876.30","1,868.00","0.13K","-0.08%"
"2021년 11월 12일","1,875.40","1,870.70","1,875.60","1,855.10","0.58K","0.25%"
"2021년 11월 11일","1,870.80","1,860.20","1,873.90","1,859.60","1.39K","0.84%"
"2021년 11월 10일","1,855.20","1,834.70","1,875.50","1,834.50","0.98K","0.95%"
"2021년 11월 09일","1,837.70","1,834.60","1,840.50","1,830.10","1.24K","0.15%"
"2021년 11월 08일","1,835.00","1,824.50","1,835.00","1,823.20","1.22K","0.63%"
"2021년 11월 05일","1,823.60","1,798.90","1,826.00","1,794.00","1.14K","1.31%"
"2021년 11월 04일","1,800.10","1,782.00","1,800.20","1,781.00","0.46K","1.68%"
"2021년 11월 03일","1,770.30","1,792.40","1,792.40","1,768.70","0.41K","-1.44%"
"2021년 11월 02일","1,796.10","1,803.00","1,803.00","1,795.20","0.10K","-0.36%"
"2021년 11월 01일","1,802.50","1,790.30","1,802.00","1,790.30","0.18K","0.66%"
"2021년 10월 29일","1,790.70","1,801.80","1,801.80","1,780.00","0.51K","-1.04%"
"2021년 10월 28일","1,809.60","1,815.50","1,819.30","1,814.00","0.05K","0.20%"
"2021년 10월 27일","1,805.90","1,799.80","1,806.00","1,795.50","0.41K","0.31%"
"2021년 10월 26일","1,800.40","1,813.30","1,813.30","1,793.80","0.17K","-0.73%"
"2021년 10월 25일","1,813.70","1,808.70","1,809.00","1,808.70","0.69K","0.57%"
"2021년 10월 22일","1,803.40","1,796.80","1,820.00","1,794.00","0.23K","0.82%"
"2021년 10월 21일","1,788.80","1,785.50","1,789.90","1,785.50","0.03K","-0.16%"
"2021년 10월 20일","1,791.60","1,790.20","1,791.00","1,785.20","0.01K","0.79%"
"2021년 10월 19일","1,777.60","1,782.00","1,791.20","1,775.10","0.05K","0.28%"
"2021년 10월 18일","1,772.70","1,775.20","1,775.60","1,772.20","0.18K","-0.14%"
"2021년 10월 15일","1,775.10","1,789.30","1,789.30","1,775.30","0.03K","-1.65%"
"2021년 10월 14일","1,804.80","1,805.60","1,806.80","1,805.60","0.04K","0.16%"
"2021년 10월 13일","1,802.00","1,783.70","1,801.70","1,783.70","0.29K","2.04%"
"2021년 10월 12일","1,766.00","1,765.60","1,776.00","1,763.90","0.08K","0.20%"
"2021년 10월 11일","1,762.50","1,763.10","1,763.10","1,758.00","0.16K","-0.09%"
"2021년 10월 08일","1,764.10","1,781.50","1,787.50","1,763.50","0.47K","-0.09%"
"2021년 10월 07일","1,765.70","1,760.80","1,760.80","1,758.30","0.04K","-0.11%"
"2021년 10월 06일","1,767.60","1,758.00","1,770.00","1,758.00","0.05K","0.04%"
"2021년 10월 05일","1,766.90","1,760.00","1,769.00","1,758.50","0.34K","-0.36%"
"2021년 10월 04일","1,773.20","1,770.50","1,776.40","1,759.70","0.04K","0.52%"
"2021년 10월 01일","1,764.10","1,762.40","1,768.30","1,762.40","0.18K","0.10%"
"2021년 09월 30일","1,762.30","1,735.50","1,768.50","1,733.40","0.13K","1.91%"
"2021년 09월 29일","1,729.20","1,740.70","1,747.70","1,729.80","0.03K","-0.85%"
"2021년 09월 28일","1,744.00","1,757.70","1,757.70","1,739.90","0.02K","-0.82%"
"2021년 09월 27일","1,758.40","1,759.20","1,763.70","1,755.80","0.01K","0.01%"
"2021년 09월 24일","1,758.30","1,760.20","1,760.20","1,753.80","0.01K","0.11%"
"2021년 09월 23일","1,756.30","1,770.30","1,770.30","1,752.00","0.08K","-1.65%"
"2021년 09월 22일","1,785.70","1,780.60","1,793.60","1,780.60","0.08K","0.05%"
"2021년 09월 21일","1,784.80","1,780.20","1,782.30","1,779.00","1.06K","0.82%"
"2021년 09월 20일","1,770.30","1,762.50","1,769.90","1,762.50","0.01K","0.72%"
"2021년 09월 17일","1,757.60","1,760.60","1,760.60","1,760.60","0.16K","-0.32%"
"2021년 09월 16일","1,763.30","1,800.50","1,803.50","1,756.00","0.19K","-2.12%"
"2021년 09월 15일","1,801.50","1,803.50","1,805.50","1,799.00","0.10K","-0.68%"
"2021년 09월 14일","1,813.90","1,799.50","1,808.80","1,799.30","0.02K","0.69%"
"2021년 09월 13일","1,801.40","1,796.80","1,806.00","1,796.80","0.03K","0.14%"
"2021년 09월 10일","1,798.90","1,806.00","1,808.50","1,798.00","0.01K","-0.44%"
"2021년 09월 09일","1,806.80","1,807.40","1,807.40","1,799.50","0.01K","0.37%"
"2021년 09월 08일","1,800.20","1,806.00","1,808.60","1,799.00","0.04K","-0.27%"
"2021년 09월 07일","1,805.10","1,820.90","1,820.90","1,805.20","0.33K","-1.13%"
"2021년 09월 06일","1,825.65","1,829.95","1,830.65","1,823.65","-","-0.24%"
"2021년 09월 05일","1,830.05","1,832.20","1,832.50","1,829.65","-","-0.55%"
"2021년 09월 03일","1,840.10","1,821.50","1,824.10","1,820.70","0.02K","1.22%"
"2021년 09월 02일","1,818.00","1,814.20","1,817.10","1,804.60","0.00K","-0.26%"
"2021년 09월 01일","1,822.70","1,826.00","1,826.00","1,826.00","0.11K","-0.13%"
"2021년 08월 31일","1,825.10","1,810.00","1,819.50","1,801.30","5.15K","0.32%"
"2021년 08월 30일","1,819.20","1,819.00","1,823.60","1,807.80","0.04K","-0.40%"
"2021년 08월 27일","1,826.50","1,819.30","1,819.30","1,819.30","0.00K","1.35%"
"2021년 08월 26일","1,802.20","1,790.00","1,790.00","1,790.00","0.04K","0.24%"
"2021년 08월 25일","1,797.80","1,802.10","1,802.10","1,782.50","0.02K","-0.96%"
"2021년 08월 24일","1,815.20","1,813.50","1,815.60","1,810.00","0.40K","0.10%"
"2021년 08월 23일","1,813.40","1,813.80","1,813.80","1,813.80","0.02K","1.25%"
"2021년 08월 20일","1,791.00","1,788.00","1,794.90","1,787.90","0.31K","0.03%"
"2021년 08월 19일","1,790.40","1,792.50","1,796.20","1,792.50","0.07K","-0.08%"
"2021년 08월 18일","1,791.90","1,785.70","1,793.00","1,776.50","0.01K","-0.18%"
"2021년 08월 17일","1,795.20","1,795.30","1,804.60","1,794.30","0.24K","-0.14%"
"2021년 08월 16일","1,797.80","1,794.90","1,794.90","1,794.50","0.01K","0.66%"
"2021년 08월 13일","1,786.10","1,777.50","1,786.30","1,777.50","0.02K","1.50%"
"2021년 08월 12일","1,759.70","1,757.20","1,757.20","1,757.20","0.00K","-0.09%"
