"날짜","종가","거래량"
"2022년 06월 02일",114.19,"-"
"2022년 06월 01일",113.56,"172.76K"
"2022년 05월 31일",115.6,"360.17K"
"2022년 05월 30일",117.6,"145.09K"
"2022년 05월 27일",119.43,"81.16K"
"2022년 05월 26일",114.17,"232.57K"
"2022년 05월 25일",111.12,"210.94K"
"2022년 05월 24일",110.69,"220.64K"
"2022년 05월 23일",110.78,"191.99K"
"2022년 05월 20일",112.55,"180.89K"
"2022년 05월 19일",112.04,"272.35K"
"2022년 05월 18일",109.11,"245.04K"
"2022년 05월 17일",111.93,"277.89K"
"2022년 05월 16일",114.24,"218.44K"
"2022년 05월 13일",111.55,"220.32K"
"2022년 05월 12일",107.45,"264.26K"
"2022년 05월 11일",107.51,"287.53K"
"2022년 05월 10일",102.46,"327.99K"
"2022년 05월 09일",105.94,"302.17K"
"2022년 05월 06일",112.39,"249.83K"
"2022년 05월 05일",110.9,"279.88K"
"2022년 05월 04일",110.14,"241.68K"
"2022년 05월 03일",104.97,"184.20K"
"2022년 05월 02일",107.58,"151.34K"
"2022년 04월 29일",109.34,"12.02K"
"2022년 04월 28일",107.59,"73.32K"
"2022년 04월 27일",104.95,"230.07K"
"2022년 04월 26일",104.61,"268.03K"
"2022년 04월 25일",102.29,"-"
"2022년 04월 24일",104.56,"-"
"2022년 04월 22일",106.65,"125.87K"
"2022년 04월 21일",108.33,"185.38K"
"2022년 04월 20일",106.8,"243.67K"
"2022년 04월 19일",107.25,"239.91K"
"2022년 04월 18일",113.16,"132.15K"
"2022년 04월 14일",111.7,"210.18K"
"2022년 04월 13일",108.78,"247.26K"
"2022년 04월 12일",104.64,"273.95K"
"2022년 04월 11일",98.48,"238.69K"
"2022년 04월 08일",102.78,"217.64K"
"2022년 04월 07일",100.58,"296.03K"
"2022년 04월 06일",101.07,"286.52K"
"2022년 04월 05일",106.64,"203.06K"
"2022년 04월 04일",107.53,"218.68K"
"2022년 04월 01일",104.39,"238.62K"
"2022년 03월 31일",107.91,"8.68K"
"2022년 03월 30일",113.45,"72.33K"
"2022년 03월 29일",110.23,"93.68K"
"2022년 03월 28일",112.48,"150.82K"
"2022년 03월 25일",120.65,"133.46K"
"2022년 03월 24일",119.03,"177.66K"
"2022년 03월 23일",121.6,"224.53K"
"2022년 03월 22일",115.48,"204.66K"
"2022년 03월 21일",115.62,"196.49K"
"2022년 03월 18일",107.93,"168.91K"
"2022년 03월 17일",106.64,"200.95K"
"2022년 03월 16일",98.02,"246.82K"
"2022년 03월 15일",99.91,"318.12K"
"2022년 03월 14일",106.9,"265.91K"
"2022년 03월 11일",112.67,"287.39K"
"2022년 03월 10일",109.33,"352.34K"
"2022년 03월 09일",111.14,"521.58K"
"2022년 03월 08일",127.98,"469.99K"
"2022년 03월 07일",123.21,"419.93K"
"2022년 03월 04일",118.11,"334.41K"
"2022년 03월 03일",110.46,"452.52K"
"2022년 03월 02일",112.93,"490.57K"
"2022년 03월 01일",104.97,"492.51K"
"2022년 02월 28일",100.99,"22.96K"
"2022년 02월 25일",97.93,"68.98K"
"2022년 02월 24일",99.08,"167.79K"
"2022년 02월 23일",96.84,"238.63K"
"2022년 02월 22일",96.84,"316.38K"
"2022년 02월 21일",95.39,"217.04K"
"2022년 02월 18일",93.54,"348.35K"
"2022년 02월 17일",92.97,"347.79K"
"2022년 02월 16일",94.81,"393.79K"
"2022년 02월 15일",93.28,"378.25K"
"2022년 02월 14일",96.48,"373.09K"
"2022년 02월 11일",94.44,"452.11K"
"2022년 02월 10일",91.41,"369.01K"
"2022년 02월 09일",91.55,"294.00K"
"2022년 02월 08일",90.78,"368.55K"
"2022년 02월 07일",92.69,"317.29K"
"2022년 02월 04일",93.27,"322.13K"
"2022년 02월 03일",91.11,"301.79K"
"2022년 02월 02일",89.47,"319.43K"
"2022년 02월 01일",89.16,"271.77K"
"2022년 01월 31일",91.21,"11.01K"
"2022년 01월 28일",90.03,"102.01K"
"2022년 01월 27일",88.17,"131.70K"
"2022년 01월 26일",88.74,"260.11K"
"2022년 01월 25일",88.2,"256.21K"
"2022년 01월 24일",86.27,"309.89K"
"2022년 01월 21일",87.89,"288.21K"
"2022년 01월 20일",88.38,"279.52K"
"2022년 01월 19일",88.44,"350.94K"
"2022년 01월 18일",87.51,"356.88K"
"2022년 01월 17일",86.48,"139.82K"
"2022년 01월 14일",86.06,"304.72K"
"2022년 01월 13일",84.47,"265.20K"
"2022년 01월 12일",84.67,"301.39K"
"2022년 01월 11일",83.72,"324.94K"
"2022년 01월 10일",80.87,"300.65K"
"2022년 01월 07일",81.75,"286.11K"
"2022년 01월 06일",81.99,"353.16K"
"2022년 01월 05일",80.8,"331.74K"
"2022년 01월 04일",80,"291.68K"
"2022년 01월 03일",78.98,"201.03K"
"2021년 12월 31일",77.78,"148.96K"
"2021년 12월 30일",79.32,"10.90K"
"2021년 12월 29일",79.23,"69.63K"
"2021년 12월 28일",78.94,"50.41K"
"2021년 12월 27일",78.6,"85.39K"
"2021년 12월 24일",76.14,"30.54K"
"2021년 12월 23일",76.85,"161.24K"
"2021년 12월 22일",75.29,"166.71K"
"2021년 12월 21일",73.98,"214.07K"
"2021년 12월 20일",71.52,"333.76K"
"2021년 12월 17일",73.52,"231.41K"
"2021년 12월 16일",75.02,"223.64K"
"2021년 12월 15일",73.88,"233.19K"
"2021년 12월 14일",73.7,"277.86K"
"2021년 12월 13일",74.39,"265.51K"
"2021년 12월 10일",75.15,"221.36K"
"2021년 12월 09일",74.42,"283.39K"
"2021년 12월 08일",75.82,"322.08K"
"2021년 12월 07일",75.44,"312.28K"
"2021년 12월 06일",73.08,"255.40K"
"2021년 12월 03일",69.88,"331.82K"
"2021년 12월 02일",69.67,"526.60K"
"2021년 12월 01일",68.87,"420.40K"
"2021년 11월 30일",70.57,"24.82K"
"2021년 11월 29일",73.44,"126.35K"
"2021년 11월 26일",72.72,"170.78K"
"2021년 11월 25일",82.22,"80.45K"
"2021년 11월 24일",82.25,"231.07K"
"2021년 11월 23일",82.31,"366.60K"
"2021년 11월 22일",79.7,"350.90K"
"2021년 11월 19일",78.89,"479.93K"
"2021년 11월 18일",81.24,"306.85K"
"2021년 11월 17일",80.28,"406.75K"
"2021년 11월 16일",82.43,"340.72K"
"2021년 11월 15일",82.05,"273.72K"
"2021년 11월 12일",82.17,"289.30K"
"2021년 11월 11일",82.87,"336.14K"
"2021년 11월 10일",82.64,"366.31K"
"2021년 11월 09일",84.78,"346.57K"
"2021년 11월 08일",83.43,"269.60K"
"2021년 11월 05일",82.74,"379.69K"
"2021년 11월 04일",80.54,"472.43K"
"2021년 11월 03일",81.99,"380.11K"
"2021년 11월 02일",84.72,"317.07K"
"2021년 11월 01일",84.71,"302.90K"
"2021년 10월 29일",84.38,"22.77K"
"2021년 10월 28일",84.32,"118.14K"
"2021년 10월 27일",84.58,"149.75K"
"2021년 10월 26일",86.4,"222.56K"
"2021년 10월 25일",85.99,"294.55K"
"2021년 10월 22일",85.53,"298.35K"
"2021년 10월 21일",84.61,"373.65K"
"2021년 10월 20일",85.82,"378.69K"
"2021년 10월 19일",85.08,"371.79K"
"2021년 10월 18일",84.33,"340.96K"
"2021년 10월 15일",84.86,"276.47K"
"2021년 10월 14일",84,"316.64K"
"2021년 10월 13일",83.18,"333.68K"
"2021년 10월 12일",83.42,"331.41K"
"2021년 10월 11일",83.65,"330.44K"
"2021년 10월 08일",82.39,"360.97K"
"2021년 10월 07일",81.95,"393.10K"
"2021년 10월 06일",81.08,"401.36K"
"2021년 10월 05일",82.56,"340.27K"
"2021년 10월 04일",81.26,"362.37K"
"2021년 10월 01일",79.28,"282.37K"
"2021년 09월 30일",78.52,"20.51K"
"2021년 09월 29일",78.64,"97.97K"
"2021년 09월 28일",79.09,"132.33K"
"2021년 09월 27일",79.53,"231.13K"
"2021년 09월 24일",78.09,"163.23K"
"2021년 09월 23일",77.25,"226.59K"
"2021년 09월 22일",76.19,"255.75K"
"2021년 09월 21일",74.36,"258.71K"
"2021년 09월 20일",73.92,"313.75K"
"2021년 09월 17일",75.34,"254.86K"
"2021년 09월 16일",75.67,"236.51K"
"2021년 09월 15일",75.46,"289.45K"
"2021년 09월 14일",73.6,"278.58K"
"2021년 09월 13일",73.51,"244.73K"
"2021년 09월 10일",72.92,"250.51K"
