"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 5월","3,186.43","3,044.85","3,188.60","2,957.40","674.73B","4.57%"
"2022년 4월","3,047.06","3,234.67","3,290.26","2,863.65","747.79B","-6.31%"
"2022년 3월","3,252.20","3,471.36","3,500.29","3,023.30","870.20B","-6.07%"
"2022년 2월","3,462.31","3,407.76","3,500.15","3,390.46","537.73B","3.00%"
"2022년 1월","3,361.44","3,649.15","3,651.89","3,356.56","662.57B","-7.65%"
"2021년 12월","3,639.78","3,561.89","3,708.94","3,558.69","863.87B","2.13%"
"2021년 11월","3,563.89","3,530.40","3,602.74","3,448.44","715.13B","0.47%"
"2021년 10월","3,547.34","3,609.09","3,625.02","3,502.80","561.82B","-0.58%"
"2021년 9월","3,568.17","3,543.87","3,723.85","3,514.67","1,072.91B","0.68%"
"2021년 8월","3,543.94","3,385.69","3,544.09","3,367.64","894.27B","4.31%"
"2021년 7월","3,397.36","3,600.55","3,607.70","3,312.72","790.39B","-5.40%"
"2021년 6월","3,591.20","3,608.60","3,629.29","3,503.18","668.36B","-0.67%"
"2021년 5월","3,615.48","3,446.07","3,626.36","3,384.70","580.17B","4.89%"
"2021년 4월","3,446.86","3,444.81","3,497.12","3,373.09","569.53B","0.14%"
"2021년 3월","3,441.91","3,531.48","3,577.62","3,328.31","744.06B","-1.91%"
"2021년 2월","3,509.08","3,477.17","3,731.69","3,465.77","484.07B","0.75%"
"2021년 1월","3,483.07","3,474.68","3,637.10","3,446.55","663.96B","0.29%"
"2020년 12월","3,473.07","3,388.99","3,474.92","3,325.17","644.51B","2.40%"
"2020년 11월","3,391.76","3,228.72","3,456.74","3,209.91","568.06B","5.19%"
"2020년 10월","3,224.53","3,262.61","3,371.09","3,219.42","303.70B","0.20%"
"2020년 9월","3,218.05","3,389.74","3,425.63","3,202.34","490.62B","-5.23%"
"2020년 8월","3,395.68","3,332.18","3,456.72","3,263.27","735.91B","2.59%"
"2020년 7월","3,310.01","2,991.18","3,458.79","2,984.98","1,024.50B","10.90%"
"2020년 6월","2,984.67","2,871.96","2,990.83","2,871.96","469.98B","4.64%"
"2020년 5월","2,852.35","2,831.63","2,914.28","2,802.47","370.37B","-0.27%"
"2020년 4월","2,860.08","2,743.54","2,865.59","2,719.90","471.04B","3.99%"
"2020년 3월","2,750.30","2,899.31","3,074.26","2,646.80","698.95B","-4.51%"
"2020년 2월","2,880.30","2,716.70","3,058.90","2,685.27","653.70B","-3.23%"
"2020년 1월","2,976.53","3,066.34","3,127.17","2,955.35","387.34B","-2.41%"
"2019년 12월","3,050.12","2,874.45","3,051.68","2,857.32","412.77B","6.20%"
"2019년 11월","2,871.98","2,924.34","3,008.31","2,858.58","304.50B","-1.95%"
"2019년 10월","2,929.06","2,905.76","3,026.38","2,891.54","263.52B","0.82%"
"2019년 9월","2,905.19","2,886.94","3,042.93","2,883.68","394.69B","0.66%"
"2019년 8월","2,886.24","2,920.85","2,927.34","2,733.92","369.45B","-1.58%"
"2019년 7월","2,932.51","3,024.62","3,048.48","2,879.69","371.85B","-1.56%"
"2019년 6월","2,978.88","2,901.74","3,012.83","2,822.19","397.47B","2.77%"
"2019년 5월","2,898.70","2,984.73","2,986.54","2,833.04","446.51B","-5.84%"
"2019년 4월","3,078.34","3,111.66","3,288.45","3,050.03","748.71B","-0.40%"
"2019년 3월","3,090.76","2,954.40","3,129.94","2,930.83","869.19B","5.09%"
"2019년 2월","2,940.95","2,597.78","2,997.49","2,590.55","442.18B","13.79%"
"2019년 1월","2,584.57","2,497.88","2,630.32","2,440.91","338.56B","3.64%"
"2018년 12월","2,493.90","2,647.13","2,666.08","2,462.84","257.51B","-3.64%"
"2018년 11월","2,588.19","2,617.03","2,703.51","2,555.32","405.28B","-0.56%"
"2018년 10월","2,602.78","2,768.21","2,771.94","2,449.20","274.04B","-7.75%"
"2018년 9월","2,821.35","2,716.40","2,827.34","2,644.30","214.84B","3.53%"
"2018년 8월","2,725.25","2,882.51","2,897.40","2,653.11","282.14B","-5.25%"
"2018년 7월","2,876.40","2,841.58","2,915.30","2,691.02","304.91B","1.02%"
"2018년 6월","2,847.42","3,084.75","3,128.72","2,782.38","262.40B","-8.01%"
"2018년 5월","3,095.47","3,087.41","3,219.74","3,041.00","297.93B","0.43%"
"2018년 4월","3,082.23","3,169.78","3,220.85","3,041.63","269.90B","-2.73%"
"2018년 3월","3,168.90","3,235.09","3,333.88","3,091.46","370.41B","-2.78%"
"2018년 2월","3,259.41","3,478.67","3,495.09","3,062.74","288.90B","-6.36%"
"2018년 1월","3,480.83","3,314.03","3,587.03","3,314.03","479.78B","5.25%"
"2017년 12월","3,307.17","3,315.10","3,324.52","3,254.18","294.12B","-0.30%"
"2017년 11월","3,317.19","3,393.97","3,450.49","3,300.78","398.24B","-2.24%"
"2017년 10월","3,393.34","3,403.25","3,421.10","3,357.28","270.67B","1.33%"
"2017년 9월","3,348.94","3,365.99","3,391.64","3,332.60","423.26B","-0.35%"
"2017년 8월","3,360.81","3,274.37","3,376.65","3,200.75","505.99B","2.68%"
"2017년 7월","3,273.03","3,192.00","3,276.95","3,139.50","418.76B","2.52%"
"2017년 6월","3,192.43","3,108.42","3,193.46","3,078.79","320.47B","2.41%"
"2017년 5월","3,117.18","3,147.23","3,154.78","3,016.53","322.80B","-1.19%"
