"","일시","기온","강수량mm","적설량cm","비또는눈"
"1","2013-02-08 0:00",-13.6,0,12.7,TRUE
"2","2013-02-08 1:00",-13.8,0,12.7,TRUE
"3","2013-02-08 2:00",-14.1,0,12.7,TRUE
"4","2013-02-08 3:00",-14.5,0,12.7,TRUE
"5","2013-02-08 4:00",-14.8,0,12.7,TRUE
"6","2013-02-08 5:00",-15,0,12.7,TRUE
"7","2013-02-08 6:00",-15.3,0,12.7,TRUE
"8","2013-02-08 7:00",-15.6,0,12.7,TRUE
"9","2013-02-08 8:00",-15.5,0,12.7,TRUE
"10","2013-02-08 9:00",-14.6,0,12.7,TRUE
"11","2013-02-08 10:00",-12.5,0,12.7,TRUE
"12","2013-02-08 11:00",-11.4,0,12.7,TRUE
"13","2013-02-08 12:00",-9.5,0,12.7,TRUE
"14","2013-02-08 13:00",-7.9,0,12.7,TRUE
"15","2013-02-08 14:00",-7.5,0,12.7,TRUE
"16","2013-02-08 15:00",-6.8,0,12.6,TRUE
"17","2013-02-08 16:00",-6.6,0,12.5,TRUE
"18","2013-02-08 17:00",-7.7,0,12.5,TRUE
"19","2013-02-08 18:00",-8.9,0,12.5,TRUE
"20","2013-02-08 19:00",-9.9,0,12.5,TRUE
"21","2013-02-08 20:00",-10.4,0,0,FALSE
"22","2013-02-08 21:00",-10.8,0,12.5,TRUE
"23","2013-02-08 22:00",-10.8,0,0,FALSE
"24","2013-02-08 23:00",-10.9,0,0,FALSE
"25","2013-02-09 0:00",-11.3,0,12.5,TRUE
"26","2013-02-09 1:00",-11.2,0,12.5,TRUE
"27","2013-02-09 2:00",-11.4,0,12.5,TRUE
"28","2013-02-09 3:00",-11.6,0,12.5,TRUE
"29","2013-02-09 4:00",-11.7,0,12.5,TRUE
"30","2013-02-09 5:00",-12,0,12.5,TRUE
"31","2013-02-09 6:00",-12.1,0,12.5,TRUE
"32","2013-02-09 7:00",-12.1,0,12.5,TRUE
"33","2013-02-09 8:00",-11.8,0,12.5,TRUE
"34","2013-02-09 9:00",-10.5,0,12.5,TRUE
"35","2013-02-09 10:00",-8.3,0,12.5,TRUE
"36","2013-02-09 11:00",-6.1,0,12.5,TRUE
"37","2013-02-09 12:00",-5.5,0,12.5,TRUE
"38","2013-02-09 13:00",-4.8,0,12.5,TRUE
"39","2013-02-09 14:00",-3.9,0,12.4,TRUE
"40","2013-02-09 15:00",-3.4,0,12.3,TRUE
"41","2013-02-09 16:00",-3.3,0,12.2,TRUE
"42","2013-02-09 17:00",-3.2,0,12.2,TRUE
"43","2013-02-09 18:00",-4.5,0,12.2,TRUE
"44","2013-02-09 19:00",-4.9,0,12.2,TRUE
"45","2013-02-09 20:00",-5.4,0,12.2,TRUE
"46","2013-02-09 21:00",-5.5,0,12.2,TRUE
"47","2013-02-09 22:00",-5.5,0,12.2,TRUE
"48","2013-02-09 23:00",-5.1,0,12.2,TRUE
"49","2013-02-10 0:00",-4.9,0,12.2,TRUE
"50","2013-02-10 1:00",-4.7,0,12.2,TRUE
"51","2013-02-10 2:00",-4.3,0,12.2,TRUE
"52","2013-02-10 3:00",-4,0,12.2,TRUE
"53","2013-02-10 4:00",-4.3,0,12.2,TRUE
"54","2013-02-10 5:00",-4.8,0,12.7,TRUE
"55","2013-02-10 6:00",-4.5,1.2,13.4,TRUE
"56","2013-02-10 7:00",-4.9,0,13.4,TRUE
"57","2013-02-10 8:00",-5,0,13.4,TRUE
"58","2013-02-10 9:00",-4.5,0,13.4,TRUE
"59","2013-02-10 10:00",-2.9,0,13.4,TRUE
"60","2013-02-10 11:00",-1.9,0,12.7,TRUE
"61","2013-02-10 12:00",-1.2,0,12.2,TRUE
"62","2013-02-10 13:00",-1,0,12,TRUE
"63","2013-02-10 14:00",-0.7,0,11.8,TRUE
"64","2013-02-10 15:00",-0.9,0,11.6,TRUE
"65","2013-02-10 16:00",-1.1,0,11.4,TRUE
"66","2013-02-10 17:00",-1.9,0,11.3,TRUE
"67","2013-02-10 18:00",-3.1,0,11.3,TRUE
"68","2013-02-10 19:00",-3.9,0,0,FALSE
"69","2013-02-10 20:00",-4.5,0,0,FALSE
"70","2013-02-10 21:00",-5.3,0,11.3,TRUE
"71","2013-02-10 22:00",-6.5,0,0,FALSE
"72","2013-02-10 23:00",-8,0,0,FALSE
"73","2013-02-11 0:00",-8.4,0,11.3,TRUE
"74","2013-02-11 1:00",-8.6,0,0,FALSE
"75","2013-02-11 2:00",-9,0,0,FALSE
"76","2013-02-11 3:00",-9.3,0,11.3,TRUE
"77","2013-02-11 4:00",-9.5,0,11.3,TRUE
"78","2013-02-11 5:00",-9.7,0,11.3,TRUE
"79","2013-02-11 6:00",-9.8,0,11.3,TRUE
"80","2013-02-11 7:00",-10.4,0,11.3,TRUE
"81","2013-02-11 8:00",-10.3,0,11.3,TRUE
"82","2013-02-11 9:00",-9,0,11.3,TRUE
"83","2013-02-11 10:00",-7.1,0,11.3,TRUE
"84","2013-02-11 11:00",-5.6,0,11.2,TRUE
"85","2013-02-11 12:00",-4.4,0,11.1,TRUE
"86","2013-02-11 13:00",-2.9,0,11,TRUE
