"년도","일차","출발시간","소요시간"
2013,0,0,91
2013,1,0,132
2013,2,0,83
2013,3,0,87
2013,4,0,84
2013,0,1,88
2013,1,1,129
2013,2,1,82
2013,3,1,85
2013,4,1,82
2013,0,2,88
2013,1,2,121
2013,2,2,102
2013,3,2,89
2013,4,2,78
2013,0,3,87
2013,1,3,124
2013,2,3,100
2013,3,3,84
2013,4,3,79
2013,0,4,91
2013,1,4,119
2013,2,4,93
2013,3,4,85
2013,4,4,84
2013,0,5,97
2013,1,5,118
2013,2,5,106
2013,3,5,81
2013,4,5,79
2013,0,6,96
2013,1,6,128
2013,2,6,100
2013,3,6,81
2013,4,6,80
2013,0,7,89
2013,1,7,133
2013,2,7,97
2013,3,7,80
2013,4,7,89
2013,0,8,90
2013,1,8,133
2013,2,8,94
2013,3,8,80
2013,4,8,87
2013,0,9,91
2013,1,9,149
2013,2,9,97
2013,3,9,86
2013,4,9,90
2013,0,10,91
2013,1,10,163
2013,2,10,95
2013,3,10,80
2013,4,10,90
2013,0,11,94
2013,1,11,166
2013,2,11,94
2013,3,11,85
2013,4,11,89
2013,0,12,101
2013,1,12,162
2013,2,12,99
2013,3,12,87
2013,4,12,89
2013,0,13,118
2013,1,13,137
2013,2,13,105
2013,3,13,92
2013,4,13,89
2013,0,14,115
2013,1,14,137
2013,2,14,108
2013,3,14,92
2013,4,14,91
2013,0,15,125
2013,1,15,123
2013,2,15,117
2013,3,15,93
2013,4,15,91
2013,0,16,136
2013,1,16,107
2013,2,16,121
2013,3,16,93
2013,4,16,88
2013,0,17,149
2013,1,17,106
2013,2,17,156
2013,3,17,94
2013,4,17,88
2013,0,18,167
2013,1,18,98
2013,2,18,160
2013,3,18,93
2013,4,18,91
2013,0,19,185
2013,1,19,93
2013,2,19,156
2013,3,19,94
2013,4,19,91
2013,0,20,202
2013,1,20,93
2013,2,20,145
2013,3,20,95
2013,4,20,87
2013,0,21,211
2013,1,21,91
2013,2,21,128
2013,3,21,92
2013,4,21,92
2013,0,22,212
2013,1,22,88
2013,2,22,116
2013,3,22,86
2013,4,22,91
2013,0,23,183
2013,1,23,89
2013,2,23,107
2013,3,23,85
2013,4,23,88
2014,0,0,84
2014,1,0,155
2014,2,0,81
2014,3,0,82
2014,4,0,80
2014,0,1,82
2014,1,1,158
2014,2,1,82
2014,3,1,82
2014,4,1,80
2014,0,2,82
2014,1,2,150
2014,2,2,83
2014,3,2,87
2014,4,2,83
2014,0,3,83
2014,1,3,146
2014,2,3,85
2014,3,3,83
2014,4,3,82
2014,0,4,80
2014,1,4,154
2014,2,4,87
2014,3,4,82
2014,4,4,85
2014,0,5,81
2014,1,5,148
2014,2,5,87
2014,3,5,82
2014,4,5,87
2014,0,6,83
2014,1,6,152
2014,2,6,89
2014,3,6,80
2014,4,6,84
2014,0,7,84
2014,1,7,168
2014,2,7,87
2014,3,7,80
2014,4,7,81
2014,0,8,85
2014,1,8,174
2014,2,8,90
2014,3,8,79
2014,4,8,81
2014,0,9,85
2014,1,9,177
2014,2,9,89
2014,3,9,79
2014,4,9,82
2014,0,10,87
2014,1,10,203
2014,2,10,87
2014,3,10,81
2014,4,10,84
2014,0,11,92
2014,1,11,205
2014,2,11,88
2014,3,11,82
2014,4,11,84
2014,0,12,102
2014,1,12,225
2014,2,12,97
2014,3,12,85
2014,4,12,87
2014,0,13,113
2014,1,13,216
2014,2,13,107
2014,3,13,88
2014,4,13,89
2014,0,14,125
2014,1,14,206
2014,2,14,119
2014,3,14,88
2014,4,14,91
2014,0,15,139
2014,1,15,187
2014,2,15,135
2014,3,15,89
2014,4,15,89
2014,0,16,142
2014,1,16,172
2014,2,16,146
2014,3,16,91
2014,4,16,92
2014,0,17,156
2014,1,17,157
2014,2,17,133
2014,3,17,94
2014,4,17,88
2014,0,18,186
2014,1,18,146
2014,2,18,144
2014,3,18,90
2014,4,18,95
2014,0,19,194
2014,1,19,134
2014,2,19,168
2014,3,19,98
2014,4,19,91
2014,0,20,222
2014,1,20,121
2014,2,20,161
2014,3,20,102
2014,4,20,85
2014,0,21,239
2014,1,21,110
2014,2,21,144
2014,3,21,90
2014,4,21,90
2014,0,22,222
2014,1,22,102
2014,2,22,127
2014,3,22,96
2014,4,22,87
2014,0,23,229
2014,1,23,99
2014,2,23,114
2014,3,23,87
2014,4,23,85
2015,0,0,97
2015,1,0,219
2015,2,0,84
2015,3,0,96
2015,4,0,81
2015,0,1,81
2015,1,1,201
2015,2,1,85
2015,3,1,92
2015,4,1,81
2015,0,2,83
2015,1,2,188
2015,2,2,83
2015,3,2,84
2015,4,2,81
2015,0,3,92
2015,1,3,173
2015,2,3,90
2015,3,3,91
2015,4,3,79
2015,0,4,82
2015,1,4,178
2015,2,4,87
2015,3,4,89
2015,4,4,84
2015,0,5,83
2015,1,5,166
2015,2,5,88
2015,3,5,92
2015,4,5,79
2015,0,6,101
2015,1,6,157
2015,2,6,89
2015,3,6,85
2015,4,6,81
2015,0,7,96
2015,1,7,181
2015,2,7,89
2015,3,7,87
2015,4,7,83
2015,0,8,93
2015,1,8,171
2015,2,8,94
2015,3,8,84
2015,4,8,83
2015,0,9,86
2015,1,9,182
2015,2,9,94
2015,3,9,89
2015,4,9,85
2015,0,10,93
2015,1,10,203
2015,2,10,99
2015,3,10,88
2015,4,10,86
2015,0,11,90
2015,1,11,215
2015,2,11,103
2015,3,11,89
2015,4,11,84
2015,0,12,112
2015,1,12,242
2015,2,12,113
2015,3,12,92
2015,4,12,88
2015,0,13,113
2015,1,13,251
2015,2,13,128
2015,3,13,103
2015,4,13,92
2015,0,14,126
2015,1,14,243
2015,2,14,143
2015,3,14,103
2015,4,14,88
2015,0,15,139
2015,1,15,203
2015,2,15,158
2015,3,15,99
2015,4,15,94
2015,0,16,151
2015,1,16,196
2015,2,16,147
2015,3,16,96
2015,4,16,94
2015,0,17,167
2015,1,17,182
2015,2,17,183
2015,3,17,93
2015,4,17,93
2015,0,18,176
2015,1,18,171
2015,2,18,200
2015,3,18,93
2015,4,18,87
2015,0,19,187
2015,1,19,160
2015,2,19,184
2015,3,19,90
2015,4,19,92
2015,0,20,227
2015,1,20,144
2015,2,20,206
2015,3,20,89
2015,4,20,90
2015,0,21,243
2015,1,21,126
2015,2,21,192
2015,3,21,87
2015,4,21,90
2015,0,22,249
2015,1,22,113
2015,2,22,165
2015,3,22,85
2015,4,22,88
2015,0,23,246
2015,1,23,104
2015,2,23,141
2015,3,23,85
2015,4,23,88
2016,0,0,89
2016,1,0,84
2016,2,0,88
2016,3,0,82
2016,4,0,81
2016,0,1,86
2016,1,1,84
2016,2,1,88
2016,3,1,78
2016,4,1,85
2016,0,2,79
2016,1,2,88
2016,2,2,93
2016,3,2,92
2016,4,2,85
2016,0,3,99
2016,1,3,87
2016,2,3,92
2016,3,3,80
2016,4,3,81
2016,0,4,80
2016,1,4,91
2016,2,4,86
2016,3,4,93
2016,4,4,88
2016,0,5,95
2016,1,5,89
2016,2,5,90
2016,3,5,92
2016,4,5,96
2016,0,6,77
2016,1,6,98
2016,2,6,95
2016,3,6,90
2016,4,6,97
2016,0,7,89
2016,1,7,101
2016,2,7,95
2016,3,7,90
2016,4,7,84
2016,0,8,82
2016,1,8,104
2016,2,8,100
2016,3,8,93
2016,4,8,82
2016,0,9,83
2016,1,9,111
2016,2,9,105
2016,3,9,92
2016,4,9,82
2016,0,10,86
2016,1,10,115
2016,2,10,101
2016,3,10,91
2016,4,10,83
2016,0,11,88
2016,1,11,109
2016,2,11,107
2016,3,11,91
2016,4,11,82
2016,0,12,89
2016,1,12,113
2016,2,12,111
2016,3,12,104
2016,4,12,86
2016,0,13,95
2016,1,13,123
2016,2,13,112
2016,3,13,118
2016,4,13,92
2016,0,14,102
2016,1,14,124
2016,2,14,105
2016,3,14,133
2016,4,14,95
2016,0,15,129
2016,1,15,123
2016,2,15,114
2016,3,15,150
2016,4,15,94
2016,0,16,118
2016,1,16,127
2016,2,16,117
2016,3,16,142
2016,4,16,93
2016,0,17,124
2016,1,17,127
2016,2,17,110
2016,3,17,180
2016,4,17,93
2016,0,18,133
2016,1,18,116
2016,2,18,118
2016,3,18,192
2016,4,18,91
2016,0,19,138
2016,1,19,127
2016,2,19,112
2016,3,19,192
2016,4,19,86
2016,0,20,134
2016,1,20,120
2016,2,20,104
2016,3,20,187
2016,4,20,84
2016,0,21,117
2016,1,21,114
2016,2,21,98
2016,3,21,164
