일차,출발시간,소요시간,날짜,눈비
0,0,91,2013-02-08,TRUE
1,0,132,2013-02-09,TRUE
2,0,83,2013-02-10,TRUE
3,0,87,2013-02-11,TRUE
4,0,84,2013-02-12,TRUE
0,1,88,2013-02-08,TRUE
1,1,129,2013-02-09,TRUE
2,1,82,2013-02-10,TRUE
3,1,85,2013-02-11,FALSE
4,1,82,2013-02-12,FALSE
0,2,88,2013-02-08,TRUE
1,2,121,2013-02-09,TRUE
2,2,102,2013-02-10,TRUE
3,2,89,2013-02-11,FALSE
4,2,78,2013-02-12,FALSE
0,3,87,2013-02-08,TRUE
1,3,124,2013-02-09,TRUE
2,3,100,2013-02-10,TRUE
3,3,84,2013-02-11,TRUE
4,3,79,2013-02-12,TRUE
0,4,91,2013-02-08,TRUE
1,4,119,2013-02-09,TRUE
2,4,93,2013-02-10,TRUE
3,4,85,2013-02-11,TRUE
4,4,84,2013-02-12,TRUE
0,5,97,2013-02-08,TRUE
1,5,118,2013-02-09,TRUE
2,5,106,2013-02-10,TRUE
3,5,81,2013-02-11,TRUE
4,5,79,2013-02-12,TRUE
0,6,96,2013-02-08,TRUE
1,6,128,2013-02-09,TRUE
2,6,100,2013-02-10,TRUE
3,6,81,2013-02-11,TRUE
4,6,80,2013-02-12,TRUE
0,7,89,2013-02-08,TRUE
1,7,133,2013-02-09,TRUE
2,7,97,2013-02-10,TRUE
3,7,80,2013-02-11,TRUE
4,7,89,2013-02-12,TRUE
0,8,90,2013-02-08,TRUE
1,8,133,2013-02-09,TRUE
2,8,94,2013-02-10,TRUE
3,8,80,2013-02-11,TRUE
4,8,87,2013-02-12,TRUE
0,9,91,2013-02-08,TRUE
1,9,149,2013-02-09,TRUE
2,9,97,2013-02-10,TRUE
3,9,86,2013-02-11,TRUE
4,9,90,2013-02-12,TRUE
0,10,91,2013-02-08,TRUE
1,10,163,2013-02-09,TRUE
2,10,95,2013-02-10,TRUE
3,10,80,2013-02-11,TRUE
4,10,90,2013-02-12,TRUE
0,11,94,2013-02-08,TRUE
1,11,166,2013-02-09,TRUE
2,11,94,2013-02-10,TRUE
3,11,85,2013-02-11,TRUE
4,11,89,2013-02-12,TRUE
0,12,101,2013-02-08,TRUE
1,12,162,2013-02-09,TRUE
2,12,99,2013-02-10,TRUE
3,12,87,2013-02-11,TRUE
4,12,89,2013-02-12,TRUE
0,13,118,2013-02-08,TRUE
1,13,137,2013-02-09,TRUE
2,13,105,2013-02-10,TRUE
3,13,92,2013-02-11,TRUE
4,13,89,2013-02-12,TRUE
0,14,115,2013-02-08,TRUE
1,14,137,2013-02-09,TRUE
2,14,108,2013-02-10,TRUE
3,14,92,2013-02-11,TRUE
4,14,91,2013-02-12,TRUE
0,15,125,2013-02-08,TRUE
1,15,123,2013-02-09,TRUE
2,15,117,2013-02-10,TRUE
3,15,93,2013-02-11,TRUE
4,15,91,2013-02-12,TRUE
0,16,136,2013-02-08,TRUE
1,16,107,2013-02-09,TRUE
2,16,121,2013-02-10,TRUE
3,16,93,2013-02-11,TRUE
4,16,88,2013-02-12,TRUE
0,17,149,2013-02-08,TRUE
1,17,106,2013-02-09,TRUE
2,17,156,2013-02-10,TRUE
3,17,94,2013-02-11,TRUE
4,17,88,2013-02-12,TRUE
0,18,167,2013-02-08,TRUE
1,18,98,2013-02-09,TRUE
2,18,160,2013-02-10,TRUE
3,18,93,2013-02-11,TRUE
4,18,91,2013-02-12,TRUE
0,19,185,2013-02-08,TRUE
1,19,93,2013-02-09,TRUE
2,19,156,2013-02-10,FALSE
3,19,94,2013-02-11,FALSE
4,19,91,2013-02-12,FALSE
0,20,202,2013-02-08,FALSE
1,20,93,2013-02-09,TRUE
2,20,145,2013-02-10,FALSE
