"","Date","외환보유액(억달러,%)"
"1","2000
01월","768"
"2","2000
02월","797"
"3","2000
03월","837"
"4","2000
04월","846"
"5","2000
05월","868"
"6","2000
06월","902"
"7","2000
07월","904"
"8","2000
08월","914"
"9","2000
09월","925"
"10","2000
10월","927"
"11","2000
11월","933"
"12","2000
12월","962"
"13","2001
01월","954"
"14","2001
02월","953"
"15","2001
03월","944"
"16","2001
04월","935"
"17","2001
05월","936"
"18","2001
06월","943"
"19","2001
07월","971"
"20","2001
08월","990"
"21","2001
09월","1,001"
"22","2001
10월","1,005"
"23","2001
11월","1,017"
"24","2001
12월","1,028"
"25","2002
01월","1,043"
"26","2002
02월","1,051"
"27","2002
03월","1,061"
"28","2002
04월","1,077"
"29","2002
05월","1,096"
"30","2002
06월","1,124"
"31","2002
07월","1,155"
"32","2002
08월","1,165"
"33","2002
09월","1,167"
"34","2002
10월","1,170"
"35","2002
11월","1,183"
"36","2002
12월","1,214"
"37","2003
01월","1,229"
"38","2003
02월","1,240"
"39","2003
03월","1,238"
"40","2003
04월","1,236"
"41","2003
05월","1,283"
"42","2003
06월","1,317"
"43","2003
07월","1,329"
"44","2003
08월","1,362"
"45","2003
09월","1,415"
"46","2003
10월","1,433"
"47","2003
11월","1,503"
"48","2003
12월","1,554"
"49","2004
01월","1,575"
"50","2004
02월","1,630"
"51","2004
03월","1,636"
"52","2004
04월","1,636"
"53","2004
05월","1,665"
"54","2004
06월","1,670"
"55","2004
07월","1,680"
"56","2004
08월","1,705"
"57","2004
09월","1,745"
"58","2004
10월","1,784"
"59","2004
11월","1,926"
"60","2004
12월","1,991"
"61","2005
01월","1,997"
"62","2005
02월","2,022"
"63","2005
03월","2,055"
"64","2005
04월","2,064"
"65","2005
05월","2,061"
"66","2005
06월","2,050"
"67","2005
07월","2,057"
"68","2005
08월","2,067"
"69","2005
09월","2,067"
"70","2005
10월","2,073"
"71","2005
11월","2,082"
"72","2005
12월","2,104"
"73","2006
01월","2,169"
"74","2006
02월","2,160"
"75","2006
03월","2,173"
"76","2006
04월","2,229"
"77","2006
05월","2,247"
"78","2006
06월","2,244"
"79","2006
07월","2,257"
"80","2006
08월","2,270"
