"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 6월","2,656.89","2,670.74","2,674.00","2,653.59","-","-1.08%"
"2022년 5월","2,685.90","2,669.21","2,702.10","2,546.80","16.87B","-0.34%"
"2022년 4월","2,695.05","2,745.85","2,769.18","2,615.50","22.03B","-2.27%"
"2022년 3월","2,757.65","2,698.31","2,765.20","2,605.81","14.41B","2.17%"
"2022년 2월","2,699.18","2,706.34","2,788.27","2,642.63","10.12B","1.35%"
"2022년 1월","2,663.34","2,998.32","3,010.77","2,591.53","10.93B","-10.56%"
"2021년 12월","2,977.65","2,860.12","3,043.83","2,837.03","10.67B","4.88%"
"2021년 11월","2,839.01","2,984.18","3,034.30","2,822.73","13.79B","-4.43%"
"2021년 10월","2,970.68","3,056.21","3,062.60","2,901.51","13.91B","-3.20%"
"2021년 9월","3,068.82","3,195.67","3,215.13","3,030.60","14.27B","-4.08%"
"2021년 8월","3,199.27","3,218.42","3,296.17","3,049.03","13.80B","-0.10%"
"2021년 7월","3,202.32","3,297.92","3,313.51","3,188.80","22.12B","-2.86%"
"2021년 6월","3,296.68","3,207.12","3,316.08","3,199.18","35.35B","2.90%"
"2021년 5월","3,203.92","3,149.05","3,255.90","3,103.88","18.79B","1.78%"
"2021년 4월","3,147.86","3,073.77","3,223.05","3,069.68","31.07B","2.82%"
"2021년 3월","3,061.42","3,021.68","3,096.50","2,929.36","27.90B","1.61%"
"2021년 2월","3,012.95","2,976.81","3,180.94","2,947.24","30.03B","1.23%"
"2021년 1월","2,976.21","2,874.50","3,266.23","2,869.11","26.09B","3.58%"
"2020년 12월","2,873.47","2,613.42","2,878.21","2,611.67","24.56B","10.89%"
"2020년 11월","2,591.34","2,276.61","2,648.66","2,267.95","24.38B","14.30%"
"2020년 10월","2,267.15","2,330.55","2,418.89","2,266.93","15.71B","-2.61%"
"2020년 9월","2,327.89","2,340.19","2,450.53","2,267.63","19.61B","0.07%"
"2020년 8월","2,326.17","2,251.65","2,458.17","2,237.04","17.64B","3.41%"
"2020년 7월","2,249.37","2,128.81","2,281.41","2,101.33","18.87B","6.69%"
"2020년 6월","2,108.33","2,037.04","2,217.21","2,030.82","19.86B","3.88%"
"2020년 5월","2,029.60","1,906.42","2,054.52","1,894.29","16.21B","4.21%"
"2020년 4월","1,947.56","1,737.28","1,957.51","1,664.13","21.05B","10.99%"
"2020년 3월","1,754.64","1,997.03","2,089.08","1,439.43","17.09B","-11.69%"
"2020년 2월","1,987.01","2,086.61","2,255.49","1,980.82","13.96B","-6.23%"
"2020년 1월","2,119.01","2,201.21","2,277.23","2,119.01","13.10B","-3.58%"
"2019년 12월","2,197.67","2,097.55","2,215.55","2,053.56","10.19B","5.25%"
"2019년 11월","2,087.96","2,084.79","2,165.89","2,081.53","10.74B","0.22%"
"2019년 10월","2,083.48","2,062.44","2,105.17","2,010.90","8.88B","0.99%"
"2019년 9월","2,063.05","1,961.19","2,101.63","1,958.59","8.62B","4.84%"
"2019년 8월","1,967.79","2,015.09","2,032.23","1,891.81","10.47B","-2.80%"
"2019년 7월","2,024.55","2,147.24","2,147.24","2,010.95","11.91B","-4.98%"
