날짜,년,월,1원달러종가,1원달러격차,2달러유로종가,2달러유로격차,3금종가,3브렌트유종가,4브렌트유격차,5크루드종가,5크루드격차,6TED평균,7미국10년국채종가,8외환보유액,9나스닥종가,9나스닥격차,10다우종가,10다우격차,11상하이종가,11상하이종가,12코스피종가,12코스피격차,13SNP종가,13SNP격차,14VIX종가,15VIX격차,16미국CLI,17한국CLI,1원달러종가_상하,1원달러격차_상하,2달러유로종가_상하,2달러유로격차_상하,3금종가_상하,3브렌트유종가_상하,4브렌트유격차_상하,5크루드종가_상하,5크루드격차_상하,6TED평균_상하,7미국10년국채종가_상하,8외환보유액_상하,9나스닥종가_상하,9나스닥격차_상하,10다우종가_상하,10다우격차_상하,11상하이종가_상하,11상하이종가_상하,12코스피종가_상하,12코스피격차_상하,13SNP종가_상하,13SNP격차_상하,14VIX종가_상하,15VIX격차_상하,16미국CLI상하,17한국CLI상하
2000년 1월,"2,000.00",1.00,"1,123.50",39.00,0.97,0.04,283.2,25.97,4.07,27.64,5.93,0.7189473684,6.662,768,3940.35,592.06,10940.54,1048.64,1535,186.5,943.88,190.36,1394.5,127.9,24.95,9.49,101.3953,104.5602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000년 2월,"2,000.00",2.00,"1,131.11",30.80,0.96,0.06,292.4,28.09,3.05,30.43,3.42,0.5515,6.409,797,4696.69,786.62,10128.31,1282.87,1714.58,187.3,828.38,181.18,1366.4,119.5,23.37,7.43,101.3298,104.0744,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
2000년 3월,"2,000.00",3.00,"1,105.25",25.00,0.96,0.04,278.4,24.77,7.7,26.9,8.32,0.502173913,6.002,837,4572.83,776.83,10921.93,1502.84,1800.22,214.99,860.94,108.25,1498.6,206.3,24.11,6.68,101.2315,103.6126,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0
2000년 4월,"2,000.00",4.00,"1,109.75",12.50,0.91,0.04,273.1,23.89,3.92,25.74,3.8,0.65,6.218,846,3860.66,1345.8,10733.92,1223.92,1836.32,111.97,725.39,192.05,1452.4,187.8,26.2,11.06,101.11,103.2033,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0
2000년 5월,"2,000.00",5.00,"1,129.50",33.30,0.94,0.04,271.7,28.31,5.47,29.01,5.3,0.959047619,6.285,868,3400.91,939.72,10522.34,712.43,1894.55,212.78,731.88,153.32,1420.6,120.4,23.65,9.66,100.96,102.8155,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2000년 6월,"2,000.00",6.00,"1,115.03",21.50,0.95,0.02,290.1,30.57,4.12,32.5,4.53,1.103636364,6.027,902,3966.11,672.82,10447.9,527.54,1928.11,68.72,821.22,136.1,1454.6,68.3,19.54,5.62,100.7906,102.4115,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0
2000년 7월,"2,000.00",7.00,"1,116.75",10.20,0.93,0.04,276.8,26.93,4.6,27.43,5,0.775,6.04,904,3766.99,673.27,10521.98,481.54,2023.54,136.75,705.97,185.18,1430.8,103.4,20.74,2.88,100.6028,101.939,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0
2000년 8월,"2,000.00",8.00,"1,108.75",9.60,0.89,0.02,278.3,31.72,6.07,33.12,6.44,0.5990909091,5.729,914,4206.35,687.59,11215.1,802.3,2021.2,134.17,688.62,88.83,1517.7,99.8,16.84,4.56,100.3819,101.363,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0
2000년 9월,"2,000.00",9.00,"1,115.15",30.80,0.88,0.03,273.6,29.84,5.73,30.84,7.6,0.6775,5.808,925,3672.82,645.21,10650.92,833.87,1910.16,152.14,613.22,147.28,1436.5,110.7,20.57,6.19,100.1248,100.667,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0
2000년 10월,"2,000.00",10.00,"1,137.50",36.50,0.85,0.02,264.9,30.76,5.88,32.7,6.81,0.67,5.761,927,3369.63,688.37,10971.14,1340.77,1961.29,83.69,514.48,132.64,1429.4,149,23.63,10.39,99.81455,99.88611,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0
