"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 5월","114.67","104.00","119.98","98.20","5.32M","9.53%"
"2022년 4월","104.69","101.23","109.81","92.93","5.39M","4.40%"
"2022년 3월","100.28","96.09","130.50","93.53","8.83M","4.76%"
"2022년 2월","95.72","88.15","100.54","86.55","8.21M","8.59%"
"2022년 1월","88.15","75.69","88.84","74.27","7.52M","17.21%"
"2021년 12월","75.21","67.01","77.44","62.43","7.40M","13.64%"
"2021년 11월","66.18","83.36","84.97","64.43","9.44M","-20.81%"
"2021년 10월","83.57","75.12","85.41","74.23","9.22M","11.38%"
"2021년 9월","75.03","68.55","76.67","67.12","7.75M","9.53%"
"2021년 8월","68.50","73.91","73.95","61.74","7.93M","-7.37%"
"2021년 7월","73.95","73.50","76.98","65.21","8.11M","0.65%"
"2021년 6월","73.47","66.68","74.45","66.41","7.79M","10.78%"
"2021년 5월","66.32","63.64","67.52","61.56","7.51M","4.31%"
"2021년 4월","63.58","59.49","65.47","57.63","7.39M","7.47%"
"2021년 3월","59.16","61.95","67.98","57.25","9.79M","-3.80%"
"2021년 2월","61.50","51.99","63.81","51.64","7.60M","17.82%"
"2021년 1월","52.20","48.40","53.93","47.18","7.21M","7.58%"
"2020년 12월","48.52","45.08","49.28","43.92","6.21M","7.01%"
"2020년 11월","45.34","35.24","46.26","33.64","7.03M","26.68%"
"2020년 10월","35.79","39.90","41.70","34.92","7.35M","-11.01%"
"2020년 9월","40.22","42.83","43.43","36.13","6.75M","-5.61%"
"2020년 8월","42.61","40.39","43.78","39.58","6.37M","5.81%"
"2020년 7월","40.27","39.84","42.40","38.54","6.79M","2.55%"
"2020년 6월","39.27","35.21","41.63","34.27","7.64M","10.65%"
"2020년 5월","35.49","19.04","35.77","18.05","5.91M","88.38%"
"2020년 4월","18.84","20.10","29.13","-40.32","14.56M","-8.01%"
"2020년 3월","20.48","43.70","48.66","19.27","16.68M","-54.24%"
"2020년 2월","44.76","51.01","54.50","43.85","13.33M","-13.19%"
"2020년 1월","51.56","61.60","65.65","50.97","12.54M","-15.56%"
"2019년 12월","61.06","55.47","62.34","55.35","9.27M","10.68%"
"2019년 11월","55.17","54.15","58.74","54.07","9.47M","1.83%"
"2019년 10월","54.18","54.28","56.92","50.99","11.55M","0.20%"
"2019년 9월","54.07","55.00","63.38","52.84","13.08M","-1.87%"
"2019년 8월","55.10","57.85","57.99","50.52","14.04M","-5.94%"
"2019년 7월","58.58","59.27","60.94","54.72","11.80M","0.19%"
"2019년 6월","58.47","53.42","59.93","50.60","12.46M","9.29%"
"2019년 5월","53.50","63.40","63.93","53.05","16.25M","-16.29%"
"2019년 4월","63.91","60.24","66.60","60.13","13.33M","6.27%"
"2019년 3월","60.14","57.22","60.73","54.52","11.96M","5.10%"
"2019년 2월","57.22","54.01","57.81","51.23","10.55M","6.38%"
"2019년 1월","53.79","45.80","55.37","44.35","14.02M","18.45%"
"2018년 12월","45.41","52.45","54.55","42.36","12.16M","-10.84%"
"2018년 11월","50.93","64.88","65.39","49.41","15.12M","-22.02%"
"2018년 10월","65.31","73.29","76.90","64.81","13.04M","-10.84%"
"2018년 9월","73.25","69.89","73.73","66.86","10.09M","4.94%"
"2018년 8월","69.80","68.43","70.50","64.43","10.42M","1.51%"
"2018년 7월","68.76","73.62","75.27","67.03","10.91M","-7.27%"
"2018년 6월","74.15","67.07","74.46","63.59","12.86M","10.61%"
"2018년 5월","67.04","68.56","72.83","65.80","15.04M","-2.23%"
"2018년 4월","68.57","64.91","69.56","61.81","12.71M","5.59%"
"2018년 3월","64.94","61.55","66.55","59.95","12.38M","5.35%"
"2018년 2월","61.64","64.76","66.30","58.07","11.99M","-4.77%"
"2018년 1월","64.73","60.20","66.66","60.10","12.77M","7.13%"
"2017년 12월","60.42","57.42","60.51","55.82","9.49M","5.26%"
"2017년 11월","57.40","54.65","59.05","53.89","12.53M","5.55%"
"2017년 10월","54.38","51.64","54.85","49.10","11.95M","5.24%"
"2017년 9월","51.67","47.08","52.86","46.56","12.24M","9.40%"
"2017년 8월","47.23","50.21","50.43","45.58","17.17M","-5.86%"
"2017년 7월","50.17","46.28","50.41","43.65","14.57M","8.97%"
"2017년 6월","46.04","48.63","49.17","42.05","15.23M","-4.72%"
"2017년 5월","48.32","49.17","52.00","43.76","14.25M","-2.05%"
"2017년 4월","49.33","50.69","53.76","48.20","9.72M","-2.51%"
"2017년 3월","50.60","53.95","54.44","47.01","12.60M","-6.31%"
"2017년 2월","54.01","52.76","54.94","51.22","9.09M","2.27%"
"2017년 1월","52.81","54.20","55.24","50.71","10.11M","-1.69%"
"2016년 12월","53.72","49.07","54.51","48.98","10.64M","8.66%"
"2016년 11월","49.44","46.77","49.90","42.20","13.50M","5.51%"
"2016년 10월","46.86","48.04","51.93","46.63","10.82M","-2.86%"
"2016년 9월","48.24","44.85","48.32","42.55","12.37M","7.92%"
"2016년 8월","44.70","41.35","48.75","39.19","11.59M","7.45%"
"2016년 7월","41.60","48.38","49.35","40.57","9.34M","-13.93%"
"2016년 6월","48.33","48.82","51.67","45.83","10.42M","-1.57%"
"2016년 5월","49.10","45.90","50.21","43.03","11.20M","6.93%"
"2016년 4월","45.92","38.14","46.78","35.24","11.62M","19.77%"
"2016년 3월","38.34","33.90","41.90","33.37","10.88M","13.60%"
"2016년 2월","33.75","33.83","34.69","26.05","11.47M","0.39%"
"2016년 1월","33.62","37.60","38.39","26.19","10.39M","-9.23%"
"2015년 12월","37.04","41.73","42.23","33.98","8.70M","-11.07%"
"2015년 11월","41.65","46.43","48.36","38.99","7.88M","-10.60%"
"2015년 10월","46.59","45.38","50.92","42.58","8.31M","3.33%"
"2015년 9월","45.09","48.10","48.87","43.21","7.97M","-8.35%"
"2015년 8월","49.20","46.86","49.33","37.75","8.24M","4.41%"
"2015년 7월","47.12","58.98","58.98","46.68","7.17M","-20.77%"
"2015년 6월","59.47","60.29","61.82","56.83","6.54M","-1.38%"
"2015년 5월","60.30","59.79","62.58","56.51","6.34M","1.12%"
"2015년 4월","59.63","47.55","59.85","47.05","7.63M","25.27%"
"2015년 3월","47.60","49.45","52.48","42.03","7.69M","-4.34%"
"2015년 2월","49.76","47.59","54.24","46.67","8.46M","3.15%"
"2015년 1월","48.24","53.76","55.11","43.58","7.31M","-9.44%"
"2014년 12월","53.27","66.00","69.54","52.44","6.56M","-19.47%"
"2014년 11월","66.15","80.59","80.98","65.69","5.85M","-17.87%"
"2014년 10월","80.54","91.36","92.96","79.44","7.17M","-11.65%"
"2014년 9월","91.16","95.81","95.91","90.43","5.56M","-5.00%"
"2014년 8월","95.96","97.70","98.67","92.50","4.59M","-2.25%"
"2014년 7월","98.17","105.44","106.09","97.60","5.14M","-6.83%"
"2014년 6월","105.37","102.92","107.73","101.60","4.12M","2.59%"
"2014년 5월","102.71","99.72","104.50","98.74","4.38M","2.98%"
"2014년 4월","99.74","101.53","104.99","98.86","4.71M","-1.81%"
"2014년 3월","101.58","103.00","105.22","97.37","4.59M","-0.98%"
"2014년 2월","102.59","97.40","103.80","96.26","3.93M","5.23%"
"2014년 1월","97.49","98.50","98.97","91.24","4.49M","-0.94%"
"2013년 12월","98.42","92.71","100.75","92.56","3.66M","6.15%"
"2013년 11월","92.72","96.32","96.65","91.77","4.51M","-3.80%"
"2013년 10월","96.38","102.31","104.38","95.95","5.14M","-5.81%"
"2013년 9월","102.33","107.07","110.70","101.05","4.58M","-4.94%"
"2013년 8월","107.65","105.26","112.24","102.22","5.30M","2.49%"
"2013년 7월","105.03","96.58","109.32","96.07","5.38M","8.77%"
"2013년 6월","96.56","91.73","99.01","91.26","4.92M","4.99%"
"2013년 5월","91.97","93.08","97.17","90.11","5.87M","-1.59%"
"2013년 4월","93.46","97.36","97.80","85.61","5.43M","-3.88%"
"2013년 3월","97.23","91.76","97.35","89.33","4.03M","5.63%"
"2013년 2월","92.05","97.42","98.15","91.57","4.12M","-5.58%"
"2013년 1월","97.49","91.78","98.24","91.52","4.38M","6.18%"
"2012년 12월","91.82","88.85","91.99","85.21","3.59M","3.27%"
"2012년 11월","88.91","86.10","89.80","84.05","5.17M","3.10%"
"2012년 10월","86.24","92.15","93.66","84.66","5.24M","-6.45%"
"2012년 9월","92.19","96.38","100.42","88.95","4.34M","-4.44%"
"2012년 8월","96.47","88.03","98.29","86.92","5.08M","9.55%"
"2012년 7월","88.06","84.65","92.94","82.10","5.27M","3.65%"
"2012년 6월","84.96","86.44","87.03","77.28","5.95M","-1.81%"
"2012년 5월","86.53","104.89","106.43","85.86","5.81M","-17.49%"
"2012년 4월","104.87","103.27","105.49","100.68","4.48M","1.80%"
"2012년 3월","103.02","106.82","110.55","102.13","5.74M","-3.78%"
"2012년 2월","107.07","98.38","109.95","95.44","5.54M","8.72%"
"2012년 1월","98.48","99.70","103.74","97.40","5.41M","-0.35%"
"2011년 12월","98.83","100.51","102.44","92.52","4.70M","-1.52%"
"2011년 11월","100.36","92.58","103.37","89.17","6.24M","7.69%"
"2011년 10월","93.19","78.92","94.65","74.95","6.57M","17.66%"
"2011년 9월","79.20","88.73","90.52","77.11","6.45M","-10.82%"
"2011년 8월","88.81","96.20","98.60","75.71","8.28M","-7.20%"
"2011년 7월","95.70","95.12","100.62","93.45","5.45M","0.29%"
"2011년 6월","95.42","102.68","103.31","89.61","7.33M","-7.09%"
"2011년 5월","102.70","113.89","114.83","94.63","7.60M","-9.86%"
"2011년 4월","113.93","106.62","114.18","105.31","5.62M","6.76%"
"2011년 3월","106.72","96.97","106.95","96.22","6.87M","10.05%"
"2011년 2월","96.97","92.20","103.41","83.85","6.10M","5.18%"
"2011년 1월","92.19","91.31","92.84","85.11","6.93M","0.89%"
"2010년 12월","91.38","83.66","92.06","83.63","5.43M","8.64%"
"2010년 11월","84.11","81.45","88.63","80.06","6.76M","3.29%"
"2010년 10월","81.43","79.84","84.43","79.25","6.45M","1.83%"
"2010년 9월","79.97","71.70","80.18","71.67","6.82M","11.19%"
"2010년 8월","71.92","78.95","82.97","70.76","6.81M","-8.90%"
"2010년 7월","78.95","75.37","79.69","71.09","6.21M","4.39%"
"2010년 6월","75.63","73.97","79.38","69.51","7.26M","2.24%"
"2010년 5월","73.97","86.20","87.15","64.24","7.89M","-14.14%"
"2010년 4월","86.15","83.36","87.09","80.53","7.25M","2.85%"
"2010년 3월","83.76","79.84","83.85","78.06","6.52M","5.15%"
"2010년 2월","79.66","72.84","80.51","69.50","6.57M","9.29%"
"2010년 1월","72.89","79.63","83.95","72.43","5.38M","-8.15%"
"2009년 12월","79.36","77.35","80.00","68.59","5.66M","2.69%"
