소요시간,출발시간,일차,연휴길이,날짜,눈비,1종 교통량,2종 교통량,서울인구수 
91,0,0,3,2013-02-08,TRUE,3793419,229419,10388055
88,1,0,3,2013-02-08,TRUE,2514790,203047,10388055
88,2,0,3,2013-02-08,TRUE,1846564,235137,10388055
87,3,0,3,2013-02-08,TRUE,1632415,305994,10388055
91,4,0,3,2013-02-08,TRUE,2247045,444384,10388055
97,5,0,3,2013-02-08,TRUE,5186824,774325,10388055
96,6,0,3,2013-02-08,TRUE,10866409,1206051,10388055
89,7,0,3,2013-02-08,TRUE,15984740,1349972,10388055
90,8,0,3,2013-02-08,TRUE,17462577,1624836,10388055
91,9,0,3,2013-02-08,TRUE,19314963,1932103,10388055
91,10,0,3,2013-02-08,TRUE,21570894,1937699,10388055
94,11,0,3,2013-02-08,TRUE,20983137,1768677,10388055
101,12,0,3,2013-02-08,TRUE,19894414,1596595,10388055
118,13,0,3,2013-02-08,TRUE,21519196,1610557,10388055
115,14,0,3,2013-02-08,TRUE,22670554,1669824,10388055
125,15,0,3,2013-02-08,TRUE,23232147,1567158,10388055
136,16,0,3,2013-02-08,TRUE,23527400,1408343,10388055
149,17,0,3,2013-02-08,TRUE,24025597,1218600,10388055
167,18,0,3,2013-02-08,TRUE,21219880,899265,10388055
185,19,0,3,2013-02-08,TRUE,16408481,655917,10388055
202,20,0,3,2013-02-08,FALSE,13599182,486769,10388055
211,21,0,3,2013-02-08,TRUE,11220101,374074,10388055
212,22,0,3,2013-02-08,FALSE,8291072,297572,10388055
183,23,0,3,2013-02-08,FALSE,5655106,239321,10388055
132,0,1,3,2013-02-09,TRUE,3793419,229419,10388055
129,1,1,3,2013-02-09,TRUE,2514790,203047,10388055
121,2,1,3,2013-02-09,TRUE,1846564,235137,10388055
124,3,1,3,2013-02-09,TRUE,1632415,305994,10388055
119,4,1,3,2013-02-09,TRUE,2247045,444384,10388055
118,5,1,3,2013-02-09,TRUE,5186824,774325,10388055
128,6,1,3,2013-02-09,TRUE,10866409,1206051,10388055
133,7,1,3,2013-02-09,TRUE,15984740,1349972,10388055
133,8,1,3,2013-02-09,TRUE,17462577,1624836,10388055
149,9,1,3,2013-02-09,TRUE,19314963,1932103,10388055
163,10,1,3,2013-02-09,TRUE,21570894,1937699,10388055
166,11,1,3,2013-02-09,TRUE,20983137,1768677,10388055
162,12,1,3,2013-02-09,TRUE,19894414,1596595,10388055
137,13,1,3,2013-02-09,TRUE,21519196,1610557,10388055
137,14,1,3,2013-02-09,TRUE,22670554,1669824,10388055
123,15,1,3,2013-02-09,TRUE,23232147,1567158,10388055
107,16,1,3,2013-02-09,TRUE,23527400,1408343,10388055
106,17,1,3,2013-02-09,TRUE,24025597,1218600,10388055
98,18,1,3,2013-02-09,TRUE,21219880,899265,10388055
93,19,1,3,2013-02-09,TRUE,16408481,655917,10388055
93,20,1,3,2013-02-09,TRUE,13599182,486769,10388055
91,21,1,3,2013-02-09,TRUE,11220101,374074,10388055
88,22,1,3,2013-02-09,TRUE,8291072,297572,10388055
89,23,1,3,2013-02-09,TRUE,5655106,239321,10388055
83,0,2,3,2013-02-10,TRUE,3793419,229419,10388055
82,1,2,3,2013-02-10,TRUE,2514790,203047,10388055
102,2,2,3,2013-02-10,TRUE,1846564,235137,10388055
100,3,2,3,2013-02-10,TRUE,1632415,305994,10388055
93,4,2,3,2013-02-10,TRUE,2247045,444384,10388055
106,5,2,3,2013-02-10,TRUE,5186824,774325,10388055
100,6,2,3,2013-02-10,TRUE,10866409,1206051,10388055
97,7,2,3,2013-02-10,TRUE,15984740,1349972,10388055
94,8,2,3,2013-02-10,TRUE,17462577,1624836,10388055
97,9,2,3,2013-02-10,TRUE,19314963,1932103,10388055
95,10,2,3,2013-02-10,TRUE,21570894,1937699,10388055
94,11,2,3,2013-02-10,TRUE,20983137,1768677,10388055
99,12,2,3,2013-02-10,TRUE,19894414,1596595,10388055
105,13,2,3,2013-02-10,TRUE,21519196,1610557,10388055
108,14,2,3,2013-02-10,TRUE,22670554,1669824,10388055
117,15,2,3,2013-02-10,TRUE,23232147,1567158,10388055
121,16,2,3,2013-02-10,TRUE,23527400,1408343,10388055
156,17,2,3,2013-02-10,TRUE,24025597,1218600,10388055
160,18,2,3,2013-02-10,TRUE,21219880,899265,10388055
156,19,2,3,2013-02-10,FALSE,16408481,655917,10388055
145,20,2,3,2013-02-10,FALSE,13599182,486769,10388055
128,21,2,3,2013-02-10,TRUE,11220101,374074,10388055
116,22,2,3,2013-02-10,FALSE,8291072,297572,10388055
107,23,2,3,2013-02-10,FALSE,5655106,239321,10388055
87,0,3,3,2013-02-11,TRUE,3793419,229419,10388055
85,1,3,3,2013-02-11,FALSE,2514790,203047,10388055
89,2,3,3,2013-02-11,FALSE,1846564,235137,10388055
84,3,3,3,2013-02-11,TRUE,1632415,305994,10388055
85,4,3,3,2013-02-11,TRUE,2247045,444384,10388055
81,5,3,3,2013-02-11,TRUE,5186824,774325,10388055
81,6,3,3,2013-02-11,TRUE,10866409,1206051,10388055
80,7,3,3,2013-02-11,TRUE,15984740,1349972,10388055
80,8,3,3,2013-02-11,TRUE,17462577,1624836,10388055
86,9,3,3,2013-02-11,TRUE,19314963,1932103,10388055
80,10,3,3,2013-02-11,TRUE,21570894,1937699,10388055
85,11,3,3,2013-02-11,TRUE,20983137,1768677,10388055
87,12,3,3,2013-02-11,TRUE,19894414,1596595,10388055
92,13,3,3,2013-02-11,TRUE,21519196,1610557,10388055
92,14,3,3,2013-02-11,TRUE,22670554,1669824,10388055
93,15,3,3,2013-02-11,TRUE,23232147,1567158,10388055
93,16,3,3,2013-02-11,TRUE,23527400,1408343,10388055
94,17,3,3,2013-02-11,TRUE,24025597,1218600,10388055
93,18,3,3,2013-02-11,TRUE,21219880,899265,10388055
94,19,3,3,2013-02-11,FALSE,16408481,655917,10388055
95,20,3,3,2013-02-11,FALSE,13599182,486769,10388055
92,21,3,3,2013-02-11,TRUE,11220101,374074,10388055
86,22,3,3,2013-02-11,FALSE,8291072,297572,10388055
85,23,3,3,2013-02-11,FALSE,5655106,239321,10388055
84,0,0,4,2014-01-29,FALSE,3551327,179224,10369593
82,1,0,4,2014-01-29,FALSE,2379600,172692,10369593
82,2,0,4,2014-01-29,FALSE,1755680,206269,10369593
83,3,0,4,2014-01-29,FALSE,1560879,263359,10369593
80,4,0,4,2014-01-29,FALSE,2171128,394981,10369593
81,5,0,4,2014-01-29,FALSE,5066315,680975,10369593
83,6,0,4,2014-01-29,FALSE,10406430,1085883,10369593
84,7,0,4,2014-01-29,FALSE,15221692,1225733,10369593
85,8,0,4,2014-01-29,FALSE,16710517,1462189,10369593
85,9,0,4,2014-01-29,FALSE,18634958,1720856,10369593
87,10,0,4,2014-01-29,FALSE,20704719,1720531,10369593
92,11,0,4,2014-01-29,FALSE,20216244,1576422,10369593
102,12,0,4,2014-01-29,FALSE,19194886,1405197,10369593
113,13,0,4,2014-01-29,FALSE,20755272,1433045,10369593
125,14,0,4,2014-01-29,FALSE,21816978,1476089,10369593
139,15,0,4,2014-01-29,FALSE,22353936,1379857,10369593
142,16,0,4,2014-01-29,FALSE,22658379,1240158,10369593
156,17,0,4,2014-01-29,FALSE,23013125,1060793,10369593
186,18,0,4,2014-01-29,FALSE,20109610,768213,10369593
194,19,0,4,2014-01-29,FALSE,15455642,553550,10369593
222,20,0,4,2014-01-29,FALSE,12710244,405901,10369593
239,21,0,4,2014-01-29,FALSE,10473982,311397,10369593
222,22,0,4,2014-01-29,FALSE,7763743,239495,10369593
229,23,0,4,2014-01-29,FALSE,5279820,199497,10369593
155,0,1,4,2014-01-30,FALSE,3551327,179224,10369593
158,1,1,4,2014-01-30,FALSE,2379600,172692,10369593
150,2,1,4,2014-01-30,FALSE,1755680,206269,10369593
146,3,1,4,2014-01-30,FALSE,1560879,263359,10369593
154,4,1,4,2014-01-30,FALSE,2171128,394981,10369593
148,5,1,4,2014-01-30,FALSE,5066315,680975,10369593
152,6,1,4,2014-01-30,FALSE,10406430,1085883,10369593
168,7,1,4,2014-01-30,FALSE,15221692,1225733,10369593
174,8,1,4,2014-01-30,FALSE,16710517,1462189,10369593
177,9,1,4,2014-01-30,TRUE,18634958,1720856,10369593
203,10,1,4,2014-01-30,FALSE,20704719,1720531,10369593
205,11,1,4,2014-01-30,FALSE,20216244,1576422,10369593
225,12,1,4,2014-01-30,TRUE,19194886,1405197,10369593
216,13,1,4,2014-01-30,FALSE,20755272,1433045,10369593
206,14,1,4,2014-01-30,FALSE,21816978,1476089,10369593
187,15,1,4,2014-01-30,FALSE,22353936,1379857,10369593
172,16,1,4,2014-01-30,FALSE,22658379,1240158,10369593
157,17,1,4,2014-01-30,FALSE,23013125,1060793,10369593
146,18,1,4,2014-01-30,FALSE,20109610,768213,10369593
134,19,1,4,2014-01-30,FALSE,15455642,553550,10369593
121,20,1,4,2014-01-30,FALSE,12710244,405901,10369593
110,21,1,4,2014-01-30,FALSE,10473982,311397,10369593
102,22,1,4,2014-01-30,FALSE,7763743,239495,10369593
99,23,1,4,2014-01-30,FALSE,5279820,199497,10369593
81,0,2,4,2014-01-31,FALSE,3551327,179224,10369593
82,1,2,4,2014-01-31,FALSE,2379600,172692,10369593
83,2,2,4,2014-01-31,FALSE,1755680,206269,10369593
85,3,2,4,2014-01-31,FALSE,1560879,263359,10369593
87,4,2,4,2014-01-31,FALSE,2171128,394981,10369593
87,5,2,4,2014-01-31,FALSE,5066315,680975,10369593
89,6,2,4,2014-01-31,FALSE,10406430,1085883,10369593
87,7,2,4,2014-01-31,FALSE,15221692,1225733,10369593
90,8,2,4,2014-01-31,FALSE,16710517,1462189,10369593
89,9,2,4,2014-01-31,FALSE,18634958,1720856,10369593
87,10,2,4,2014-01-31,FALSE,20704719,1720531,10369593
88,11,2,4,2014-01-31,FALSE,20216244,1576422,10369593
97,12,2,4,2014-01-31,FALSE,19194886,1405197,10369593
107,13,2,4,2014-01-31,FALSE,20755272,1433045,10369593
119,14,2,4,2014-01-31,FALSE,21816978,1476089,10369593
135,15,2,4,2014-01-31,FALSE,22353936,1379857,10369593
146,16,2,4,2014-01-31,FALSE,22658379,1240158,10369593
133,17,2,4,2014-01-31,FALSE,23013125,1060793,10369593
144,18,2,4,2014-01-31,FALSE,20109610,768213,10369593
168,19,2,4,2014-01-31,FALSE,15455642,553550,10369593
161,20,2,4,2014-01-31,FALSE,12710244,405901,10369593
144,21,2,4,2014-01-31,FALSE,10473982,311397,10369593
127,22,2,4,2014-01-31,FALSE,7763743,239495,10369593
114,23,2,4,2014-01-31,FALSE,5279820,199497,10369593
82,0,3,4,2014-02-01,FALSE,3551327,179224,10369593
82,1,3,4,2014-02-01,FALSE,2379600,172692,10369593
87,2,3,4,2014-02-01,FALSE,1755680,206269,10369593
83,3,3,4,2014-02-01,FALSE,1560879,263359,10369593
82,4,3,4,2014-02-01,FALSE,2171128,394981,10369593
82,5,3,4,2014-02-01,FALSE,5066315,680975,10369593
80,6,3,4,2014-02-01,FALSE,10406430,1085883,10369593
80,7,3,4,2014-02-01,FALSE,15221692,1225733,10369593
79,8,3,4,2014-02-01,FALSE,16710517,1462189,10369593
79,9,3,4,2014-02-01,FALSE,18634958,1720856,10369593
81,10,3,4,2014-02-01,FALSE,20704719,1720531,10369593
82,11,3,4,2014-02-01,FALSE,20216244,1576422,10369593
85,12,3,4,2014-02-01,FALSE,19194886,1405197,10369593
88,13,3,4,2014-02-01,FALSE,20755272,1433045,10369593
88,14,3,4,2014-02-01,FALSE,21816978,1476089,10369593
89,15,3,4,2014-02-01,FALSE,22353936,1379857,10369593
91,16,3,4,2014-02-01,FALSE,22658379,1240158,10369593
