"년도" "자치구명" "동" "사업체수" "총종사자수" "총여성종사자수" "농업.임업.및.어업" "농업.임업.및.어업(여성)" "광업" "광업(여성)" "제조업" "제조업(여성)" "전기.가스.증기.및.공기조절.공급업" "전기.가스.증기.및.공기조절.공급업(여성)" "수도.하수.및.폐기물.처리.원료.재생업" "수도.하수.및.폐기물.처리.원료.재생업(여성)" "건설업" "건설업(여성)" "도매.및.소매업" "도매.및.소매업(여성)" "운수.및.창고업" "운수.및.창고업(여성)" "숙박.및.음식점업" "숙박.및.음식점업(여성)" "정보통신업" "정보통신업(여성)" "금융.및.보험업" "금융.및.보험업(여성)" "부동산업" "부동산업(여성)" "전문.과학.및.기술.서비스업" "전문.과학.및.기술.서비스업(여성)" "사업시설.관리.사업.지원.및.임대.서비스업" "사업시설.관리.사업.지원.및.임대.서비스업(여성)" "공공행정.국방.및.사회보장.행정" "공공행정.국방.및.사회보장.행정(여성)" "교육.서비스업" "교육.서비스업(여성)" "보건업.및.사회복지.서비스업" "보건업.및.사회복지.서비스업(여성)" "예술.스포츠.및.여가관련.서비스업" "예술.스포츠.및.여가관련.서비스업(여성)" "협회.및.단체.수리.및.기타.개인.서비스업" "협회.및.단체.수리.및.기타.개인.서비스업(여성)"
"1" "2015" "강남구" "개포1동" 490 1694 582 0 0 0 0 11 6 0 0 3 1 182 19 241 120 543 22 50 33 4 0 18 9 217 63 10 1 0 0 15 8 231 185 65 58 4 1 100 56
"2" "2015" "강남구" "개포2동" 902 3466 1988 0 0 0 0 26 11 0 0 0 0 52 7 470 221 102 8 459 281 50 16 71 30 270 80 114 34 14 2 15 10 1264 913 189 152 100 53 270 170
"3" "2015" "강남구" "개포4동" 2403 12402 4077 0 0 0 0 299 101 0 0 0 0 2531 379 3022 1016 255 31 651 388 693 137 56 30 506 135 1672 421 693 272 78 16 477 319 649 517 236 106 584 209
"4" "2015" "강남구" "논현1동" 5770 43779 20314 0 0 0 0 1478 773 0 0 0 0 3079 492 10351 4858 312 78 3985 2049 4784 1712 1738 861 1775 630 6950 3030 4000 2319 68 18 711 454 2464 1926 644 269 1440 845
"5" "2015" "강남구" "논현2동" 5731 65282 27341 0 0 5 0 1545 797 0 0 0 0 7848 1115 12580 5708 1618 537 4861 2738 6569 2192 1532 687 2337 789 11928 4690 7248 3984 649 260 2007 1179 1767 1342 701 236 2087 1087
"6" "2015" "강남구" "대치1동" 1013 7103 3974 0 0 0 0 22 9 0 0 0 0 73 17 551 279 18 3 1010 604 21 8 530 308 367 138 459 194 8 6 148 52 2721 1544 670 531 141 70 364 211
"7" "2015" "강남구" "대치2동" 3579 51945 21308 0 0 5 1 1937 975 373 58 2 0 3968 547 12859 5203 503 101 3080 1818 3094 802 2644 1172 2009 697 11220 3997 4954 2995 138 85 2954 1601 900 618 438 214 867 424
"8" "2015" "강남구" "대치4동" 3756 29049 12176 0 0 0 0 268 77 273 31 194 37 844 149 6639 2716 391 60 3029 1780 2056 594 2844 1017 1770 628 4303 1637 1061 389 99 77 2767 1452 1039 797 432 183 1040 552
"9" "2015" "강남구" "도곡1동" 1656 19542 8015 0 0 0 0 1568 783 72 21 0 0 2208 288 2567 1038 270 36 1106 647 1866 484 539 322 745 229 3835 1052 400 228 0 0 748 465 2837 2131 298 95 483 196
"10" "2015" "강남구" "도곡2동" 1970 22083 8674 0 0 0 0 176 75 190 23 4 1 3031 338 3297 1412 622 28 1614 957 3489 1057 964 368 1514 575 2749 974 2402 1573 18 6 978 673 347 289 253 103 435 222
"11" "2015" "강남구" "삼성1동" 4292 69772 26346 1 0 0 0 815 481 11 2 14 3 2838 366 23591 9195 810 158 5706 3096 11965 3224 2525 1109 1893 559 9775 3197 4154 2097 627 81 979 604 1319 1029 1335 511 1414 634
"12" "2015" "강남구" "삼성2동" 3872 37420 16386 0 0 7 1 507 201 0 0 44 4 1511 310 5948 2481 670 192 2669 1520 4379 1059 3278 1695 1836 596 6022 2370 4997 2792 1962 903 1081 706 1100 848 389 165 1020 543
"13" "2015" "강남구" "세곡동" 897 4598 2086 0 0 0 0 192 27 0 0 9 1 108 16 898 260 752 34 460 282 14 5 119 73 176 69 114 24 18 6 47 18 654 491 791 669 75 38 171 73
"14" "2015" "강남구" "수서동" 1650 16875 6282 77 7 0 0 486 185 8 0 1 0 2783 426 3541 1237 841 74 965 621 541 129 285 144 472 136 1471 367 3572 1795 47 17 496 300 737 570 207 107 345 167
"15" "2015" "강남구" "신사동" 4958 29398 15240 0 0 0 0 1077 585 3 1 0 0 867 229 6698 3840 435 115 4857 2521 2150 801 243 116 1054 322 4452 1783 1453 656 63 20 1378 856 3091 2482 431 185 1146 728
"16" "2015" "강남구" "압구정동" 4360 34695 18755 0 0 0 0 1813 1007 0 0 1 0 671 160 9075 5219 116 30 4785 2481 1640 705 1005 419 1409 387 4937 2162 966 593 50 13 2261 1403 3093 2374 441 136 2432 1666
"17" "2015" "강남구" "역삼1동" 15116 154595 63195 1 0 0 0 1474 708 423 63 67 0 12354 1538 25710 10687 1540 306 14621 8007 14675 4549 12861 6314 8066 2914 35819 12585 10499 5290 699 309 3614 2020 5516 4350 1365 590 5291 2965
"18" "2015" "강남구" "역삼2동" 3489 40726 16037 0 0 0 0 941 363 0 0 1 0 5997 678 6263 2418 806 248 2017 1167 3260 904 3632 1671 2713 1007 5069 1818 6548 3578 62 15 1030 664 1078 814 403 178 906 514
"19" "2015" "강남구" "일원1동" 1917 6527 2216 0 0 0 0 69 25 129 18 61 9 1027 156 700 281 1075 7 584 360 116 28 38 17 82 22 216 46 927 286 15 7 570 366 448 367 186 77 284 144
"20" "2015" "강남구" "일원2동" 646 8585 2396 0 0 0 0 20 10 296 13 137 9 208 44 669 323 235 31 259 166 585 165 49 25 1024 314 264 67 3233 243 379 73 260 169 651 536 73 38 243 170
"21" "2015" "강남구" "일원본동" 526 8164 5708 0 0 0 0 11 8 0 0 0 0 37 13 334 206 98 5 308 195 13 5 56 28 239 54 19 8 10 5 50 9 691 453 6064 4619 59 29 175 71
"22" "2015" "강남구" "청담동" 4597 43578 22402 0 0 0 0 4042 3072 0 0 272 18 3584 359 9799 5321 249 48 5021 2458 2163 800 1451 589 1790 792 4851 2123 1954 808 252 108 1308 869 3084 2380 550 269 3208 2388
"23" "2015" "강동구" "강일동" 912 16424 3548 0 0 0 0 97 25 0 0 40 4 7760 1056 638 231 2169 104 436 248 401 63 79 44 274 89 2419 405 483 80 65 25 751 562 523 475 80 44 209 93
"24" "2015" "강동구" "고덕1동" 581 1959 954 5 2 0 0 62 27 0 0 0 0 106 10 209 107 188 13 141 91 8 3 0 0 106 37 12 3 24 8 72 13 582 354 293 214 44 21 107 51
"25" "2015" "강동구" "고덕2동" 1798 3214 977 0 0 0 0 100 45 4 0 59 29 56 7 309 136 1422 36 251 151 5 1 25 13 37 16 3 1 48 42 10 4 436 264 173 120 102 50 174 62
"26" "2015" "강동구" "길동" 3968 19939 9479 14 7 0 0 1069 549 0 0 50 4 2228 268 3054 1325 861 52 2595 1581 538 120 1312 914 690 230 517 199 1385 522 263 99 1219 923 2541 1784 342 160 1261 742
"27" "2015" "강동구" "둔촌2동" 1565 9063 4378 0 0 0 0 378 173 0 0 0 0 531 66 2487 989 611 28 806 479 68 23 161 121 259 83 327 103 71 28 51 12 564 434 2217 1551 103 47 429 241
