날짜,분,출발시간,연휴길이,눈비,1종 교통량,2종 교통량,서울인구수 ,소요시간
2013-02-08,1,0,3,TRUE,3793419,229419,10388055,97
2013-02-08,2,0,3,TRUE,3793419,229419,10388055,96
2013-02-08,3,0,3,TRUE,3793419,229419,10388055,82
2013-02-08,4,0,3,TRUE,3793419,229419,10388055,0
2013-02-08,5,0,3,TRUE,3793419,229419,10388055,93
2013-02-08,6,0,3,TRUE,3793419,229419,10388055,94
2013-02-08,7,0,3,TRUE,3793419,229419,10388055,94
2013-02-08,8,0,3,TRUE,3793419,229419,10388055,97
2013-02-08,9,0,3,TRUE,3793419,229419,10388055,93
2013-02-08,10,0,3,TRUE,3793419,229419,10388055,96
2013-02-08,11,0,3,TRUE,3793419,229419,10388055,92
2013-02-08,12,0,3,TRUE,3793419,229419,10388055,96
2014-01-29,1,0,4,FALSE,3551327,179224,10369593,88
2014-01-29,2,0,4,FALSE,3551327,179224,10369593,80
2014-01-29,3,0,4,FALSE,3551327,179224,10369593,84
2014-01-29,4,0,4,FALSE,3551327,179224,10369593,82
2014-01-29,5,0,4,FALSE,3551327,179224,10369593,85
2014-01-29,6,0,4,FALSE,3551327,179224,10369593,86
2014-01-29,7,0,4,FALSE,3551327,179224,10369593,83
2014-01-29,8,0,4,FALSE,3551327,179224,10369593,84
2014-01-29,9,0,4,FALSE,3551327,179224,10369593,87
2014-01-29,10,0,4,FALSE,3551327,179224,10369593,89
2014-01-29,11,0,4,FALSE,3551327,179224,10369593,88
2014-01-29,12,0,4,FALSE,3551327,179224,10369593,87
2015-02-17,1,0,5,TRUE,3117065,141548,10297138,106
2015-02-17,2,0,5,TRUE,3117065,141548,10297138,95
2015-02-17,3,0,5,TRUE,3117065,141548,10297138,95
2015-02-17,4,0,5,TRUE,3117065,141548,10297138,86
2015-02-17,5,0,5,TRUE,3117065,141548,10297138,86
2015-02-17,6,0,5,TRUE,3117065,141548,10297138,86
2015-02-17,7,0,5,TRUE,3117065,141548,10297138,84
2015-02-17,8,0,5,TRUE,3117065,141548,10297138,86
2015-02-17,9,0,5,TRUE,3117065,141548,10297138,86
2015-02-17,10,0,5,TRUE,3117065,141548,10297138,84
2015-02-17,11,0,5,TRUE,3117065,141548,10297138,84
2015-02-17,12,0,5,TRUE,3117065,141548,10297138,85
2017-01-26,1,0,4,TRUE,2263990,55522,10124579,87
2017-01-26,2,0,4,TRUE,2263990,55522,10124579,87
2017-01-26,3,0,4,TRUE,2263990,55522,10124579,91
2017-01-26,4,0,4,TRUE,2263990,55522,10124579,82
2017-01-26,5,0,4,TRUE,2263990,55522,10124579,87
2017-01-26,6,0,4,TRUE,2263990,55522,10124579,0
2017-01-26,7,0,4,TRUE,2263990,55522,10124579,92
2017-01-26,8,0,4,TRUE,2263990,55522,10124579,90
2017-01-26,9,0,4,TRUE,2263990,55522,10124579,89
2017-01-26,10,0,4,TRUE,2263990,55522,10124579,85
2017-01-26,11,0,4,TRUE,2263990,55522,10124579,88
2017-01-26,12,0,4,TRUE,2263990,55522,10124579,84
2018-02-14,1,0,4,FALSE,2062008,46739,10049607,95
2018-02-14,2,0,4,FALSE,2062008,46739,10049607,96
2018-02-14,3,0,4,FALSE,2062008,46739,10049607,83
2018-02-14,4,0,4,FALSE,2062008,46739,10049607,94
2018-02-14,5,0,4,FALSE,2062008,46739,10049607,92
2018-02-14,6,0,4,FALSE,2062008,46739,10049607,96
2018-02-14,7,0,4,FALSE,2062008,46739,10049607,92
2018-02-14,8,0,4,FALSE,2062008,46739,10049607,92
2018-02-14,9,0,4,FALSE,2062008,46739,10049607,90
2018-02-14,10,0,4,FALSE,2062008,46739,10049607,90
2018-02-14,11,0,4,FALSE,2062008,46739,10049607,93
2018-02-14,12,0,4,FALSE,2062008,46739,10049607,89
2020-01-23,1,0,4,FALSE,6931877,654882,9911088,76
2020-01-23,2,0,4,FALSE,6931877,654882,9911088,74
2020-01-23,3,0,4,FALSE,6931877,654882,9911088,77
2020-01-23,4,0,4,FALSE,6931877,654882,9911088,70
2020-01-23,5,0,4,FALSE,6931877,654882,9911088,80
2020-01-23,6,0,4,FALSE,6931877,654882,9911088,80
2020-01-23,7,0,4,FALSE,6931877,654882,9911088,80
2020-01-23,8,0,4,FALSE,6931877,654882,9911088,83
2020-01-23,9,0,4,FALSE,6931877,654882,9911088,83
2020-01-23,10,0,4,FALSE,6931877,654882,9911088,85
2020-01-23,11,0,4,FALSE,6931877,654882,9911088,89
2020-01-23,12,0,4,FALSE,6931877,654882,9911088,89
2013-02-08,1,1,3,TRUE,2514790,203047,10388055,89
2013-02-08,2,1,3,TRUE,2514790,203047,10388055,93
2013-02-08,3,1,3,TRUE,2514790,203047,10388055,85
2013-02-08,4,1,3,TRUE,2514790,203047,10388055,88
2013-02-08,5,1,3,TRUE,2514790,203047,10388055,90
2013-02-08,6,1,3,TRUE,2514790,203047,10388055,91
2013-02-08,7,1,3,TRUE,2514790,203047,10388055,91
2013-02-08,8,1,3,TRUE,2514790,203047,10388055,94
2013-02-08,9,1,3,TRUE,2514790,203047,10388055,89
2013-02-08,10,1,3,TRUE,2514790,203047,10388055,92
2013-02-08,11,1,3,TRUE,2514790,203047,10388055,93
2013-02-08,12,1,3,TRUE,2514790,203047,10388055,92
2014-01-29,1,1,4,FALSE,2379600,172692,10369593,82
2014-01-29,2,1,4,FALSE,2379600,172692,10369593,81
2014-01-29,3,1,4,FALSE,2379600,172692,10369593,87
2014-01-29,4,1,4,FALSE,2379600,172692,10369593,78
2014-01-29,5,1,4,FALSE,2379600,172692,10369593,92
2014-01-29,6,1,4,FALSE,2379600,172692,10369593,88
2014-01-29,7,1,4,FALSE,2379600,172692,10369593,84
2014-01-29,8,1,4,FALSE,2379600,172692,10369593,84
2014-01-29,9,1,4,FALSE,2379600,172692,10369593,83
2014-01-29,10,1,4,FALSE,2379600,172692,10369593,88
2014-01-29,11,1,4,FALSE,2379600,172692,10369593,90
2014-01-29,12,1,4,FALSE,2379600,172692,10369593,85
2015-02-17,1,1,5,FALSE,2088998,141617,10297138,83
2015-02-17,2,1,5,FALSE,2088998,141617,10297138,85
2015-02-17,3,1,5,FALSE,2088998,141617,10297138,85
2015-02-17,4,1,5,FALSE,2088998,141617,10297138,85
2015-02-17,5,1,5,FALSE,2088998,141617,10297138,88
2015-02-17,6,1,5,FALSE,2088998,141617,10297138,89
