"날짜","출발시간","소요시간","연휴길이","눈비","X1종.교통량","X2종.교통량","서울인구수"
"2013-02-08",0,97,3,1,3793419,229419,10388055
"2013-02-08",0,89,3,1,3793419,229419,10388055
"2013-02-08",0,93,3,1,3793419,229419,10388055
"2013-02-08",0,74,3,1,3793419,229419,10388055
"2013-02-08",0,94,3,1,3793419,229419,10388055
"2013-02-08",0,90,3,1,3793419,229419,10388055
"2013-02-08",0,86,3,1,3793419,229419,10388055
"2013-02-08",0,96,3,1,3793419,229419,10388055
"2013-02-08",0,85,3,1,3793419,229419,10388055
"2013-02-08",0,96,3,1,3793419,229419,10388055
"2013-02-08",1,89,3,1,2514790,203047,10388055
"2013-02-08",1,93,3,1,2514790,203047,10388055
"2013-02-08",1,79,3,1,2514790,203047,10388055
"2013-02-08",1,88,3,1,2514790,203047,10388055
"2013-02-08",1,84,3,1,2514790,203047,10388055
"2013-02-08",1,91,3,1,2514790,203047,10388055
"2013-02-08",1,85,3,1,2514790,203047,10388055
"2013-02-08",1,94,3,1,2514790,203047,10388055
"2013-02-08",1,83,3,1,2514790,203047,10388055
"2013-02-08",1,92,3,1,2514790,203047,10388055
"2013-02-08",1,104,3,1,2514790,203047,10388055
"2013-02-08",1,110,3,1,2514790,203047,10388055
"2013-02-08",2,86,3,1,1846564,235137,10388055
"2013-02-08",2,93,3,1,1846564,235137,10388055
"2013-02-08",2,87,3,1,1846564,235137,10388055
"2013-02-08",2,92,3,1,1846564,235137,10388055
"2013-02-08",2,82,3,1,1846564,235137,10388055
"2013-02-08",2,94,3,1,1846564,235137,10388055
"2013-02-08",2,85,3,1,1846564,235137,10388055
"2013-02-08",2,96,3,1,1846564,235137,10388055
"2013-02-08",2,91,3,1,1846564,235137,10388055
"2013-02-08",2,85,3,1,1846564,235137,10388055
"2013-02-08",2,90,3,1,1846564,235137,10388055
"2013-02-08",2,112,3,1,1846564,235137,10388055
"2013-02-08",3,140,3,1,1632415,305994,10388055
"2013-02-08",3,88,3,1,1632415,305994,10388055
"2013-02-08",3,84,3,1,1632415,305994,10388055
"2013-02-08",3,80,3,1,1632415,305994,10388055
"2013-02-08",3,92,3,1,1632415,305994,10388055
"2013-02-08",3,85,3,1,1632415,305994,10388055
"2013-02-08",3,91,3,1,1632415,305994,10388055
"2013-02-08",3,83,3,1,1632415,305994,10388055
"2013-02-08",3,96,3,1,1632415,305994,10388055
"2013-02-08",3,85,3,1,1632415,305994,10388055
"2013-02-08",3,90,3,1,1632415,305994,10388055
"2013-02-08",3,85,3,1,1632415,305994,10388055
"2013-02-08",4,95,3,1,2247045,444384,10388055
"2013-02-08",4,87,3,1,2247045,444384,10388055
"2013-02-08",4,109,3,1,2247045,444384,10388055
"2013-02-08",4,87,3,1,2247045,444384,10388055
"2013-02-08",4,95,3,1,2247045,444384,10388055
"2013-02-08",4,91,3,1,2247045,444384,10388055
"2013-02-08",4,97,3,1,2247045,444384,10388055
"2013-02-08",4,107,3,1,2247045,444384,10388055
"2013-02-08",4,104,3,1,2247045,444384,10388055
"2013-02-08",4,96,3,1,2247045,444384,10388055
"2013-02-08",4,103,3,1,2247045,444384,10388055
"2013-02-08",4,92,3,1,2247045,444384,10388055
"2013-02-08",5,125,3,1,5186824,774325,10388055
"2013-02-08",5,101,3,1,5186824,774325,10388055
"2013-02-08",5,96,3,1,5186824,774325,10388055
"2013-02-08",5,106,3,1,5186824,774325,10388055
"2013-02-08",5,96,3,1,5186824,774325,10388055
"2013-02-08",5,104,3,1,5186824,774325,10388055
"2013-02-08",5,98,3,1,5186824,774325,10388055
"2013-02-08",5,101,3,1,5186824,774325,10388055
"2013-02-08",5,105,3,1,5186824,774325,10388055
"2013-02-08",5,102,3,1,5186824,774325,10388055
"2013-02-08",5,92,3,1,5186824,774325,10388055
"2013-02-08",5,97,3,1,5186824,774325,10388055
"2013-02-08",6,101,3,1,10866409,1206051,10388055
"2013-02-08",6,105,3,1,10866409,1206051,10388055
"2013-02-08",6,92,3,1,10866409,1206051,10388055
"2013-02-08",6,95,3,1,10866409,1206051,10388055
"2013-02-08",6,88,3,1,10866409,1206051,10388055
"2013-02-08",6,101,3,1,10866409,1206051,10388055
"2013-02-08",6,97,3,1,10866409,1206051,10388055
"2013-02-08",6,95,3,1,10866409,1206051,10388055
"2013-02-08",6,99,3,1,10866409,1206051,10388055
"2013-02-08",6,79,3,1,10866409,1206051,10388055
"2013-02-08",6,100,3,1,10866409,1206051,10388055
"2013-02-08",6,88,3,1,10866409,1206051,10388055
"2013-02-08",7,89,3,1,15984740,1349972,10388055
"2013-02-08",7,93,3,1,15984740,1349972,10388055
"2013-02-08",7,101,3,1,15984740,1349972,10388055
"2013-02-08",7,89,3,1,15984740,1349972,10388055
"2013-02-08",7,99,3,1,15984740,1349972,10388055
"2013-02-08",7,91,3,1,15984740,1349972,10388055
"2013-02-08",7,89,3,1,15984740,1349972,10388055
"2013-02-08",7,93,3,1,15984740,1349972,10388055
"2013-02-08",7,87,3,1,15984740,1349972,10388055
"2013-02-08",7,102,3,1,15984740,1349972,10388055
"2013-02-08",7,89,3,1,15984740,1349972,10388055
"2013-02-08",7,99,3,1,15984740,1349972,10388055
"2013-02-08",8,82,3,1,17462577,1624836,10388055
"2013-02-08",8,87,3,1,17462577,1624836,10388055
"2013-02-08",8,88,3,1,17462577,1624836,10388055
"2013-02-08",8,88,3,1,17462577,1624836,10388055
"2013-02-08",8,90,3,1,17462577,1624836,10388055
"2013-02-08",8,138,3,1,17462577,1624836,10388055
"2013-02-08",8,90,3,1,17462577,1624836,10388055
"2013-02-08",8,92,3,1,17462577,1624836,10388055
"2013-02-08",8,98,3,1,17462577,1624836,10388055
"2013-02-08",8,86,3,1,17462577,1624836,10388055
"2013-02-08",8,99,3,1,17462577,1624836,10388055
"2013-02-08",9,99,3,1,19314963,1932103,10388055
"2013-02-08",9,90,3,1,19314963,1932103,10388055
"2013-02-08",9,97,3,1,19314963,1932103,10388055
"2013-02-08",9,88,3,1,19314963,1932103,10388055
"2013-02-08",9,94,3,1,19314963,1932103,10388055
"2013-02-08",9,97,3,1,19314963,1932103,10388055
"2013-02-08",9,99,3,1,19314963,1932103,10388055
"2013-02-08",9,102,3,1,19314963,1932103,10388055
"2013-02-08",9,98,3,1,19314963,1932103,10388055
"2013-02-08",9,94,3,1,19314963,1932103,10388055
"2013-02-08",9,118,3,1,19314963,1932103,10388055
"2013-02-08",9,95,3,1,19314963,1932103,10388055
"2013-02-08",10,89,3,1,21570894,1937699,10388055
"2013-02-08",10,95,3,1,21570894,1937699,10388055
"2013-02-08",10,88,3,1,21570894,1937699,10388055
"2013-02-08",10,80,3,1,21570894,1937699,10388055
"2013-02-08",10,96,3,1,21570894,1937699,10388055
"2013-02-08",10,86,3,1,21570894,1937699,10388055
"2013-02-08",10,96,3,1,21570894,1937699,10388055
"2013-02-08",10,99,3,1,21570894,1937699,10388055
"2013-02-08",10,89,3,1,21570894,1937699,10388055
