년도,분기,행정동,운영평균,폐업평균,서울운영평균,서울시폐업평균
2019,4,둔촌2동,111,49,110,54
2019,4,둔촌1동,153,70,110,54
2019,4,길동,103,47,110,54
2019,4,성내3동,110,47,110,54
2019,4,성내2동,104,48,110,54
2019,4,성내1동,107,51,110,54
2019,4,천호3동,108,49,110,54
2019,4,천호2동,106,52,110,54
2019,4,천호1동,103,49,110,54
2019,4,암사3동,96,55,110,54
2019,4,암사2동,104,50,110,54
2019,4,암사1동,100,49,110,54
2019,4,고덕2동,112,60,110,54
2019,4,고덕1동,88,52,110,54
2019,4,명일2동,109,54,110,54
2019,4,명일1동,108,50,110,54
2019,4,상일동,116,57,110,54
2019,4,강일동,72,43,110,54
2019,4,잠실7동,145,70,110,54
2019,4,잠실6동,105,55,110,54
2019,4,잠실4동,99,48,110,54
2019,4,잠실3동,124,63,110,54
2019,4,잠실2동,83,40,110,54
2019,4,잠실본동,119,49,110,54
2019,4,위례동,31,27,110,54
2019,4,장지동,99,49,110,54
2019,4,문정2동,66,40,110,54
2019,4,문정1동,105,51,110,54
2019,4,가락2동,110,50,110,54
2019,4,가락1동,169,148,110,54
2019,4,가락본동,106,48,110,54
2019,4,삼전동,114,48,110,54
2019,4,석촌동,110,49,110,54
2019,4,송파2동,103,49,110,54
2019,4,송파1동,103,48,110,54
2019,4,오금동,109,53,110,54
2019,4,오륜동,134,64,110,54
2019,4,방이2동,106,50,110,54
2019,4,방이1동,100,49,110,54
2019,4,마천2동,119,54,110,54
2019,4,마천1동,116,52,110,54
2019,4,거여2동,115,57,110,54
2019,4,거여1동,101,50,110,54
2019,4,풍납2동,123,55,110,54
2019,4,풍납1동,129,55,110,54
2019,4,수서동,119,58,110,54
2019,4,일원2동,118,55,110,54
2019,4,일원1동,115,54,110,54
2019,4,일원본동,106,51,110,54
2019,4,세곡동,65,48,110,54
2019,4,개포4동,126,53,110,54
2019,4,개포2동,119,56,110,54
2019,4,개포1동,125,67,110,54
2019,4,도곡2동,119,53,110,54
2019,4,도곡1동,115,51,110,54
2019,4,역삼2동,112,47,110,54
2019,4,역삼1동,109,47,110,54
2019,4,대치4동,90,47,110,54
2019,4,대치2동,109,52,110,54
2019,4,대치1동,106,53,110,54
2019,4,삼성2동,99,49,110,54
2019,4,삼성1동,110,56,110,54
2019,4,청담동,100,51,110,54
2019,4,압구정동,107,49,110,54
2019,4,논현2동,100,49,110,54
2019,4,논현1동,101,48,110,54
2019,4,신사동,98,50,110,54
2019,4,내곡동,118,63,110,54
2019,4,양재2동,127,52,110,54
2019,4,양재1동,110,53,110,54
2019,4,방배4동,122,54,110,54
2019,4,방배3동,131,54,110,54
2019,4,방배2동,106,56,110,54
2019,4,방배1동,114,53,110,54
2019,4,방배본동,115,51,110,54
2019,4,반포4동,137,63,110,54
2019,4,반포3동,123,60,110,54
2019,4,반포2동,121,67,110,54
2019,4,반포1동,106,46,110,54
2019,4,반포본동,132,59,110,54
2019,4,잠원동,110,51,110,54
2019,4,서초4동,112,52,110,54
2019,4,서초3동,119,55,110,54
2019,4,서초2동,107,49,110,54
2019,4,서초1동,120,55,110,54
2019,4,난곡동,117,58,110,54
2019,4,미성동,116,54,110,54
2019,4,삼성동,131,60,110,54
2019,4,대학동,101,51,110,54
2019,4,조원동,121,49,110,54
2019,4,난향동,102,49,110,54
2019,4,신림동,105,49,110,54
2019,4,신사동,107,50,110,54
2019,4,서림동,106,55,110,54
2019,4,신원동,106,52,110,54
2019,4,서원동,107,54,110,54
2019,4,남현동,109,55,110,54
2019,4,인헌동,106,53,110,54
2019,4,중앙동,106,52,110,54
2019,4,은천동,107,51,110,54
2019,4,청룡동,106,51,110,54
2019,4,낙성대동,92,52,110,54
2019,4,행운동,114,52,110,54
2019,4,성현동,100,50,110,54
2019,4,청림동,104,58,110,54
2019,4,보라매동,102,52,110,54
2019,4,신대방2동,112,53,110,54
2019,4,신대방1동,114,51,110,54
2019,4,대방동,111,54,110,54
2019,4,사당5동,109,53,110,54
2019,4,사당4동,113,52,110,54
2019,4,사당3동,109,54,110,54
2019,4,사당2동,106,53,110,54
2019,4,사당1동,104,51,110,54
2019,4,흑석동,108,59,110,54
2019,4,상도4동,108,54,110,54
2019,4,상도3동,107,53,110,54
2019,4,상도2동,120,56,110,54
2019,4,상도1동,100,56,110,54
2019,4,노량진2동,130,60,110,54
2019,4,노량진1동,135,73,110,54
2019,4,대림3동,107,47,110,54
2019,4,대림2동,98,46,110,54
2019,4,대림1동,121,50,110,54
2019,4,신길7동,111,53,110,54
2019,4,신길6동,116,53,110,54
2019,4,신길5동,114,55,110,54
2019,4,신길4동,116,56,110,54
2019,4,신길3동,133,58,110,54
2019,4,신길1동,128,55,110,54
2019,4,양평2동,109,53,110,54
2019,4,양평1동,113,53,110,54
2019,4,문래동,103,55,110,54
2019,4,도림동,111,54,110,54
2019,4,당산2동,102,52,110,54
2019,4,당산1동,116,53,110,54
2019,4,여의동,122,53,110,54
2019,4,영등포동,124,59,110,54
2019,4,영등포본동,105,55,110,54
2019,4,시흥5동,114,53,110,54
2019,4,시흥4동,112,48,110,54
2019,4,시흥3동,139,58,110,54
2019,4,시흥2동,97,52,110,54
2019,4,시흥1동,112,54,110,54
2019,4,독산4동,110,52,110,54
2019,4,독산3동,119,49,110,54
2019,4,독산2동,111,52,110,54
2019,4,독산1동,101,55,110,54
2019,4,가산동,90,48,110,54
2019,4,수궁동,108,55,110,54
2019,4,오류2동,91,52,110,54
2019,4,오류1동,114,56,110,54
2019,4,개봉3동,125,51,110,54
2019,4,개봉2동,110,56,110,54
2019,4,개봉1동,112,54,110,54
2019,4,고척2동,110,54,110,54
2019,4,고척1동,111,52,110,54
2019,4,가리봉동,120,53,110,54
2019,4,구로5동,102,51,110,54
2019,4,구로4동,111,49,110,54
2019,4,구로3동,91,48,110,54
